Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,55.553036,[46 71] ; [222  63],[78. 39.] ; [190.  95.],1
d3,1,0.0,43.104397,[43 74] ; [204  80],[72.06733167 44.93266833] ; [174.93266833 109.06733167],1
r4,1,0.0,34.149182,[69 48] ; [244  41],[91.09701493 25.90298507] ; [221.90298507  63.09701493],1
d5,1,0.0,34.079327,[62 55] ; [232  53],[85.56716418 31.43283582] ; [208.43283582  76.56716418],1
r1,1,0.0,26.731735,[60 57] ; [219  64],[81.6075 35.3925] ; [197.3925  85.6075],1
d4,1,1e-06,23.227396,[65 51] ; [227  58],[84.46882793 31.53117207] ; [207.53117207  77.46882793],1
r3,1,1.5e-05,18.680475,[91 26] ; [263  20],[103.545  13.455] ; [250.455  32.545],1
v4,1,1.5e-05,18.676596,[88 26] ; [264  21],[100.57142857  13.42857143] ; [251.42857143  33.57142857],1
u1,1,9.3e-05,15.265618,[  3 114] ; [ 48 237],[ 14.84328358 102.15671642] ; [ 36.15671642 248.84328358],1
a2,1,0.000266,13.295822,[  8 109] ; [ 63 222],[20.6641791 96.3358209] ; [ 50.3358209 234.6641791],1
d1,1,0.000299,13.07368,[38 79] ; [149 136],[54.42537313 62.57462687] ; [132.57462687 152.42537313],1
r2,1,0.000759,11.339368,[90 25] ; [255  26],[100.18939394  14.81060606] ; [244.81060606  36.18939394],1
a5,1,0.000926,10.970781,[60 57] ; [196  89],[74.50746269 42.49253731] ; [181.49253731 103.50746269],1
s6,1,0.001067,10.707071,[43 73] ; [157 128],[57.8553616 58.1446384] ; [142.1446384 142.8553616],0
p2,1,0.001808,9.735069,[76 39] ; [230  55],[87.975 27.025] ; [218.025  66.975],0
p10,1,0.002311,9.284319,[66 49] ; [206  76],[78.79093199 36.20906801] ; [193.20906801  88.79093199],0
u3,1,0.010019,6.631438,[19 33] ; [58 41],[26.51655629 25.48344371] ; [50.48344371 48.51655629],0
b1,1,0.010439,6.558364,[61 56] ; [109 176],[49.47761194 67.52238806] ; [120.52238806 164.47761194],0
