Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,23.489937,[17 15] ; [13 91],[ 7.05882353 24.94117647] ; [22.94117647 81.05882353],1
p7,1,1.8e-05,18.353651,[20 11] ; [24 79],[10.17910448 20.82089552] ; [33.82089552 69.17910448],1
p3,1,0.000645,11.642234,[19 13] ; [28 77],[10.97810219 21.02189781] ; [36.02189781 68.97810219],1
p4,1,0.001323,10.309992,[18 13] ; [28 76],[10.56296296 20.43703704] ; [35.43703704 68.56296296],0
p5,1,0.012781,6.199172,[ 6 26] ; [ 5 97],[ 2.62686567 29.37313433] ; [ 8.37313433 93.62686567],0
v1,1,0.029666,4.728521,[18 14] ; [35 66],[12.7518797 19.2481203] ; [40.2481203 60.7518797],0
s5,1,0.03196,4.600629,[14 17] ; [25 75],[ 9.22900763 21.77099237] ; [29.77099237 70.22900763],0
p9,1,0.040269,4.206506,[25  7] ; [58 42],[20.12121212 11.87878788] ; [62.87878788 37.12121212],0
v2,1,0.057589,3.60548,[20 11] ; [45 55],[15.38167939 15.61832061] ; [49.61832061 50.38167939],0
d4,1,0.057805,3.599273,[20 12] ; [83 22],[24.05839416  7.94160584] ; [78.94160584 26.05839416],0
d2,1,0.060057,3.535808,[11 21] ; [55 48],[15.64444444 16.35555556] ; [50.35555556 52.64444444],0
d5,1,0.066518,3.366915,[18 14] ; [77 28],[22.18978102  9.81021898] ; [72.81021898 32.18978102],0
b5,1,0.087741,2.915337,[16 16] ; [70 35],[20.08759124 11.91240876] ; [65.91240876 39.08759124],0
p10,1,0.087856,2.913233,[24  8] ; [60 43],[19.91111111 12.08888889] ; [64.08888889 38.91111111],0
u1,1,0.166282,1.916144,[ 3 29] ; [21 84],[ 5.60583942 26.39416058] ; [18.39416058 86.60583942],0
b1,1,0.198119,1.656183,[12 20] ; [53 52],[15.18248175 16.81751825] ; [49.81751825 55.18248175],0
n1,1,0.247621,1.336678,[5 3] ; [14 21],[3.53488372 4.46511628] ; [15.46511628 19.53488372],0
v4,1,0.274731,1.192971,[30  2] ; [91 14],[28.26277372  3.73722628] ; [92.73722628 12.26277372],0
u2,1,0.275756,1.187888,[ 5 10] ; [18 18],[6.76470588 8.23529412] ; [16.23529412 19.76470588],0
p12,1,0.287747,1.130135,[ 4 28] ; [ 7 98],[ 2.56934307 29.43065693] ; [ 8.43065693 96.56934307],0
a3,1,0.315971,1.00555,[17 14] ; [68 37],[19.375 11.625] ; [65.625 39.375],0
a1,1,0.369004,0.807017,[ 1 31] ; [ 8 97],[ 2.10218978 29.89781022] ; [ 6.89781022 98.10218978],0
p1,1,0.392526,0.731102,[ 4 28] ; [ 8 97],[ 2.80291971 29.19708029] ; [ 9.19708029 95.80291971],0
s6,1,0.414457,0.665978,[21 10] ; [62 42],[19.05925926 11.94074074] ; [63.94074074 40.05925926],0
b3,1,0.418258,0.655205,[ 5 13] ; [27 44],[ 6.47191011 11.52808989] ; [25.52808989 45.47191011],0
b2,1,0.418258,0.655205,[ 5 13] ; [27 44],[ 6.47191011 11.52808989] ; [25.52808989 45.47191011],0
