Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.7e-05,17.64,[57  3] ; [18 12],[50. 10.] ; [25.  5.],1
r2,1,5.5e-05,16.261753,[58  2] ; [19 10],[51.91011236  8.08988764] ; [25.08988764  3.91011236],1
a5,1,0.001398,10.208333,[43 17] ; [11 19],[36. 24.] ; [18. 12.],0
v3,1,0.007417,7.169086,[24 34] ; [ 4 26],[18.45454545 39.54545455] ; [ 9.54545455 20.45454545],0
a7,1,0.042946,4.097522,[43 17] ; [15 15],[38.66666667 21.33333333] ; [19.33333333 10.66666667],0
b3,1,0.046945,3.947368,[16 22] ; [ 3 16],[12.66666667 25.33333333] ; [ 6.33333333 12.66666667],0
b2,1,0.046945,3.947368,[16 22] ; [ 3 16],[12.66666667 25.33333333] ; [ 6.33333333 12.66666667],0
p10,1,0.049116,3.871373,[50  9] ; [20 10],[46.40449438 12.59550562] ; [23.59550562  6.40449438],0
d3,1,0.052399,3.762989,[33 27] ; [10 20],[28.66666667 31.33333333] ; [14.33333333 15.66666667],0
p11,1,0.056417,3.639706,[49 11] ; [19 11],[45.33333333 14.66666667] ; [22.66666667  7.33333333],0
b4,1,0.067889,3.333333,[40 20] ; [14 16],[36. 24.] ; [18. 12.],0
a2,1,0.068686,3.314154,[10 50] ; [ 1 29],[ 7.33333333 52.66666667] ; [ 3.66666667 26.33333333],0
d2,1,0.070462,3.272236,[21 39] ; [ 5 25],[17.33333333 42.66666667] ; [ 8.66666667 21.33333333],0
a1,1,0.070543,3.270349,[ 1 59] ; [ 3 27],[ 2.66666667 57.33333333] ; [ 1.33333333 28.66666667],0
p6,1,0.071079,3.257919,[30 30] ; [ 9 21],[26. 34.] ; [13. 17.],0
n4,1,0.110727,2.54381,[44 16] ; [17 13],[40.66666667 19.33333333] ; [20.33333333  9.66666667],0
s5,1,0.115749,2.473922,[19 38] ; [ 5 24],[15.90697674 41.09302326] ; [ 8.09302326 20.90697674],0
a4,1,0.118459,2.437572,[19 40] ; [ 5 25],[15.91011236 43.08988764] ; [ 8.08988764 21.91011236],0
v4,1,0.120936,2.40516,[56  4] ; [24  5],[53.93258427  6.06741573] ; [26.06741573  2.93258427],0
s7,1,0.144074,2.133894,[32 25] ; [11 17],[28.83529412 28.16470588] ; [14.16470588 13.83529412],0
v2,1,0.158141,1.991916,[28 29] ; [10 20],[24.89655172 32.10344828] ; [13.10344828 16.89655172],0
p1,1,0.172356,1.862331,[13 47] ; [ 3 27],[10.66666667 49.33333333] ; [ 5.33333333 24.66666667],0
p12,1,0.188313,1.730769,[10 50] ; [ 2 28],[ 8. 52.] ; [ 4. 26.],0
d1,1,0.190346,1.714939,[ 7 53] ; [ 1 29],[ 5.33333333 54.66666667] ; [ 2.66666667 27.33333333],0
b5,1,0.212881,1.551724,[36 24] ; [22  8],[38.66666667 21.33333333] ; [19.33333333 10.66666667],0
n6,1,0.230139,1.44,[52  8] ; [23  7],[50. 10.] ; [25.  5.],0
p2,1,0.230139,1.44,[52  8] ; [23  7],[50. 10.] ; [25.  5.],0
r3,1,0.23568,1.40625,[55  5] ; [25  5],[53.33333333  6.66666667] ; [26.66666667  3.33333333],0
p8,1,0.238489,1.389503,[42 17] ; [17 12],[39.55681818 19.44318182] ; [19.44318182  9.55681818],0
n5,1,0.249675,1.32512,[45 15] ; [19 11],[42.66666667 17.33333333] ; [21.33333333  8.66666667],0
n1,1,0.263085,1.252449,[3 7] ; [4 3],[4.11764706 5.88235294] ; [2.88235294 4.11764706],0
n2,1,0.263085,1.252449,[7 3] ; [3 4],[5.88235294 4.11764706] ; [4.11764706 2.88235294],0
a6,1,0.284503,1.145455,[39 21] ; [16 14],[36.66666667 23.33333333] ; [18.33333333 11.66666667],0
v1,1,0.29624,1.091044,[31 29] ; [12 18],[28.66666667 31.33333333] ; [14.33333333 15.66666667],0
a8,1,0.301621,1.067014,[ 5 48] ; [ 5 24],[ 6.46341463 46.53658537] ; [ 3.53658537 25.46341463],0
p3,1,0.36131,0.833333,[38 22] ; [16 14],[36. 24.] ; [18. 12.],0
u3,1,0.389177,0.741513,[13 11] ; [6 9],[11.69230769 12.30769231] ; [7.30769231 7.69230769],0
p7,1,0.392868,0.730045,[43 17] ; [24  6],[44.66666667 15.33333333] ; [22.33333333  7.66666667],0
s6,1,0.416263,0.660843,[38 20] ; [17 13],[36.25 21.75] ; [18.75 11.25],0
n3,1,0.452209,0.56511,[7 3] ; [6 1],[7.64705882 2.35294118] ; [5.35294118 1.64705882],0
a3,1,0.453255,0.5625,[35 25] ; [15 15],[33.33333333 26.66666667] ; [16.66666667 13.33333333],0
s2,1,0.502492,0.44967,[29 30] ; [17 13],[30.49438202 28.50561798] ; [15.50561798 14.49438202],0
p5,1,0.600351,0.274467,[13 46] ; [ 5 24],[12.06818182 46.93181818] ; [ 5.93181818 23.06818182],0
p9,1,0.696606,0.152027,[50 10] ; [24  6],[49.33333333 10.66666667] ; [24.66666667  5.33333333],0
u2,1,0.720786,0.127741,[13 11] ; [9 6],[13.53846154 10.46153846] ; [8.46153846 6.53846154],0
b1,1,0.764177,0.09,[26 34] ; [14 16],[26.66666667 33.33333333] ; [13.33333333 16.66666667],0
s3,1,0.782765,0.07602,[37 23] ; [17 12],[36.40449438 23.59550562] ; [17.59550562 11.40449438],0
s4,1,0.832087,0.044955,[ 9 51] ; [ 4 26],[ 8.66666667 51.33333333] ; [ 4.33333333 25.66666667],0
s8,1,0.880765,0.0225,[27 33] ; [13 17],[26.66666667 33.33333333] ; [13.33333333 16.66666667],0
d4,1,0.881468,0.022233,[29 31] ; [15 15],[29.33333333 30.66666667] ; [14.66666667 15.33333333],0
s1,1,0.983966,0.000404,[ 4 55] ; [ 2 28],[ 3.97752809 55.02247191] ; [ 2.02247191 27.97752809],0
