Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,9.3e-05,15.272666,[31 14] ; [ 1 12],[24.82758621 20.17241379] ; [7.17241379 5.82758621],1
d5,1,0.000137,14.546622,[38  7] ; [4 9],[32.5862069 12.4137931] ; [9.4137931 3.5862069],1
s6,1,0.003804,8.375159,[30 14] ; [ 3 10],[25.47368421 18.52631579] ; [7.52631579 5.47368421],0
a3,1,0.018943,5.506813,[27 18] ; [ 3 10],[23.27586207 21.72413793] ; [6.72413793 6.27586207],0
n3,1,0.038867,4.266667,[3 7] ; [5 1],[5. 5.] ; [3. 3.],0
b4,1,0.067079,3.353082,[30 15] ; [5 8],[27.15517241 17.84482759] ; [7.84482759 5.15517241],0
r3,1,0.087023,2.9286,[42  3] ; [10  3],[40.34482759  4.65517241] ; [11.65517241  1.34482759],0
r1,1,0.089035,2.891738,[35 10] ; [7 6],[32.5862069 12.4137931] ; [9.4137931 3.5862069],0
a6,1,0.095403,2.780765,[32 13] ; [6 7],[29.48275862 15.51724138] ; [8.51724138 4.48275862],0
d2,1,0.115403,2.478632,[25 20] ; [4 9],[22.5 22.5] ; [6.5 6.5],0
b1,1,0.128224,2.313876,[24 21] ; [10  3],[26.37931034 18.62068966] ; [7.62068966 5.37931034],0
a5,1,0.133001,2.257119,[31 14] ; [6 7],[28.70689655 16.29310345] ; [8.29310345 4.70689655],0
n5,1,0.168992,1.891864,[27 18] ; [5 8],[24.82758621 20.17241379] ; [7.17241379 5.82758621],0
r4,1,0.170639,1.877323,[36  9] ; [8 5],[34.13793103 10.86206897] ; [9.86206897 3.13793103],0
u2,1,0.171857,1.866667,[12  6] ; [4 6],[10.28571429  7.71428571] ; [5.71428571 4.28571429],0
p6,1,0.183415,1.769734,[14 28] ; [7 6],[16.03636364 25.96363636] ; [4.96363636 8.03636364],0
s2,1,0.221289,1.495992,[22 22] ; [4 9],[20.07017544 23.92982456] ; [5.92982456 7.07017544],0
d3,1,0.238867,1.387266,[35 10] ; [8 5],[33.36206897 11.63793103] ; [9.63793103 3.36206897],0
a7,1,0.242692,1.364887,[32 13] ; [7 6],[30.25862069 14.74137931] ; [8.74137931 4.25862069],0
s8,1,0.246639,1.342242,[14 30] ; [ 2 11],[12.35087719 31.64912281] ; [3.64912281 9.35087719],0
p10,1,0.263436,1.250609,[18 27] ; [ 3 10],[16.29310345 28.70689655] ; [4.70689655 8.29310345],0
s4,1,0.274813,1.192564,[ 9 34] ; [ 1 12],[ 7.67857143 35.32142857] ; [ 2.32142857 10.67857143],0
s3,1,0.277295,1.180301,[25 20] ; [5 8],[23.27586207 21.72413793] ; [6.72413793 6.27586207],0
u3,1,0.28315,1.151909,[11  7] ; [4 6],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
p1,1,0.323903,0.97312,[ 3 42] ; [ 2 11],[ 3.87931034 41.12068966] ; [ 1.12068966 11.87931034],0
p3,1,0.336409,0.924069,[22 23] ; [4 8],[20.52631579 24.47368421] ; [5.47368421 6.52631579],0
p2,1,0.402415,0.701099,[33 12] ; [11  2],[34.13793103 10.86206897] ; [9.86206897 3.13793103],0
p11,1,0.457902,0.551019,[26 19] ; [6 7],[24.82758621 20.17241379] ; [7.17241379 5.82758621],0
r2,1,0.515917,0.422049,[40  4] ; [11  2],[39.36842105  4.63157895] ; [11.63157895  1.36842105],0
v3,1,0.543431,0.369217,[13 31] ; [5 8],[13.89473684 30.10526316] ; [4.10526316 8.89473684],0
p7,1,0.544467,0.367323,[33 10] ; [11  2],[33.78571429  9.21428571] ; [10.21428571  2.78571429],0
n2,1,0.550985,0.355556,[8 2] ; [4 2],[7.5 2.5] ; [4.5 1.5],0
s7,1,0.567282,0.327251,[17 26] ; [4 9],[16.125 26.875] ; [4.875 8.125],0
p4,1,0.710383,0.137895,[28 16] ; [9 4],[28.56140351 15.43859649] ; [8.43859649 4.56140351],0
v1,1,0.749115,0.102276,[16 29] ; [4 9],[15.51724138 29.48275862] ; [4.48275862 8.51724138],0
v2,1,0.752858,0.099145,[23 22] ; [6 7],[22.5 22.5] ; [6.5 6.5],0
s5,1,0.790522,0.070561,[ 8 35] ; [ 2 11],[ 7.67857143 35.32142857] ; [ 2.32142857 10.67857143],0
b2,1,0.810088,0.05775,[ 4 21] ; [1 7],[ 3.78787879 21.21212121] ; [1.21212121 6.78787879],0
b3,1,0.810088,0.05775,[ 4 21] ; [1 7],[ 3.78787879 21.21212121] ; [1.21212121 6.78787879],0
a8,1,0.825283,0.048733,[ 4 34] ; [ 1 11],[ 3.8 34.2] ; [ 1.2 10.8],0
v4,1,0.892297,0.018333,[41  4] ; [12  1],[41.12068966  3.87931034] ; [11.87931034  1.12068966],0
p5,1,0.897716,0.016524,[ 3 42] ; [ 1 12],[ 3.10344828 41.89655172] ; [ 0.89655172 12.10344828],0
n4,1,0.920439,0.009976,[27 18] ; [8 5],[27.15517241 17.84482759] ; [7.84482759 5.15517241],0
n6,1,0.943011,0.00511,[30 14] ; [9 4],[30.10526316 13.89473684] ; [8.89473684 4.10526316],0
b5,1,0.964303,0.002003,[28 17] ; [8 5],[27.93103448 17.06896552] ; [8.06896552 4.93103448],0
n1,1,1.0,0.0,[5 5] ; [3 3],[5. 5.] ; [3. 3.],0
