Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.676924,[ 67 167] ; [147 150],[ 94.30508475 139.69491525] ; [119.69491525 177.30508475],1
v2,1,1e-06,23.331522,[111 119] ; [207  93],[138.  92.] ; [180. 120.],1
n5,1,1e-05,19.454098,[157  81] ; [253  54],[179.04587156  58.95412844] ; [230.95412844  76.04587156],1
p4,1,2.4e-05,17.875719,[128 113] ; [217  90],[151.72445255  89.27554745] ; [193.27554745 113.72445255],1
p6,1,3.8e-05,16.976576,[ 72 168] ; [145 161],[ 95.38461538 144.61538462] ; [121.61538462 184.38461538],1
p3,1,0.000153,14.332036,[104 137] ; [183 125],[125.98724954 115.01275046] ; [161.01275046 146.98724954],1
p8,1,0.000291,13.127533,[113 126] ; [191 113],[133.80478821 105.19521179] ; [170.19521179 133.80478821],1
s8,1,0.001814,9.728647,[ 91 149] ; [157 149],[109.01098901 130.98901099] ; [138.98901099 167.01098901],0
p5,1,0.003594,8.478162,[ 19 221] ; [ 50 258],[ 30.2189781 209.7810219] ; [ 38.7810219 269.2189781],0
s6,1,0.005904,7.579446,[151  88] ; [224  78],[165.66543438  73.33456562] ; [209.33456562  92.66543438],0
p1,1,0.007801,7.078588,[ 13 227] ; [ 37 271],[ 21.89781022 218.10218978] ; [ 28.10218978 279.89781022],0
n4,1,0.00889,6.84485,[171  70] ; [248  60],[183.93260474  57.06739526] ; [235.06739526  72.93260474],0
s5,1,0.01848,5.55008,[ 69 165] ; [116 179],[ 81.83364839 152.16635161] ; [103.16635161 191.83364839],0
u4,1,0.019031,5.498672,[  1 240] ; [ 10 299],[  4.82 236.18] ; [  6.18 302.82],0
p12,1,0.020321,5.38412,[ 16 225] ; [ 39 270],[ 24.1 216.9] ; [ 30.9 278.1],0
n6,1,0.023345,5.142673,[197  43] ; [272  34],[206.15384615  33.84615385] ; [262.84615385  43.15384615],0
p7,1,0.02486,5.033579,[143  92] ; [211  90],[155.20522388  79.79477612] ; [198.79477612 102.20522388],0
a5,1,0.026462,4.925573,[174  67] ; [248  61],[184.91272727  56.08727273] ; [237.08727273  71.91272727],0
b5,1,0.031006,4.652611,[144  97] ; [212  97],[155.99272727  85.00727273] ; [200.00727273 108.99272727],0
u1,1,0.033557,4.517145,[ 44 197] ; [ 80 229],[ 54.33454545 186.66545455] ; [ 69.66545455 239.33454545],0
p10,1,0.04809,3.906832,[212  27] ; [287  20],[218.42673993  20.57326007] ; [280.57326007  26.42673993],0
r4,1,0.04868,3.886343,[216  25] ; [291  18],[222.15818182  18.84181818] ; [284.84181818  24.15818182],0
s7,1,0.052788,3.750606,[104 126] ; [158 136],[115. 115.] ; [147. 147.],0
r2,1,0.054295,3.703603,[221  15] ; [298   9],[225.56906077  10.43093923] ; [293.43093923  13.56906077],0
r1,1,0.056899,3.625544,[189  51] ; [261  46],[197.44058501  42.55941499] ; [252.55941499  54.44058501],0
p11,1,0.06629,3.372572,[188  53] ; [260  49],[196.30545455  44.69454545] ; [251.69454545  57.30545455],0
