Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,150.739034,[155   7] ; [11 57],[116.92173913  45.07826087] ; [49.07826087 18.92173913],1
s7,1,0.0,35.019026,[125  30] ; [25 38],[106.65137615  48.34862385] ; [43.34862385 19.65137615],1
s6,1,0.0,34.993234,[154   6] ; [45 21],[140.88495575  19.11504425] ; [58.11504425  7.88495575],1
s8,1,7e-06,20.141742,[113  47] ; [26 41],[97.97356828 62.02643172] ; [41.02643172 25.97356828],1
r2,1,0.00027,13.268149,[160   1] ; [61  7],[155.37554585   5.62445415] ; [65.62445415  2.37554585],1
a3,1,0.015696,5.836568,[136  25] ; [48 20],[129.36244541  31.63755459] ; [54.63755459 13.36244541],0
s4,1,0.045256,4.009058,[ 44 115] ; [10 56],[ 38.16 120.84] ; [15.84 50.16],0
v3,1,0.06072,3.517596,[80 79] ; [25 43],[73.54625551 85.45374449] ; [31.45374449 36.54625551],0
b5,1,0.060941,3.51158,[91 71] ; [29 39],[84.52173913 77.47826087] ; [35.47826087 32.52173913],0
d1,1,0.069873,3.285997,[113  49] ; [39 29],[107.06086957  54.93913043] ; [44.93913043 23.06086957],0
v1,1,0.073702,3.198583,[109  52] ; [37 30],[103.09649123  57.90350877] ; [42.90350877 24.09649123],0
n2,1,0.100663,2.695,[33  2] ; [11  3],[31.42857143  3.57142857] ; [12.57142857  1.42857143],0
p9,1,0.108514,2.575733,[150  11] ; [58  9],[146.87719298  14.12280702] ; [61.12280702  5.87719298],0
d3,1,0.131748,2.271789,[120  41] ; [44 24],[115.30131004  45.69868996] ; [48.69868996 19.30131004],0
p2,1,0.135868,2.224141,[145  17] ; [56 12],[141.57391304  20.42608696] ; [59.42608696  8.57391304],0
r3,1,0.17171,1.86795,[154   7] ; [61  6],[151.82017544   9.17982456] ; [63.17982456  3.82017544],0
p3,1,0.219349,1.508625,[95 66] ; [46 22],[99.13100437 61.86899563] ; [41.86899563 26.13100437],0
a4,1,0.226486,1.462797,[88 74] ; [31 37],[83.8173913 78.1826087] ; [35.1826087 32.8173913],0
v2,1,0.232818,1.42356,[90 66] ; [45 23],[94.01785714 61.98214286] ; [40.98214286 27.01785714],0
a7,1,0.245593,1.348203,[112  50] ; [41 26],[108.23580786  53.76419214] ; [44.76419214 22.23580786],0
d2,1,0.275551,1.188902,[92 69] ; [33 34],[88.26754386 72.73245614] ; [36.73245614 30.26754386],0
p6,1,0.283817,1.148721,[83 77] ; [30 38],[79.29824561 80.70175439] ; [33.70175439 34.29824561],0
u3,1,0.321561,0.982587,[18  8] ; [11  9],[16.39130435  9.60869565] ; [12.60869565  7.39130435],0
n1,1,0.329859,0.949451,[19 16] ; [5 8],[17.5 17.5] ; [6.5 6.5],0
r4,1,0.345383,0.890347,[155   7] ; [63  5],[153.54782609   8.45217391] ; [64.45217391  3.54782609],0
a2,1,0.346163,0.887471,[ 48 114] ; [16 52],[ 45.07826087 116.92173913] ; [18.92173913 49.07826087],0
d4,1,0.350827,0.870463,[139  21] ; [55 12],[136.74008811  23.25991189] ; [57.25991189  9.74008811],0
p5,1,0.410702,0.676767,[ 37 125] ; [19 49],[ 39.44347826 122.55652174] ; [16.55652174 51.44347826],0
b3,1,0.412576,0.671366,[41 61] ; [20 22],[43.20833333 58.79166667] ; [17.79166667 24.20833333],0
b2,1,0.412576,0.671366,[41 61] ; [20 22],[43.20833333 58.79166667] ; [17.79166667 24.20833333],0
b1,1,0.433247,0.614104,[71 91] ; [26 42],[68.32173913 93.67826087] ; [28.67826087 39.32173913],0
u2,1,0.436447,0.605607,[12 14] ; [11  8],[13.28888889 12.71111111] ; [9.71111111 9.28888889],0
d5,1,0.440434,0.595151,[136  24] ; [55 13],[134.03508772  25.96491228] ; [56.96491228 11.03508772],0
p7,1,0.445989,0.580826,[122  34] ; [50 18],[119.78571429  36.21428571] ; [52.21428571 15.78571429],0
a8,1,0.459069,0.548165,[ 21 129] ; [11 50],[ 22.74881517 127.25118483] ; [ 9.25118483 51.74881517],0
n6,1,0.476249,0.50744,[153   8] ; [63  5],[151.86026201   9.13973799] ; [64.13973799  3.86026201],0
s1,1,0.484346,0.489062,[  5 155] ; [ 1 66],[  4.22907489 155.77092511] ; [ 1.77092511 65.22907489],0
p8,1,0.505929,0.442478,[103  57] ; [40 27],[100.79295154  59.20704846] ; [42.20704846 24.79295154],0
p12,1,0.530912,0.392646,[ 24 137] ; [ 8 60],[ 22.49781659 138.50218341] ; [ 9.50218341 58.49781659],0
a5,1,0.553916,0.350348,[134  28] ; [54 14],[132.4173913  29.5826087] ; [55.5826087 12.4173913],0
p4,1,0.559052,0.341348,[116  44] ; [46 21],[114.18502203  45.81497797] ; [47.81497797 19.18502203],0
v4,1,0.616659,0.250592,[157   5] ; [65  3],[156.36521739   5.63478261] ; [65.63478261  2.36521739],0
p1,1,0.639817,0.218981,[ 20 141] ; [10 58],[ 21.09170306 139.90829694] ; [ 8.90829694 59.09170306],0
n3,1,0.837848,0.04188,[26 10] ; [9 4],[25.71428571 10.28571429] ; [9.28571429 3.71428571],0
n4,1,0.852919,0.034372,[148  13] ; [63  5],[148.34497817  12.65502183] ; [62.65502183  5.34497817],0
p11,1,0.875949,0.024369,[132  30] ; [56 12],[132.4173913  29.5826087] ; [55.5826087 12.4173913],0
u1,1,0.897229,0.016683,[ 37 125] ; [15 53],[ 36.62608696 125.37391304] ; [15.37391304 52.62608696],0
p10,1,0.907296,0.013561,[145  16] ; [60  7],[144.75877193  16.24122807] ; [60.24122807  6.75877193],0
a1,1,0.93299,0.00707,[ 10 152] ; [ 4 64],[  9.86086957 152.13913043] ; [ 4.13913043 63.86086957],0
b4,1,0.951087,0.003763,[96 66] ; [40 28],[95.79130435 66.20869565] ; [40.20869565 27.79130435],0
r1,1,0.968645,0.001545,[140  21] ; [59  9],[139.90829694  21.09170306] ; [59.09170306  8.90829694],0
a6,1,0.991431,0.000115,[106  54] ; [45 23],[105.96491228  54.03508772] ; [45.03508772 22.96491228],0
