Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8.4e-05,15.475459,[82 11] ; [42 26],[71.62732919 21.37267081] ; [52.37267081 15.62732919],1
p2,1,0.001739,9.806854,[70 23] ; [35 33],[60.65217391 32.34782609] ; [44.34782609 23.65217391],0
p10,1,0.002744,8.97034,[61 32] ; [27 38],[51.79746835 41.20253165] ; [36.20253165 28.79746835],0
p9,1,0.003589,8.480965,[67 25] ; [32 32],[58.38461538 33.61538462] ; [40.61538462 23.38461538],0
r3,1,0.00397,8.297676,[90  3] ; [57 11],[84.91304348  8.08695652] ; [62.08695652  5.91304348],0
b1,1,0.004294,8.155229,[31 62] ; [38 30],[39.85714286 53.14285714] ; [29.14285714 38.85714286],0
n4,1,0.010617,6.528373,[46 47] ; [20 48],[38.1242236 54.8757764] ; [27.8757764 40.1242236],0
a8,1,0.012668,6.214842,[11 77] ; [ 1 64],[ 6.90196078 81.09803922] ; [ 5.09803922 59.90196078],0
r2,1,0.014427,5.985143,[85  6] ; [54 13],[80.05696203 10.94303797] ; [58.94303797  8.05696203],0
s4,1,0.015655,5.841244,[15 78] ; [22 46],[21.37267081 71.62732919] ; [15.62732919 52.37267081],0
b3,1,0.026085,4.950385,[25 31] ; [ 7 26],[20.13483146 35.86516854] ; [11.86516854 21.13483146],0
b2,1,0.026085,4.950385,[25 31] ; [ 7 26],[20.13483146 35.86516854] ; [11.86516854 21.13483146],0
r1,1,0.050666,3.819267,[70 22] ; [42 26],[64.4 27.6] ; [47.6 20.4],0
n6,1,0.051643,3.787295,[62 31] ; [35 33],[56.0310559 36.9689441] ; [40.9689441 27.0310559],0
s1,1,0.05428,3.704056,[ 2 91] ; [ 6 62],[ 4.62111801 88.37888199] ; [ 3.37888199 64.62111801],0
d5,1,0.070355,3.274711,[63 30] ; [54 13],[68.00625 24.99375] ; [48.99375 18.00625],0
d1,1,0.072168,3.233014,[40 53] ; [39 29],[45.63354037 47.36645963] ; [33.36645963 34.63354037],0
n2,1,0.077604,3.11438,[21  8] ; [15 15],[17.69491525 11.30508475] ; [18.30508475 11.69491525],0
d2,1,0.08811,2.908573,[34 59] ; [34 34],[39.27950311 53.72049689] ; [28.72049689 39.27950311],0
v4,1,0.094828,2.790447,[84  7] ; [57 11],[80.69811321 10.30188679] ; [60.30188679  7.69811321],0
p7,1,0.103317,2.65358,[39 54] ; [20 48],[34.08074534 58.91925466] ; [24.91925466 43.08074534],0
s8,1,0.195281,1.677322,[31 62] ; [16 51],[27.31875 65.68125] ; [19.68125 47.31875],0
v2,1,0.219165,1.509829,[46 42] ; [27 37],[42.26315789 45.73684211] ; [30.73684211 33.26315789],0
a5,1,0.230804,1.435899,[58 35] ; [36 32],[54.29813665 38.70186335] ; [39.70186335 28.29813665],0
n1,1,0.242908,1.363636,[10 20] ; [ 6 24],[ 8. 22.] ; [ 8. 22.],0
a2,1,0.26751,1.22947,[13 80] ; [14 54],[15.59627329 77.40372671] ; [11.40372671 56.59627329],0
v1,1,0.294428,1.099261,[36 54] ; [21 45],[32.88461538 57.11538462] ; [24.11538462 41.88461538],0
d4,1,0.304617,1.053871,[75 18] ; [59  9],[77.40372671 15.59627329] ; [56.59627329 11.40372671],0
a3,1,0.316532,1.003223,[64 29] ; [41 26],[61.03125 31.96875] ; [43.96875 23.03125],0
p3,1,0.332434,0.939394,[24 69] ; [22 45],[26.7375 66.2625] ; [19.2625 47.7375],0
p1,1,0.414748,0.66515,[ 4 88] ; [ 5 63],[ 5.175 86.825] ; [ 3.825 64.175],0
b4,1,0.434333,0.611208,[59 34] ; [39 29],[56.60869565 36.39130435] ; [41.39130435 26.60869565],0
a1,1,0.454225,0.560089,[ 5 88] ; [ 2 66],[ 4.04347826 88.95652174] ; [ 2.95652174 65.04347826],0
u2,1,0.474401,0.511706,[19 10] ; [14 11],[17.72222222 11.27777778] ; [15.27777778  9.72222222],0
v3,1,0.490871,0.474616,[22 68] ; [12 49],[20.26490066 69.73509934] ; [13.73509934 47.26490066],0
a6,1,0.520906,0.412098,[58 35] ; [39 29],[56.0310559 36.9689441] ; [40.9689441 27.0310559],0
n3,1,0.556821,0.345238,[22  7] ; [20  9],[21.  8.] ; [21.  8.],0
u3,1,0.563059,0.334435,[20  9] ; [16 10],[18.98181818 10.01818182] ; [17.01818182  8.98181818],0
s2,1,0.615,0.252958,[36 57] ; [29 39],[37.54658385 55.45341615] ; [27.45341615 40.54658385],0
s5,1,0.6371,0.222555,[22 68] ; [17 44],[23.24503311 66.75496689] ; [15.75496689 45.24503311],0
p6,1,0.666547,0.185668,[19 73] ; [12 55],[17.93710692 74.06289308] ; [13.06289308 53.93710692],0
d3,1,0.727894,0.121054,[60 33] ; [45 22],[61.03125 31.96875] ; [43.96875 23.03125],0
u1,1,0.828727,0.0468,[12 81] ; [ 8 60],[11.55279503 81.44720497] ; [ 8.44720497 59.55279503],0
s3,1,0.845978,0.037734,[44 48] ; [31 36],[43.39622642 48.60377358] ; [31.60377358 35.39622642],0
s7,1,0.852999,0.034334,[29 60] ; [19 42],[28.48 60.52] ; [19.52 41.48],0
a7,1,0.867129,0.027991,[65 28] ; [46 21],[64.51875 28.48125] ; [46.48125 20.51875],0
s6,1,0.903302,0.01476,[46 47] ; [32 34],[45.62264151 47.37735849] ; [32.37735849 33.62264151],0
p4,1,0.907237,0.013578,[32 61] ; [24 44],[32.34782609 60.65217391] ; [23.65217391 44.34782609],0
b5,1,0.951281,0.003733,[57 36] ; [42 26],[57.1863354 35.8136646] ; [41.8136646 26.1863354],0
a4,1,0.967853,0.001624,[38 55] ; [28 40],[38.1242236 54.8757764] ; [27.8757764 40.1242236],0
