Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,52.547313,[146  91] ; [ 39 120],[110.71969697 126.28030303] ; [74.28030303 84.71969697],1
v1,1,0.0,36.855324,[166  71] ; [62 96],[136.8 100.2] ; [91.2 66.8],1
a5,1,0.00091,11.002261,[204  38] ; [115  48],[190.61234568  51.38765432] ; [128.38765432  34.61234568],1
s4,1,0.002055,9.499863,[ 39 202] ; [ 47 115],[ 51.4292804 189.5707196] ; [ 34.5707196 127.4292804],0
a6,1,0.002285,9.305566,[173  67] ; [93 69],[158.80597015  81.19402985] ; [107.19402985  54.80597015],0
r4,1,0.004139,8.221739,[231  11] ; [143  20],[223.47654321  18.52345679] ; [150.52345679  12.47654321],0
r1,1,0.006437,7.423774,[214  28] ; [127  35],[204.26237624  37.73762376] ; [136.73762376  25.26237624],0
d2,1,0.007646,7.114558,[147  94] ; [77 85],[133.95533499 107.04466501] ; [90.04466501 71.95533499],0
a7,1,0.010276,6.586373,[183  59] ; [104  59],[171.49135802  70.50864198] ; [115.50864198  47.49135802],0
n1,1,0.011617,6.368399,[17 30] ; [27 16],[22.97777778 24.02222222] ; [21.02222222 21.97777778],0
r3,1,0.018122,5.584321,[236   5] ; [152  11],[231.45544554   9.54455446] ; [156.54455446   6.45544554],0
d5,1,0.018571,5.541486,[210  31] ; [126  35],[201.43283582  39.56716418] ; [134.56716418  26.43283582],0
a3,1,0.019386,5.466357,[204  37] ; [122  40],[194.9528536  46.0471464] ; [131.0471464  30.9528536],0
d4,1,0.022807,5.183114,[213  28] ; [129  32],[205.02985075  35.97014925] ; [136.97014925  24.02985075],0
u1,1,0.027819,4.839256,[ 71 171] ; [ 32 131],[ 61.54567901 180.45432099] ; [ 41.45432099 121.54567901],0
p7,1,0.04101,4.175584,[174  60] ; [103  56],[164.93129771  69.06870229] ; [112.06870229  46.93129771],0
d1,1,0.051193,3.801955,[164  78] ; [95 68],[154.76049383  87.23950617] ; [104.23950617  58.76049383],0
r2,1,0.059731,3.544825,[235   4] ; [154   8],[231.8478803   7.1521197] ; [157.1521197   4.8478803],0
s8,1,0.07876,3.090313,[175  64] ; [106  57],[167.06218905  71.93781095] ; [113.93781095  49.06218905],0
s1,1,0.108061,2.582351,[  8 231] ; [ 11 150],[ 11.3525 227.6475] ; [  7.6475 153.3525],0
a8,1,0.121029,2.403954,[ 41 170] ; [ 20 131],[ 35.55524862 175.44475138] ; [ 25.44475138 125.55524862],0
p9,1,0.127918,2.317586,[218  21] ; [140  22],[213.37157107  25.62842893] ; [144.62842893  17.37157107],0
p12,1,0.132038,2.268381,[ 29 212] ; [ 12 150],[ 24.51861042 216.48138958] ; [ 16.48138958 145.51861042],0
n3,1,0.137394,2.206909,[36 12] ; [26 17],[32.7032967 15.2967033] ; [29.2967033 13.7032967],0
b4,1,0.155705,2.015452,[142 100] ; [84 79],[135.04197531 106.95802469] ; [90.95802469 72.04197531],0
b1,1,0.170996,1.87419,[ 89 153] ; [71 92],[ 95.60493827 146.39506173] ; [64.39506173 98.60493827],0
p10,1,0.18622,1.747271,[209  30] ; [134  28],[204.43142145  34.56857855] ; [138.56857855  23.43142145],0
p3,1,0.198112,1.65624,[145  96] ; [87 75],[138.73945409 102.26054591] ; [93.26054591 68.73945409],0
n4,1,0.204208,1.612024,[209  32] ; [133  29],[204.52109181  36.47890819] ; [137.47890819  24.52109181],0
s2,1,0.213762,1.545761,[182  59] ; [114  49],[176.57425743  64.42574257] ; [119.42574257  43.57425743],0
p11,1,0.233297,1.420648,[196  46] ; [124  39],[191.20987654  50.79012346] ; [128.79012346  34.20987654],0
a1,1,0.253774,1.302409,[ 17 225] ; [  7 156],[ 14.34074074 227.65925926] ; [  9.65925926 153.34074074],0
s5,1,0.272243,1.205408,[111 120] ; [67 91],[105.70179949 125.29820051] ; [72.29820051 85.70179949],0
a2,1,0.293546,1.103287,[ 74 168] ; [ 42 121],[ 69.31358025 172.68641975] ; [ 46.68641975 116.31358025],0
n5,1,0.304129,1.055999,[201  39] ; [130  33],[197.12158809  42.87841191] ; [133.87841191  29.12158809],0
