Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.6e-05,18.608494,[ 3 13] ; [44 13],[10.30136986  5.69863014] ; [36.69863014 20.30136986],1
p11,1,0.000244,13.458688,[9 7] ; [54  4],[13.62162162  2.37837838] ; [49.37837838  8.62162162],1
p8,1,0.000851,11.127518,[9 7] ; [52  5],[13.36986301  2.63013699] ; [47.63013699  9.36986301],1
p3,1,0.000968,10.887437,[8 8] ; [50  7],[12.71232877  3.28767123] ; [45.28767123 11.71232877],1
p4,1,0.006106,7.518797,[10  5] ; [53  4],[13.125  1.875] ; [49.875  7.125],0
v2,1,0.016848,5.712089,[ 6 10] ; [38 16],[10.05714286  5.94285714] ; [33.94285714 20.05714286],0
s7,1,0.024071,5.089514,[7 8] ; [40 12],[10.52238806  4.47761194] ; [36.47761194 15.52238806],0
p2,1,0.075959,3.149307,[12  4] ; [53  5],[14.05405405  1.94594595] ; [50.94594595  7.05405405],0
r3,1,0.087375,2.922078,[13  3] ; [53  3],[14.66666667  1.33333333] ; [51.33333333  4.66666667],0
s6,1,0.10264,2.664034,[11  5] ; [45  7],[13.17647059  2.82352941] ; [42.82352941  9.17647059],0
r1,1,0.111736,2.529489,[11  5] ; [49  8],[13.15068493  2.84931507] ; [46.84931507 10.15068493],0
s8,1,0.117927,2.444646,[7 9] ; [36 19],[9.69014085 6.30985915] ; [33.30985915 21.69014085],0
a3,1,0.118689,2.43454,[10  6] ; [47 11],[12.32432432  3.67567568] ; [44.67567568 13.32432432],0
a6,1,0.1329,2.258304,[8 8] ; [40 17],[10.52054795  5.47945205] ; [37.47945205 19.52054795],0
n1,1,0.145729,2.116402,[3 1] ; [4 8],[1.75 2.25] ; [5.25 6.75],0
s1,1,0.151479,2.057294,[ 3 13] ; [ 4 54],[ 1.51351351 14.48648649] ; [ 5.48648649 52.51351351],0
u2,1,0.168843,1.893182,[3 3] ; [9 2],[4.23529412 1.76470588] ; [7.76470588 3.23529412],0
n5,1,0.198014,1.656964,[12  4] ; [51  7],[13.62162162  2.37837838] ; [49.37837838  8.62162162],0
r4,1,0.248013,1.33446,[13  3] ; [53  5],[14.27027027  1.72972973] ; [51.72972973  6.27027027],0
a2,1,0.260645,1.265329,[ 2 14] ; [15 43],[ 3.67567568 12.32432432] ; [13.32432432 44.67567568],0
a8,1,0.270547,1.213972,[ 1 13] ; [10 41],[ 2.36923077 11.63076923] ; [ 8.63076923 42.36923077],0
p12,1,0.281804,1.158369,[ 3 12] ; [20 38],[ 4.7260274 10.2739726] ; [18.2739726 39.7260274],0
v1,1,0.300195,1.073327,[12  3] ; [37 19],[10.35211268  4.64788732] ; [38.64788732 17.35211268],0
a4,1,0.329791,0.949718,[ 5 11] ; [26 32],[6.7027027 9.2972973] ; [24.2972973 33.7027027],0
a1,1,0.337078,0.921511,[ 1 15] ; [ 9 49],[ 2.16216216 13.83783784] ; [ 7.83783784 50.16216216],0
u3,1,0.348723,0.878099,[3 3] ; [8 3],[3.88235294 2.11764706] ; [7.11764706 3.88235294],0
s4,1,0.430881,0.620447,[ 1 14] ; [ 8 48],[ 1.90140845 13.09859155] ; [ 7.09859155 48.90140845],0
s5,1,0.467619,0.527597,[9 6] ; [35 15],[10.15384615  4.84615385] ; [33.84615385 16.15384615],0
n4,1,0.4889,0.478947,[13  3] ; [51  7],[13.83783784  2.16216216] ; [50.16216216  7.83783784],0
v3,1,0.510961,0.432099,[8 8] ; [32 22],[9.14285714 6.85714286] ; [30.85714286 23.14285714],0
b2,1,0.524758,0.404532,[4 6] ; [22 21],[4.90566038 5.09433962] ; [21.09433962 21.90566038],0
b3,1,0.524758,0.404532,[4 6] ; [22 21],[4.90566038 5.09433962] ; [21.09433962 21.90566038],0
a5,1,0.595026,0.282564,[12  4] ; [47 11],[12.75675676  3.24324324] ; [46.24324324 11.75675676],0
p9,1,0.625491,0.238226,[15  1] ; [55  2],[15.34246575  0.65753425] ; [54.65753425  2.34246575],0
b5,1,0.657896,0.196089,[9 7] ; [29 29],[8.21621622 7.78378378] ; [29.78378378 28.21621622],0
p1,1,0.722591,0.126024,[ 6 10] ; [19 39],[ 5.40540541 10.59459459] ; [19.59459459 38.40540541],0
d5,1,0.735918,0.113747,[12  4] ; [45 12],[12.49315068  3.50684932] ; [44.50684932 12.49315068],0
n3,1,0.793258,0.068687,[3 2] ; [8 4],[3.23529412 1.76470588] ; [7.76470588 4.23529412],0
p10,1,0.832774,0.044582,[14  1] ; [54  3],[14.16666667  0.83333333] ; [53.83333333  3.16666667],0
u1,1,0.836615,0.042529,[ 4 12] ; [16 42],[ 4.32432432 11.67567568] ; [15.67567568 42.32432432],0
s3,1,0.8423,0.039582,[9 6] ; [32 24],[8.66197183 6.33802817] ; [32.33802817 23.66197183],0
n2,1,0.86952,0.026984,[4 1] ; [10  2],[4.11764706 0.88235294] ; [9.88235294 2.11764706],0
d4,1,0.87461,0.024903,[14  2] ; [49  8],[13.80821918  2.19178082] ; [49.19178082  7.80821918],0
d1,1,0.875766,0.024442,[10  6] ; [35 23],[9.72972973 6.27027027] ; [35.27027027 22.72972973],0
r2,1,0.890632,0.018908,[15  1] ; [53  3],[15.11111111  0.88888889] ; [52.88888889  3.11111111],0
n6,1,0.890632,0.018908,[15  1] ; [53  3],[15.11111111  0.88888889] ; [52.88888889  3.11111111],0
d3,1,0.915589,0.011234,[12  4] ; [42 15],[11.83561644  4.16438356] ; [42.16438356 14.83561644],0
s2,1,0.94928,0.004046,[9 7] ; [32 24],[9.11111111 6.88888889] ; [31.88888889 24.11111111],0
d2,1,0.95055,0.003846,[8 8] ; [28 29],[7.89041096 8.10958904] ; [28.10958904 28.89041096],0
b4,1,0.963138,0.002136,[9 7] ; [33 25],[9.08108108 6.91891892] ; [32.91891892 25.08108108],0
b1,1,0.974892,0.000991,[ 6 10] ; [22 36],[6.05405405 9.94594595] ; [21.94594595 36.05405405],0
