Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000207,13.762105,[66 11] ; [18 16],[58.27027027 18.72972973] ; [25.72972973  8.27027027],1
r4,1,0.000513,12.067888,[58 19] ; [14 20],[49.94594595 27.05405405] ; [22.05405405 11.94594595],1
p11,1,0.001231,10.443328,[46 31] ; [ 9 25],[38.15315315 38.84684685] ; [16.84684685 17.15315315],0
d4,1,0.001904,9.639792,[61 16] ; [17 17],[54.10810811 22.89189189] ; [23.89189189 10.10810811],0
r3,1,0.002324,9.274623,[64 13] ; [19 15],[57.57657658 19.42342342] ; [25.42342342  8.57657658],0
s6,1,0.002946,8.840678,[33 42] ; [ 5 29],[26.14678899 48.85321101] ; [11.85321101 22.14678899],0
n2,1,0.008262,6.975887,[21  6] ; [ 6 10],[16.95348837 10.04651163] ; [10.04651163  5.95348837],0
s5,1,0.008993,6.82431,[18 56] ; [ 1 31],[13.26415094 60.73584906] ; [ 5.73584906 26.26415094],0
n5,1,0.009133,6.796653,[52 25] ; [14 20],[45.78378378 31.21621622] ; [20.21621622 13.78378378],0
s8,1,0.01329,6.130031,[20 56] ; [ 2 32],[15.2 60.8] ; [ 6.8 27.2],0
n4,1,0.01375,6.069942,[53 24] ; [15 19],[47.17117117 29.82882883] ; [20.82882883 13.17117117],0
s4,1,0.019728,5.43578,[15 60] ; [ 1 33],[11.00917431 63.99082569] ; [ 4.99082569 29.00917431],0
p10,1,0.027032,4.888777,[40 35] ; [10 23],[34.72222222 40.27777778] ; [15.27777778 17.72222222],0
p3,1,0.030021,4.708089,[24 53] ; [ 4 30],[19.42342342 57.57657658] ; [ 8.57657658 25.42342342],0
s7,1,0.03945,4.241385,[17 55] ; [ 2 29],[13.2815534 58.7184466] ; [ 5.7184466 25.2815534],0
p6,1,0.046868,3.950135,[16 60] ; [ 2 32],[12.43636364 63.56363636] ; [ 5.56363636 28.43636364],0
r2,1,0.049784,3.848727,[66  9] ; [24  9],[62.5 12.5] ; [27.5  5.5],0
u1,1,0.076015,3.148109,[11 66] ; [ 1 33],[ 8.32432432 68.67567568] ; [ 3.67567568 30.32432432],0
v2,1,0.119992,2.417421,[34 41] ; [ 9 22],[30.4245283 44.5754717] ; [12.5754717 18.4245283],0
p7,1,0.140324,2.174405,[21 55] ; [ 5 29],[17.96363636 58.03636364] ; [ 8.03636364 25.96363636],0
