Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,56.7769,[97 10] ; [ 6 21],[82.24626866 24.75373134] ; [20.75373134  6.24626866],1
d3,1,7e-06,20.200145,[80 26] ; [ 8 19],[70.13533835 35.86466165] ; [17.86466165  9.13533835],1
d2,1,0.000336,12.856794,[57 50] ; [ 4 23],[48.70895522 58.29104478] ; [12.29104478 14.70895522],1
a5,1,0.003467,8.54403,[79 28] ; [12 15],[72.6641791 34.3358209] ; [18.3358209  8.6641791],0
a4,1,0.006646,7.366313,[52 55] ; [ 5 21],[45.85714286 61.14285714] ; [11.14285714 14.85714286],0
p12,1,0.006843,7.313838,[  4 101] ; [ 5 22],[ 7.15909091 97.84090909] ; [ 1.84090909 25.15909091],0
p9,1,0.017496,5.645939,[94 12] ; [19  8],[90.06015038 15.93984962] ; [22.93984962  4.06015038],0
p2,1,0.025196,5.01034,[99  8] ; [21  6],[95.82089552 11.17910448] ; [24.17910448  2.82089552],0
a3,1,0.026664,4.912419,[75 31] ; [13 14],[70.13533835 35.86466165] ; [17.86466165  9.13533835],0
s3,1,0.058761,3.572021,[21 85] ; [10 17],[24.70676692 81.29323308] ; [ 6.29323308 20.70676692],0
a2,1,0.064723,3.41202,[25 82] ; [ 2 25],[21.55970149 85.44029851] ; [ 5.44029851 21.55970149],0
p10,1,0.065821,3.384281,[86 19] ; [17  9],[82.55725191 22.44274809] ; [20.44274809  5.55725191],0
p5,1,0.072634,3.222468,[13 94] ; [ 7 20],[15.97014925 91.02985075] ; [ 4.02985075 22.97014925],0
p8,1,0.073015,3.213913,[77 28] ; [15 12],[73.18181818 31.81818182] ; [18.81818182  8.18181818],0
v1,1,0.104631,2.6335,[66 41] ; [12 15],[62.28358209 44.71641791] ; [15.71641791 11.28358209],0
p1,1,0.133928,2.246369,[12 95] ; [ 6 21],[14.37313433 92.62686567] ; [ 3.62686567 23.37313433],0
r1,1,0.197319,1.662108,[84 23] ; [18  9],[81.44776119 25.55223881] ; [20.55223881  6.44776119],0
a8,1,0.202004,1.627826,[12 80] ; [ 1 24],[10.22222222 81.77777778] ; [ 2.77777778 22.22222222],0
p11,1,0.224154,1.477574,[90 17] ; [20  7],[87.8358209 19.1641791] ; [22.1641791  4.8358209],0
s8,1,0.251768,1.313467,[40 66] ; [ 7 20],[37.45864662 68.54135338] ; [ 9.54135338 17.45864662],0
p4,1,0.259349,1.27223,[86 21] ; [19  8],[83.84328358 23.15671642] ; [21.15671642  5.84328358],0
a7,1,0.309883,1.031176,[78 29] ; [17 10],[75.85820896 31.14179104] ; [19.14179104  7.85820896],0
