Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,8e-06,20.040683,[33 16] ; [20 55],[20.94354839 28.05645161] ; [32.05645161 42.94354839],1
p6,1,0.000201,13.824457,[18 31] ; [ 7 68],[ 9.87903226 39.12096774] ; [15.12096774 59.87903226],1
s6,1,0.000255,13.376578,[36 12] ; [31 44],[26.14634146 21.85365854] ; [40.85365854 34.14634146],1
u3,1,0.000367,12.691787,[12  1] ; [ 5 13],[7.12903226 5.87096774] ; [9.87096774 8.12903226],1
s3,1,0.005862,7.592314,[30 19] ; [27 48],[22.52419355 26.47580645] ; [34.47580645 40.52419355],0
s5,1,0.008403,6.945465,[22 25] ; [17 55],[15.40336134 31.59663866] ; [23.59663866 48.40336134],0
s7,1,0.008597,6.904585,[27 21] ; [22 47],[20.1025641 27.8974359] ; [28.8974359 40.1025641],0
s8,1,0.013474,6.105846,[24 24] ; [21 54],[17.56097561 30.43902439] ; [27.43902439 47.56097561],0
n2,1,0.029977,4.710631,[18  3] ; [19 14],[14.38888889  6.61111111] ; [22.61111111 10.38888889],0
p11,1,0.034181,4.48562,[31 19] ; [32 43],[25.2 24.8] ; [37.8 37.2],0
v4,1,0.035279,4.431617,[45  4] ; [58 17],[40.7016129  8.2983871] ; [62.2983871 12.7016129],0
p9,1,0.038046,4.302978,[36 14] ; [39 34],[30.48780488 19.51219512] ; [44.51219512 28.48780488],0
b5,1,0.056948,3.624121,[32 18] ; [35 40],[26.8 23.2] ; [40.2 34.8],0
r1,1,0.080962,3.045478,[38 11] ; [47 28],[33.58870968 15.41129032] ; [51.41129032 23.58870968],0
v3,1,0.120766,2.407364,[21 25] ; [22 48],[17.05172414 28.94827586] ; [25.94827586 44.05172414],0
r4,1,0.139665,2.181642,[40 10] ; [51 24],[36.4 13.6] ; [54.6 20.4],0
p5,1,0.168301,1.898009,[ 7 42] ; [ 5 69],[ 4.7804878 44.2195122] ; [ 7.2195122 66.7804878],0
p7,1,0.176997,1.822659,[18 29] ; [20 55],[14.63934426 32.36065574] ; [23.36065574 51.63934426],0
s1,1,0.306765,1.044552,[ 5 44] ; [ 4 71],[ 3.55645161 45.44354839] ; [ 5.44354839 69.55645161],0
r3,1,0.323598,0.974349,[42  7] ; [59 16],[39.91129032  9.08870968] ; [61.08870968 13.91129032],0
d3,1,0.343043,0.899027,[32 17] ; [42 32],[29.4796748 19.5203252] ; [44.5203252 29.4796748],0
r2,1,0.347016,0.88434,[45  4] ; [63 10],[43.37704918  5.62295082] ; [64.62295082  8.37704918],0
n6,1,0.351534,0.867913,[35 13] ; [48 26],[32.6557377 15.3442623] ; [50.3442623 23.6557377],0
p10,1,0.380278,0.769804,[31 19] ; [40 34],[28.62903226 21.37096774] ; [42.37096774 31.62903226],0
p8,1,0.380361,0.769536,[15 35] ; [17 57],[12.90322581 37.09677419] ; [19.09677419 54.90322581],0
v2,1,0.401651,0.703379,[26 20] ; [35 37],[23.77966102 22.22033898] ; [37.22033898 34.77966102],0
p4,1,0.416848,0.659184,[18 31] ; [22 52],[15.93495935 33.06504065] ; [24.06504065 49.93495935],0
p1,1,0.417654,0.656907,[ 7 43] ; [ 7 68],[ 5.6 44.4] ; [ 8.4 66.6],0
p3,1,0.432911,0.615,[18 30] ; [23 52],[16. 32.] ; [25. 50.],0
s4,1,0.445935,0.580963,[11 37] ; [13 62],[ 9.36585366 38.63414634] ; [14.63414634 60.36585366],0
b2,1,0.476947,0.505837,[16 19] ; [19 31],[14.41176471 20.58823529] ; [20.58823529 29.41176471],0
b3,1,0.476947,0.505837,[16 19] ; [19 31],[14.41176471 20.58823529] ; [20.58823529 29.41176471],0
n4,1,0.482559,0.493074,[31 18] ; [52 23],[32.7983871 16.2016129] ; [50.2016129 24.7983871],0
a8,1,0.528057,0.398129,[ 6 39] ; [ 7 66],[ 4.95762712 40.04237288] ; [ 8.04237288 64.95762712],0
u1,1,0.648077,0.208333,[11 39] ; [14 61],[10. 40.] ; [15. 60.],0
b1,1,0.661247,0.192012,[24 26] ; [39 36],[25.2 24.8] ; [37.8 37.2],0
u4,1,0.678185,0.172176,[ 2 48] ; [ 2 73],[ 1.6 48.4] ; [ 2.4 72.6],0
a2,1,0.684283,0.165344,[13 37] ; [22 53],[14. 36.] ; [21. 54.],0
a7,1,0.697233,0.151367,[31 18] ; [50 25],[32.00806452 16.99193548] ; [48.99193548 26.00806452],0
a3,1,0.69942,0.149076,[37 13] ; [57 17],[37.90322581 12.09677419] ; [56.09677419 17.90322581],0
d5,1,0.710346,0.137931,[37 12] ; [58 16],[37.84552846 11.15447154] ; [57.15447154 16.84552846],0
b4,1,0.713018,0.135281,[27 23] ; [43 32],[28. 22.] ; [42. 33.],0
a1,1,0.728324,0.120656,[ 5 45] ; [ 9 66],[ 5.6 44.4] ; [ 8.4 66.6],0
d4,1,0.772023,0.083943,[38 11] ; [59 15],[38.64227642 10.35772358] ; [58.35772358 15.64227642],0
d2,1,0.777292,0.080004,[28 21] ; [43 29],[28.75206612 20.24793388] ; [42.24793388 29.75206612],0
u2,1,0.785144,0.074323,[6 7] ; [ 7 10],[5.63333333 7.36666667] ; [7.36666667 9.63333333],0
n3,1,0.815021,0.054735,[13  8] ; [17 12],[12.6  8.4] ; [17.4 11.6],0
d1,1,0.822457,0.050349,[31 19] ; [45 30],[30.4 19.6] ; [45.6 29.4],0
a4,1,0.833652,0.044109,[30 20] ; [43 31],[29.43548387 20.56451613] ; [43.56451613 30.43548387],0
n1,1,0.86152,0.030429,[10 11] ; [14 17],[ 9.69230769 11.30769231] ; [14.30769231 16.69230769],0
n5,1,0.870748,0.026474,[34 15] ; [51 24],[33.58870968 15.41129032] ; [51.41129032 23.58870968],0
a6,1,0.916787,0.010916,[34 15] ; [52 22],[34.2601626 14.7398374] ; [51.7398374 22.2601626],0
p12,1,1.0,0.0,[ 4 46] ; [ 6 69],[ 4. 46.] ; [ 6. 69.],0
