Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,42.377296,[ 9 76] ; [35 21],[26.5248227 58.4751773] ; [17.4751773 38.5248227],1
s2,1,0.0,34.404823,[11 72] ; [34 22],[26.8705036 56.1294964] ; [18.1294964 37.8705036],1
a3,1,0.0,27.041384,[32 53] ; [46 10],[47.0212766 37.9787234] ; [30.9787234 25.0212766],1
s6,1,3e-06,22.162337,[29 53] ; [42 13],[42.49635036 39.50364964] ; [28.50364964 26.49635036],1
p10,1,2.2e-05,17.967914,[39 45] ; [46 10],[51. 33.] ; [34. 22.],1
p4,1,3.7e-05,17.028486,[25 57] ; [37 19],[36.84057971 45.15942029] ; [25.15942029 30.84057971],1
s3,1,4.7e-05,16.565494,[25 56] ; [37 19],[36.65693431 44.34306569] ; [25.34306569 30.65693431],1
a5,1,6.6e-05,15.910227,[38 47] ; [44 12],[49.43262411 35.56737589] ; [32.56737589 23.43262411],1
p6,1,8.5e-05,15.45232,[14 68] ; [27 29],[24.36231884 57.63768116] ; [16.63768116 39.36231884],1
d1,1,0.000339,12.84213,[23 62] ; [32 24],[33.15602837 51.84397163] ; [21.84397163 34.15602837],1
p9,1,0.00046,12.272687,[46 37] ; [47  9],[55.5323741 27.4676259] ; [37.4676259 18.5323741],1
d5,1,0.000824,11.186844,[43 42] ; [44 12],[52.44680851 32.55319149] ; [34.55319149 21.44680851],1
a4,1,0.001194,10.5,[21 63] ; [29 27],[30. 54.] ; [20. 36.],0
r1,1,0.001349,10.274174,[39 46] ; [41 15],[48.22695035 36.77304965] ; [31.77304965 24.22695035],0
n6,1,0.001536,10.034478,[58 27] ; [51  5],[65.70921986 19.29078014] ; [43.29078014 12.70921986],0
p3,1,0.002064,9.491593,[25 60] ; [31 25],[33.75886525 51.24113475] ; [22.24113475 33.75886525],0
r3,1,0.002126,9.437199,[61 24] ; [52  4],[68.12056738 16.87943262] ; [44.87943262 11.12056738],0
s5,1,0.005225,7.800004,[15 65] ; [22 32],[22.08955224 57.91044776] ; [14.91044776 39.08955224],0
p2,1,0.00598,7.556253,[47 37] ; [44 12],[54.6 29.4] ; [36.4 19.6],0
d4,1,0.008375,6.951487,[45 40] ; [42 14],[52.44680851 32.55319149] ; [34.55319149 21.44680851],0
p7,1,0.010513,6.545874,[35 48] ; [36 20],[42.39568345 40.60431655] ; [28.60431655 27.39568345],0
u1,1,0.010732,6.509101,[ 1 84] ; [ 6 50],[ 4.21985816 80.78014184] ; [ 2.78014184 53.21985816],0
v4,1,0.012298,6.267446,[63 22] ; [51  5],[68.72340426 16.27659574] ; [45.27659574 10.72340426],0
a2,1,0.015873,5.816878,[ 2 83] ; [ 7 49],[ 5.42553191 79.57446809] ; [ 3.57446809 52.42553191],0
n4,1,0.017243,5.671471,[54 31] ; [46 10],[60.28368794 24.71631206] ; [39.71631206 16.28368794],0
n5,1,0.029001,4.767574,[53 31] ; [45 11],[58.8 25.2] ; [39.2 16.8],0
p11,1,0.030145,4.700987,[52 33] ; [44 12],[57.87234043 27.12765957] ; [38.12765957 17.87234043],0
a6,1,0.042421,4.118315,[42 43] ; [18 38],[36.17021277 48.82978723] ; [23.82978723 32.17021277],0
s4,1,0.049148,3.870302,[13 72] ; [16 39],[17.60714286 67.39285714] ; [11.39285714 43.60714286],0
n1,1,0.070338,3.275117,[ 8 23] ; [11 11],[11.11320755 19.88679245] ; [ 7.88679245 14.11320755],0
r4,1,0.078137,3.103241,[55 30] ; [44 12],[59.68085106 25.31914894] ; [39.31914894 16.68085106],0
d2,1,0.08064,3.051948,[32 51] ; [30 26],[37.02158273 45.97841727] ; [24.97841727 31.02158273],0
p1,1,0.089438,2.884463,[ 6 79] ; [ 9 47],[ 9.04255319 75.95744681] ; [ 5.95744681 50.04255319],0
n3,1,0.098907,2.723083,[15 15] ; [16  6],[17.88461538 12.11538462] ; [13.11538462  8.88461538],0
