Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,87.265669,[562  14] ; [92 31],[538.91845494  37.08154506] ; [115.08154506   7.91845494],1
a5,1,1e-06,23.833127,[457 119] ; [72 51],[435.91416309 140.08583691] ; [93.08583691 29.91416309],1
r3,1,1e-05,19.532729,[559  15] ; [109  14],[550.11764706  23.88235294] ; [117.88235294   5.11764706],1
v4,1,1.9e-05,18.270784,[566   8] ; [113  10],[559.17647059  14.82352941] ; [119.82352941   3.17647059],1
v2,1,3.2e-05,17.32043,[340 209] ; [49 70],[319.70209581 229.29790419] ; [69.29790419 49.70209581],1
u1,1,6.7e-05,15.894359,[121 455] ; [  7 116],[105.47639485 470.52360515] ; [ 22.52360515 100.47639485],1
d1,1,7e-05,15.807895,[373 203] ; [56 67],[353.51072961 222.48927039] ; [75.48927039 47.51072961],1
a6,1,0.000403,12.519034,[419 155] ; [70 53],[402.70588235 171.29411765] ; [86.29411765 36.70588235],1
n4,1,0.000472,12.224899,[470 106] ; [83 40],[455.69098712 120.30901288] ; [97.30901288 25.69098712],1
d4,1,0.000481,12.187621,[490  84] ; [89 34],[476.82352941  97.17647059] ; [102.17647059  20.82352941],1
d3,1,0.000547,11.947905,[423 152] ; [70 51],[407.29166667 167.70833333] ; [85.70833333 35.29166667],1
a3,1,0.000769,11.314935,[435 139] ; [75 48],[420. 154.] ; [90. 33.],1
a2,1,0.000887,11.049188,[157 419] ; [ 16 107],[142.55793991 433.44206009] ; [30.44206009 92.55793991],1
p4,1,0.001282,10.367663,[373 200] ; [61 62],[357.30172414 215.69827586] ; [76.69827586 46.30172414],0
s6,1,0.001645,9.90863,[409 157] ; [68 50],[394.71052632 171.28947368] ; [82.28947368 35.71052632],0
p7,1,0.002571,9.089036,[388 172] ; [66 54],[373.88235294 186.11764706] ; [80.11764706 39.88235294],0
d2,1,0.004485,8.07627,[293 281] ; [45 77],[278.75287356 295.24712644] ; [59.24712644 62.75287356],0
