Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-05,18.173077,[62  2] ; [3 3],[59.42857143  4.57142857] ; [5.57142857 0.42857143],1
p4,1,4.5e-05,16.659788,[58  5] ; [2 4],[54.7826087  8.2173913] ; [5.2173913 0.7826087],1
r2,1,4.9e-05,16.47571,[63  1] ; [3 2],[61.2173913  2.7826087] ; [4.7826087 0.2173913],1
s6,1,0.000715,11.45079,[59  4] ; [3 3],[56.60869565  6.39130435] ; [5.39130435 0.60869565],1
s2,1,0.002869,8.888889,[48 16] ; [1 5],[44.8 19.2] ; [4.2 1.8],0
v4,1,0.033716,4.509038,[63  1] ; [5 1],[62.17142857  1.82857143] ; [5.82857143 0.17142857],0
s5,1,0.03487,4.451522,[41 20] ; [1 4],[38.81818182 22.18181818] ; [3.18181818 1.81818182],0
p3,1,0.041083,4.172586,[53 10] ; [3 3],[51.13043478 11.86956522] ; [4.86956522 1.13043478],0
p2,1,0.04632,3.969907,[59  5] ; [4 2],[57.6  6.4] ; [5.4 0.6],0
r1,1,0.117092,2.455791,[57  7] ; [4 2],[55.77142857  8.22857143] ; [5.22857143 0.77142857],0
p7,1,0.138935,2.18971,[53  9] ; [3 2],[51.82089552 10.17910448] ; [4.17910448 0.82089552],0
p6,1,0.169786,1.884836,[44 19] ; [2 3],[42.61764706 20.38235294] ; [3.38235294 1.61764706],0
v3,1,0.183967,1.765284,[38 24] ; [2 4],[36.47058824 25.52941176] ; [3.52941176 2.47058824],0
n6,1,0.233123,1.421703,[60  3] ; [5 1],[59.34782609  3.65217391] ; [5.65217391 0.34782609],0
a3,1,0.271117,1.211087,[54 10] ; [4 2],[53.02857143 10.97142857] ; [4.97142857 1.02857143],0
a2,1,0.271117,1.211087,[10 54] ; [2 4],[10.97142857 53.02857143] ; [1.02857143 4.97142857],0
n4,1,0.34347,0.897436,[60  4] ; [5 1],[59.42857143  4.57142857] ; [5.57142857 0.42857143],0
d1,1,0.396387,0.71926,[43 21] ; [3 3],[42.05714286 21.94285714] ; [3.94285714 2.05714286],0
s8,1,0.405729,0.69128,[51 12] ; [4 2],[50.2173913 12.7826087] ; [4.7826087 1.2173913],0
d2,1,0.457033,0.553151,[32 31] ; [4 2],[32.86956522 30.13043478] ; [3.13043478 2.86956522],0
n5,1,0.458819,0.548774,[59  5] ; [5 1],[58.51428571  5.48571429] ; [5.48571429 0.51428571],0
s3,1,0.471173,0.519224,[50 13] ; [4 2],[49.30434783 13.69565217] ; [4.69565217 1.30434783],0
a7,1,0.499627,0.455729,[45 19] ; [5 1],[45.71428571 18.28571429] ; [4.28571429 1.71428571],0
b5,1,0.547532,0.361757,[24 40] ; [3 3],[24.68571429 39.31428571] ; [2.31428571 3.68571429],0
b4,1,0.57218,0.319048,[35 29] ; [4 2],[35.65714286 28.34285714] ; [3.34285714 2.65714286],0
u3,1,0.583882,0.3,[7 3] ; [1 1],[6.66666667 3.33333333] ; [1.33333333 0.66666667],0
v1,1,0.584245,0.299423,[43 20] ; [4 1],[43.54411765 19.45588235] ; [3.45588235 1.54411765],0
b2,1,0.608815,0.261905,[24 26] ; [3 2],[24.54545455 25.45454545] ; [2.45454545 2.54545455],0
b3,1,0.608815,0.261905,[24 26] ; [3 2],[24.54545455 25.45454545] ; [2.45454545 2.54545455],0
p12,1,0.629344,0.232952,[19 45] ; [2 3],[19.47826087 44.52173913] ; [1.52173913 3.47826087],0
d3,1,0.672268,0.17896,[47 16] ; [4 2],[46.56521739 16.43478261] ; [4.43478261 1.56521739],0
s1,1,0.6732,0.177881,[ 7 57] ; [1 5],[ 7.31428571 56.68571429] ; [0.68571429 5.31428571],0
a6,1,0.705213,0.143106,[37 26] ; [4 2],[37.43478261 25.56521739] ; [3.56521739 2.43478261],0
a5,1,0.705684,0.142626,[49 15] ; [5 1],[49.37142857 14.62857143] ; [4.62857143 1.37142857],0
v2,1,0.761198,0.09236,[35 27] ; [3 3],[34.64705882 27.35294118] ; [3.35294118 2.64705882],0
a4,1,0.768222,0.086849,[28 36] ; [3 3],[28.34285714 35.65714286] ; [2.65714286 3.34285714],0
n3,1,0.799846,0.064286,[8 6] ; [2 2],[7.77777778 6.22222222] ; [2.22222222 1.77777778],0
n1,1,0.799846,0.064286,[8 6] ; [2 2],[7.77777778 6.22222222] ; [2.22222222 1.77777778],0
b1,1,0.839939,0.040793,[24 40] ; [2 4],[23.77142857 40.22857143] ; [2.22857143 3.77142857],0
p11,1,0.861626,0.030382,[55  9] ; [5 1],[54.85714286  9.14285714] ; [5.14285714 0.85714286],0
d5,1,0.886675,0.02031,[51 12] ; [5 1],[51.13043478 11.86956522] ; [4.86956522 1.13043478],0
u1,1,0.900146,0.015744,[12 52] ; [1 5],[11.88571429 52.11428571] ; [1.11428571 4.88571429],0
p8,1,0.946551,0.004494,[54 10] ; [5 1],[53.94285714 10.05714286] ; [5.05714286 0.94285714],0
