Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.786667,[11 64] ; [16  8],[20.45454545 54.54545455] ; [ 6.54545455 17.45454545],1
s6,1,3e-06,22.110253,[26 53] ; [21  3],[36.04854369 42.95145631] ; [10.95145631 13.04854369],1
p10,1,0.000235,13.531958,[37 38] ; [22  2],[44.6969697 30.3030303] ; [14.3030303  9.6969697],1
s2,1,0.000306,13.032989,[18 60] ; [15  9],[25.23529412 52.76470588] ; [ 7.76470588 16.23529412],1
s3,1,0.001028,10.777302,[25 51] ; [17  7],[31.92 44.08] ; [10.08 13.92],0
r4,1,0.001147,10.573867,[48 31] ; [23  1],[54.45631068 24.54368932] ; [16.54368932  7.45631068],0
p3,1,0.005997,7.551058,[10 69] ; [ 9 15],[14.57281553 64.42718447] ; [ 4.42718447 19.57281553],0
s5,1,0.007191,7.224573,[ 8 69] ; [ 8 16],[12.1980198 64.8019802] ; [ 3.8019802 20.1980198],0
r3,1,0.00979,6.672747,[54 23] ; [23  1],[58.7029703 18.2970297] ; [18.2970297  5.7029703],0
r1,1,0.012242,6.275526,[38 40] ; [18  5],[43.24752475 34.75247525] ; [12.75247525 10.24752475],0
p7,1,0.012874,6.186364,[25 49] ; [15  9],[30.20408163 43.79591837] ; [ 9.79591837 14.20408163],0
u3,1,0.013324,6.125566,[17 31] ; [9 3],[20.8 27.2] ; [5.2 6.8],0
p9,1,0.017053,5.690884,[46 29] ; [21  3],[50.75757576 24.24242424] ; [16.24242424  7.75757576],0
v2,1,0.029214,4.754944,[18 53] ; [11 11],[22.13978495 48.86021505] ; [ 6.86021505 15.13978495],0
n6,1,0.029312,4.749222,[50 28] ; [21  3],[54.29411765 23.70588235] ; [16.70588235  7.29411765],0
p8,1,0.030011,4.708648,[23 54] ; [13 11],[27.44554455 49.55445545] ; [ 8.55445545 15.44554455],0
v1,1,0.040178,4.210373,[24 54] ; [12 10],[28.08 49.92] ; [ 7.92 14.08],0
p11,1,0.040873,4.181282,[48 31] ; [20  4],[52.15533981 26.84466019] ; [15.84466019  8.15533981],0
u1,1,0.046586,3.960285,[ 2 77] ; [ 3 21],[ 3.83495146 75.16504854] ; [ 1.16504854 22.83495146],0
a5,1,0.098629,2.727568,[31 48] ; [14 10],[34.51456311 44.48543689] ; [10.48543689 13.51456311],0
p2,1,0.102853,2.660732,[44 34] ; [18  6],[47.41176471 30.58823529] ; [14.58823529  9.41176471],0
a4,1,0.129385,2.299863,[12 66] ; [ 7 17],[14.52941176 63.47058824] ; [ 4.47058824 19.52941176],0
n1,1,0.142343,2.152448,[ 9 24] ; [3 2],[10.42105263 22.57894737] ; [1.57894737 3.42105263],0
a7,1,0.177915,1.814952,[36 41] ; [15  9],[38.88118812 38.11881188] ; [12.11881188 11.88118812],0
r2,1,0.210319,1.569231,[63 15] ; [22  2],[65. 13.] ; [20.  4.],0
d5,1,0.215923,1.531266,[28 50] ; [12 12],[30.58823529 47.41176471] ; [ 9.41176471 14.58823529],0
v3,1,0.246293,1.344209,[16 58] ; [ 8 16],[18.12244898 55.87755102] ; [ 5.87755102 18.12244898],0
d3,1,0.349594,0.874932,[20 57] ; [ 4 20],[18.2970297 58.7029703] ; [ 5.7029703 18.2970297],0
a3,1,0.399439,0.710016,[31 46] ; [12 12],[32.78217822 44.21782178] ; [10.21782178 13.78217822],0
b1,1,0.421836,0.645194,[29 50] ; [11 13],[30.67961165 48.32038835] ; [ 9.32038835 14.67961165],0
p6,1,0.458768,0.548898,[11 65] ; [ 5 19],[12.16 63.84] ; [ 3.84 20.16],0
u2,1,0.512691,0.428571,[19 29] ; [6 6],[20. 28.] ; [5. 7.],0
n5,1,0.542663,0.370626,[57 21] ; [16  8],[55.82352941 22.17647059] ; [17.17647059  6.82352941],0
a8,1,0.587652,0.294026,[ 7 66] ; [ 3 19],[ 7.68421053 65.31578947] ; [ 2.31578947 19.68421053],0
p1,1,0.611508,0.257985,[ 7 71] ; [ 3 21],[ 7.64705882 70.35294118] ; [ 2.35294118 21.64705882],0
n4,1,0.620481,0.245192,[51 27] ; [17  7],[52. 26.] ; [16.  8.],0
p5,1,0.692549,0.156339,[ 2 75] ; [ 1 23],[ 2.28712871 74.71287129] ; [ 0.71287129 23.28712871],0
a6,1,0.70317,0.145196,[43 36] ; [12 12],[42.18446602 36.81553398] ; [12.81553398 11.18446602],0
d2,1,0.730681,0.118487,[14 65] ; [ 5 19],[14.57281553 64.42718447] ; [ 4.42718447 19.57281553],0
a2,1,0.732604,0.116734,[ 5 74] ; [ 2 22],[ 5.36893204 73.63106796] ; [ 1.63106796 22.36893204],0
b4,1,0.761619,0.092024,[40 39] ; [13 11],[40.65048544 38.34951456] ; [12.34951456 11.65048544],0
s1,1,0.769017,0.086237,[ 5 71] ; [ 2 22],[ 5.32 70.68] ; [ 1.68 22.32],0
s4,1,0.841306,0.040089,[15 64] ; [ 5 19],[15.33980583 63.66019417] ; [ 4.66019417 19.33980583],0
b2,1,0.926774,0.008446,[11 28] ; [ 5 12],[11.14285714 27.85714286] ; [ 4.85714286 12.14285714],0
b3,1,0.926774,0.008446,[11 28] ; [ 5 12],[11.14285714 27.85714286] ; [ 4.85714286 12.14285714],0
p12,1,0.943606,0.005004,[ 3 75] ; [ 1 23],[ 3.05882353 74.94117647] ; [ 0.94117647 23.05882353],0
b5,1,0.992678,8.4e-05,[46 33] ; [14 10],[46.01941748 32.98058252] ; [13.98058252 10.01941748],0
