Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.020505,5.368397,[1 3] ; [ 1 48],[0.1509434 3.8490566] ; [ 1.8490566 47.1509434],0
p1,1,0.020505,5.368397,[1 3] ; [ 1 48],[0.1509434 3.8490566] ; [ 1.8490566 47.1509434],0
s1,1,0.020505,5.368397,[1 3] ; [ 1 48],[0.1509434 3.8490566] ; [ 1.8490566 47.1509434],0
r1,1,0.031061,4.649597,[3 1] ; [12 37],[1.13207547 2.86792453] ; [13.86792453 35.13207547],0
p8,1,0.060452,3.52493,[3 1] ; [14 34],[1.30769231 2.69230769] ; [15.69230769 32.30769231],0
d2,1,0.089483,2.883656,[3 1] ; [16 33],[1.43396226 2.56603774] ; [17.56603774 31.43396226],0
p3,1,0.109807,2.556996,[3 1] ; [17 32],[1.50943396 2.49056604] ; [18.49056604 30.50943396],0
s8,1,0.109807,2.556996,[3 1] ; [17 32],[1.50943396 2.49056604] ; [18.49056604 30.50943396],0
b3,1,0.110972,2.540323,[2 2] ; [ 5 26],[0.8 3.2] ; [ 6.2 24.8],0
b2,1,0.110972,2.540323,[2 2] ; [ 5 26],[0.8 3.2] ; [ 6.2 24.8],0
s2,1,0.157432,1.998721,[1 3] ; [30 19],[2.33962264 1.66037736] ; [28.66037736 20.33962264],0
a2,1,0.169347,1.888718,[1 3] ; [ 3 46],[0.30188679 3.69811321] ; [ 3.69811321 45.30188679],0
r3,1,0.183451,1.769444,[2 2] ; [38 10],[3.07692308 0.92307692] ; [36.92307692 11.07692308],0
s5,1,0.184298,1.76262,[2 1] ; [14 33],[0.96 2.04] ; [15.04 31.96],0
v1,1,0.243511,1.360151,[3 1] ; [21 26],[1.88235294 2.11764706] ; [22.11764706 24.88235294],0
s7,1,0.297953,1.083333,[3 1] ; [23 25],[2. 2.] ; [24. 24.],0
v4,1,0.306934,1.043823,[2 2] ; [34 12],[2.88 1.12] ; [33.12 12.88],0
b4,1,0.355612,0.853331,[3 1] ; [25 24],[2.11320755 1.88679245] ; [25.88679245 23.11320755],0
a4,1,0.369382,0.805743,[2 2] ; [14 35],[1.20754717 2.79245283] ; [14.79245283 34.20754717],0
r2,1,0.38263,0.762233,[1 2] ; [26 18],[1.72340426 1.27659574] ; [25.27659574 18.72340426],0
b5,1,0.481185,0.496178,[2 2] ; [33 16],[2.64150943 1.35849057] ; [32.35849057 16.64150943],0
a5,1,0.48585,0.485704,[3 1] ; [28 21],[2.33962264 1.66037736] ; [28.66037736 20.33962264],0
a6,1,0.48585,0.485704,[3 1] ; [28 21],[2.33962264 1.66037736] ; [28.66037736 20.33962264],0
n1,1,0.529138,0.396046,[1 1] ; [ 6 15],[0.60869565 1.39130435] ; [ 6.39130435 14.60869565],0
s3,1,0.564618,0.331771,[3 1] ; [29 19],[2.46153846 1.53846154] ; [29.53846154 18.46153846],0
d3,1,0.584712,0.298678,[3 1] ; [30 19],[2.49056604 1.50943396] ; [30.50943396 18.49056604],0
n5,1,0.597448,0.278862,[3 1] ; [29 18],[2.50980392 1.49019608] ; [29.49019608 17.50980392],0
d1,1,0.598698,0.276964,[2 2] ; [18 31],[1.50943396 2.49056604] ; [18.49056604 30.50943396],0
n6,1,0.617919,0.248804,[3 1] ; [30 18],[2.53846154 1.46153846] ; [30.46153846 17.53846154],0
v2,1,0.708765,0.139514,[2 2] ; [28 19],[2.35294118 1.64705882] ; [27.64705882 19.35294118],0
p7,1,0.723777,0.124902,[2 1] ; [27 21],[1.70588235 1.29411765] ; [27.29411765 20.70588235],0
p6,1,0.796513,0.066493,[1 2] ; [13 36],[0.80769231 2.19230769] ; [13.19230769 35.80769231],0
p2,1,0.827634,0.047409,[3 1] ; [39 10],[3.16981132 0.83018868] ; [38.83018868 10.16981132],0
a7,1,0.843743,0.038852,[2 2] ; [27 22],[2.18867925 1.81132075] ; [26.81132075 22.18867925],0
b1,1,0.843743,0.038852,[2 2] ; [22 27],[1.81132075 2.18867925] ; [22.18867925 26.81132075],0
n3,1,0.84562,0.037912,[1 1] ; [12  9],[1.13043478 0.86956522] ; [11.86956522  9.13043478],0
p4,1,0.906126,0.013907,[2 2] ; [23 26],[1.88679245 2.11320755] ; [23.11320755 25.88679245],0
v3,1,0.981807,0.00052,[1 3] ; [12 37],[0.98113208 3.01886792] ; [12.01886792 36.98113208],0
