Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000976,10.872251,[12 13] ; [19 91],[ 5.74074074 19.25925926] ; [25.25925926 84.74074074],1
s5,1,0.004047,8.262529,[10 14] ; [17 92],[ 4.87218045 19.12781955] ; [22.12781955 86.87218045],0
s2,1,0.006291,7.465101,[15 10] ; [35 78],[ 9.05797101 15.94202899] ; [40.94202899 72.05797101],0
p6,1,0.008379,6.950577,[ 7 18] ; [ 10 103],[ 3.07971014 21.92028986] ; [13.92028986 99.07971014],0
p8,1,0.009209,6.781798,[ 8 17] ; [ 13 101],[ 3.77697842 21.22302158] ; [17.22302158 96.77697842],0
v4,1,0.027379,4.866761,[24  2] ; [81 32],[19.64028777  6.35971223] ; [85.35971223 27.64028777],0
s8,1,0.029956,4.711803,[12 14] ; [28 85],[ 7.48201439 18.51798561] ; [32.51798561 80.48201439],0
s6,1,0.045625,3.995403,[16  9] ; [47 65],[11.49635036 13.50364964] ; [51.50364964 60.49635036],0
r3,1,0.08912,2.890204,[23  3] ; [82 31],[19.64028777  6.35971223] ; [85.35971223 27.64028777],0
v2,1,0.091384,2.849818,[14 11] ; [39 65],[10.27131783 14.72868217] ; [42.72868217 61.27131783],0
s3,1,0.101313,2.684759,[14 12] ; [40 70],[10.32352941 15.67647059] ; [43.67647059 66.32352941],0
v1,1,0.166892,1.91064,[12 14] ; [36 77],[ 8.97841727 17.02158273] ; [39.02158273 73.97841727],0
r4,1,0.182088,1.780496,[20  6] ; [72 42],[17.08571429  8.91428571] ; [74.91428571 39.08571429],0
b3,1,0.195284,1.677297,[ 4 14] ; [27 43],[ 6.34090909 11.65909091] ; [24.65909091 45.34090909],0
b2,1,0.195284,1.677297,[ 4 14] ; [27 43],[ 6.34090909 11.65909091] ; [24.65909091 45.34090909],0
d5,1,0.199343,1.647179,[20  6] ; [72 41],[17.20863309  8.79136691] ; [74.79136691 38.20863309],0
b1,1,0.22118,1.4967,[10 16] ; [59 55],[12.81428571 13.18571429] ; [56.18571429 57.81428571],0
n3,1,0.227375,1.457204,[6 2] ; [25 23],[4.42857143 3.57142857] ; [26.57142857 21.42857143],0
n5,1,0.227652,1.455472,[13 13] ; [71 42],[15.71223022 10.28776978] ; [68.28776978 44.71223022],0
n4,1,0.262782,1.254039,[13 13] ; [70 43],[15.52517986 10.47482014] ; [67.47482014 45.52517986],0
p10,1,0.2806,1.164183,[15 11] ; [51 60],[12.52554745 13.47445255] ; [53.47445255 57.52554745],0
a1,1,0.289577,1.121587,[ 1 25] ; [ 12 102],[ 2.41428571 23.58571429] ; [ 10.58571429 103.41428571],0
a6,1,0.293054,1.105538,[12 14] ; [65 48],[14.4028777 11.5971223] ; [62.5971223 50.4028777],0
p5,1,0.297323,1.086163,[ 2 22] ; [  4 109],[ 1.05109489 22.94890511] ; [  4.94890511 108.05109489],0
a8,1,0.319765,0.989909,[ 1 25] ; [11 99],[ 2.29411765 23.70588235] ; [  9.70588235 100.29411765],0
p11,1,0.342036,0.902787,[15 11] ; [54 60],[12.81428571 13.18571429] ; [56.18571429 57.81428571],0
a7,1,0.342698,0.900311,[13 13] ; [68 45],[15.15107914 10.84892086] ; [65.84892086 47.15107914],0
p9,1,0.352717,0.86366,[16 10] ; [55 52],[13.87969925 12.12030075] ; [57.12030075 49.87969925],0
a4,1,0.360712,0.835414,[13 13] ; [45 67],[10.92753623 15.07246377] ; [47.07246377 64.92753623],0
p1,1,0.399599,0.709534,[ 1 25] ; [ 10 104],[ 2.04285714 23.95714286] ; [  8.95714286 105.04285714],0
a5,1,0.43448,0.610817,[17  9] ; [65 49],[15.22857143 10.77142857] ; [66.77142857 47.22857143],0
d2,1,0.444398,0.584901,[14 12] ; [51 61],[12.24637681 13.75362319] ; [52.75362319 59.24637681],0
d1,1,0.447973,0.575776,[14 12] ; [52 62],[12.25714286 13.74285714] ; [53.74285714 60.25714286],0
n2,1,0.465976,0.531501,[4 4] ; [33 19],[4.93333333 3.06666667] ; [32.06666667 19.93333333],0
r2,1,0.475158,0.509956,[23  3] ; [91 19],[21.79411765  4.20588235] ; [92.20588235 17.79411765],0
u3,1,0.524758,0.404532,[6 4] ; [21 22],[5.09433962 4.90566038] ; [21.90566038 21.09433962],0
d4,1,0.530703,0.393046,[20  6] ; [80 33],[18.70503597  7.29496403] ; [81.29496403 31.70503597],0
s7,1,0.632142,0.229167,[ 9 15] ; [35 73],[ 8. 16.] ; [36. 72.],0
p12,1,0.642929,0.214931,[ 1 25] ; [  7 106],[ 1.49640288 24.50359712] ; [  6.50359712 106.49640288],0
u1,1,0.669617,0.182051,[ 4 22] ; [ 14 100],[ 3.34285714 22.65714286] ; [14.65714286 99.34285714],0
b4,1,0.706596,0.1417,[14 12] ; [66 48],[14.85714286 11.14285714] ; [65.14285714 48.85714286],0
