Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000293,13.113104,[77  8] ; [27 15],[69.60629921 15.39370079] ; [34.39370079  7.60629921],1
p6,1,0.003643,8.453562,[26 59] ; [ 3 38],[19.56349206 65.43650794] ; [ 9.43650794 31.56349206],0
n6,1,0.006026,7.542443,[64 22] ; [21 21],[57.109375 28.890625] ; [27.890625 14.109375],0
r3,1,0.006546,7.393636,[74 11] ; [28 14],[68.26771654 16.73228346] ; [33.73228346  8.26771654],0
p7,1,0.008229,6.982839,[47 38] ; [12 28],[40.12 44.88] ; [18.88 21.12],0
a7,1,0.011075,6.453265,[54 30] ; [17 25],[47.33333333 36.66666667] ; [23.66666667 18.33333333],0
p8,1,0.013166,6.146699,[35 50] ; [ 8 34],[28.77952756 56.22047244] ; [14.22047244 27.77952756],0
p4,1,0.013995,6.038759,[34 52] ; [ 7 33],[27.98412698 58.01587302] ; [13.01587302 26.98412698],0
p11,1,0.041208,4.167442,[59 27] ; [21 21],[53.75 32.25] ; [26.25 15.75],0
p9,1,0.044418,4.040612,[59 27] ; [20 20],[53.92063492 32.07936508] ; [25.07936508 14.92063492],0
a8,1,0.046706,3.955953,[11 68] ; [ 1 40],[ 7.9 71.1] ; [ 4.1 36.9],0
v2,1,0.048277,3.900304,[34 48] ; [ 9 30],[29.14049587 52.85950413] ; [13.85950413 25.14049587],0
r4,1,0.054244,3.705184,[60 26] ; [22 20],[55.09375 30.90625] ; [26.90625 15.09375],0
s5,1,0.062114,3.480031,[11 73] ; [ 1 39],[ 8.12903226 75.87096774] ; [ 3.87096774 36.12903226],0
a1,1,0.067886,3.333405,[ 1 85] ; [ 3 39],[ 2.6875 83.3125] ; [ 1.3125 40.6875],0
d5,1,0.068053,3.329364,[51 34] ; [18 24],[46.18110236 38.81889764] ; [22.81889764 19.18110236],0
p3,1,0.099469,2.714044,[26 60] ; [ 7 35],[22.171875 63.828125] ; [10.828125 31.171875],0
n3,1,0.101423,2.683024,[19  5] ; [10  8],[16.57142857  7.42857143] ; [12.42857143  5.57142857],0
d3,1,0.130134,2.290909,[44 40] ; [16 26],[40. 44.] ; [20. 22.],0
d2,1,0.13764,2.204151,[18 67] ; [14 28],[21.41732283 63.58267717] ; [10.58267717 31.41732283],0
s4,1,0.157975,1.993504,[11 75] ; [ 2 40],[ 8.734375 77.265625] ; [ 4.265625 37.734375],0
a6,1,0.16421,1.935023,[44 42] ; [16 26],[40.3125 45.6875] ; [19.6875 22.3125],0
p10,1,0.171959,1.865781,[52 34] ; [19 21],[48.46031746 37.53968254] ; [22.53968254 17.46031746],0
s7,1,0.255804,1.291324,[17 66] ; [ 5 36],[14.72580645 68.27419355] ; [ 7.27419355 33.72580645],0
s8,1,0.260667,1.26521,[12 74] ; [ 3 39],[10.078125 75.921875] ; [ 4.921875 37.078125],0
a4,1,0.268253,1.225661,[17 69] ; [ 5 37],[14.78125 71.21875] ; [ 7.21875 34.78125],0
v1,1,0.272177,1.205742,[28 56] ; [10 32],[25.33333333 58.66666667] ; [12.66666667 29.33333333],0
n1,1,0.306504,1.045679,[ 7 17] ; [ 8 10],[ 8.57142857 15.42857143] ; [ 6.42857143 11.57142857],0
n2,1,0.446805,0.578745,[14  9] ; [13  5],[15.14634146  7.85365854] ; [11.85365854  6.14634146],0
b5,1,0.456688,0.553999,[55 31] ; [24 18],[53.078125 32.921875] ; [25.921875 16.078125],0
b4,1,0.457648,0.551641,[51 35] ; [22 20],[49.046875 36.953125] ; [23.953125 18.046875],0
s3,1,0.53716,0.380829,[23 62] ; [ 9 32],[21.58730159 63.41269841] ; [10.41269841 30.58730159],0
d4,1,0.605242,0.267161,[50 34] ; [27 15],[51.33333333 32.66666667] ; [25.66666667 16.33333333],0
u2,1,0.69141,0.157563,[23 28] ; [12 12],[23.8 27.2] ; [11.2 12.8],0
n4,1,0.701868,0.146536,[44 42] ; [23 19],[45.015625 40.984375] ; [21.984375 20.015625],0
b1,1,0.721071,0.127469,[32 54] ; [17 25],[32.921875 53.078125] ; [16.078125 25.921875],0
s2,1,0.788587,0.071902,[16 70] ; [ 7 35],[15.453125 70.546875] ; [ 7.546875 34.453125],0
u3,1,0.839828,0.04085,[20 31] ; [10 14],[20.4 30.6] ; [ 9.6 14.4],0
p1,1,0.843605,0.038921,[ 7 79] ; [ 3 39],[ 6.71875 79.28125] ; [ 3.28125 38.71875],0
v3,1,0.884946,0.020939,[20 64] ; [10 30],[20.32258065 63.67741935] ; [ 9.67741935 30.32258065],0
r1,1,0.896975,0.016766,[44 42] ; [22 20],[44.34375 41.65625] ; [21.65625 20.34375],0
a3,1,0.898461,0.016283,[35 49] ; [18 24],[35.33333333 48.66666667] ; [17.66666667 24.33333333],0
r2,1,0.902782,0.01492,[70 16] ; [33  8],[69.7480315 16.2519685] ; [33.2519685  7.7480315],0
n5,1,0.907137,0.013607,[45 41] ; [21 20],[44.69291339 41.30708661] ; [21.30708661 19.69291339],0
b2,1,0.919627,0.010181,[15 32] ; [ 8 18],[14.80821918 32.19178082] ; [ 8.19178082 17.80821918],0
b3,1,0.919627,0.010181,[15 32] ; [ 8 18],[14.80821918 32.19178082] ; [ 8.19178082 17.80821918],0
d1,1,0.933791,0.006902,[26 60] ; [13 29],[26.203125 59.796875] ; [12.796875 29.203125],0
