Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,2.7e-05,17.589907,[21 18] ; [82 12],[30.20300752  8.79699248] ; [72.79699248 21.20300752],1
b3,1,0.000145,14.435281,[ 4 26] ; [37 31],[12.55102041 17.44897959] ; [28.44897959 39.55102041],1
b2,1,0.000145,14.435281,[ 4 26] ; [37 31],[12.55102041 17.44897959] ; [28.44897959 39.55102041],1
p3,1,0.000173,14.102912,[11 27] ; [61 33],[20.72727273 17.27272727] ; [51.27272727 42.72727273],1
d5,1,0.000311,13.002754,[23 16] ; [81 12],[30.72727273  8.27272727] ; [73.27272727 19.72727273],1
d2,1,0.000556,11.918209,[10 29] ; [55 39],[19.06015038 19.93984962] ; [45.93984962 48.06015038],1
a4,1,0.001227,10.448848,[10 29] ; [53 41],[18.47368421 20.52631579] ; [44.52631579 49.47368421],0
d1,1,0.001698,9.850502,[12 27] ; [57 37],[20.23308271 18.76691729] ; [48.76691729 45.23308271],0
d4,1,0.00244,9.185002,[25 14] ; [81 12],[31.31818182  7.68181818] ; [74.68181818 18.31818182],0
s8,1,0.002529,9.119461,[20 19] ; [73 21],[27.27067669 11.72932331] ; [65.72932331 28.27067669],0
v3,1,0.010006,6.633814,[11 28] ; [48 43],[17.7 21.3] ; [41.3 49.7],0
s7,1,0.053491,3.728503,[23 13] ; [73 18],[27.21259843  8.78740157] ; [68.78740157 22.21259843],0
n3,1,0.053678,3.722697,[5 8] ; [19  8],[7.8 5.2] ; [16.2 10.8],0
r2,1,0.063738,3.437356,[31  7] ; [87  7],[33.96969697  4.03030303] ; [84.03030303  9.96969697],0
n6,1,0.070824,3.263812,[27 11] ; [78 14],[30.69230769  7.30769231] ; [74.30769231 17.69230769],0
b5,1,0.071602,3.245903,[22 17] ; [37 57],[17.30075188 21.69924812] ; [41.69924812 52.30075188],0
p1,1,0.076439,3.139032,[ 5 34] ; [ 4 89],[ 2.65909091 36.34090909] ; [ 6.34090909 86.65909091],0
p11,1,0.078175,3.102444,[26 13] ; [76 18],[29.90977444  9.09022556] ; [72.09022556 21.90977444],0
a6,1,0.131823,2.270904,[10 29] ; [37 57],[13.78195489 25.21804511] ; [33.21804511 60.78195489],0
r1,1,0.180544,1.79314,[25 14] ; [71 23],[28.15037594 10.84962406] ; [67.84962406 26.15037594],0
p9,1,0.196145,1.67085,[27 10] ; [78 16],[29.65648855  7.34351145] ; [75.34351145 18.65648855],0
n4,1,0.203131,1.61972,[28 11] ; [76 17],[30.72727273  8.27272727] ; [73.27272727 19.72727273],0
u1,1,0.213886,1.544927,[ 1 38] ; [ 8 86],[ 2.63909774 36.36090226] ; [ 6.36090226 87.63909774],0
d3,1,0.217766,1.519032,[22 17] ; [42 52],[18.76691729 20.23308271] ; [45.23308271 48.76691729],0
a1,1,0.24515,1.35073,[ 2 37] ; [11 83],[ 3.81203008 35.18796992] ; [ 9.18796992 84.81203008],0
s6,1,0.273224,1.200488,[29  7] ; [81 11],[30.9375  5.0625] ; [79.0625 12.9375],0
n5,1,0.292431,1.108396,[27 11] ; [74 19],[29.29770992  8.70229008] ; [71.70229008 21.29770992],0
p8,1,0.296301,1.09077,[16 22] ; [48 44],[18.70769231 19.29230769] ; [45.29230769 46.70769231],0
s5,1,0.322651,0.978172,[16 22] ; [46 43],[18.5511811 19.4488189] ; [43.4488189 45.5511811],0
r4,1,0.331067,0.944719,[30  9] ; [79 15],[31.96240602  7.03759398] ; [77.03759398 16.96240602],0
a8,1,0.362268,0.830015,[ 3 33] ; [13 78],[ 4.53543307 31.46456693] ; [11.46456693 79.53543307],0
p6,1,0.383693,0.758835,[13 24] ; [40 52],[15.20155039 21.79844961] ; [37.79844961 54.20155039],0
p5,1,0.392215,0.732065,[ 6 31] ; [10 83],[ 4.55384615 32.44615385] ; [11.44615385 81.55384615],0
s3,1,0.392354,0.731633,[35  4] ; [79 15],[33.42857143  5.57142857] ; [80.57142857 13.42857143],0
p7,1,0.395215,0.722835,[27 10] ; [60 32],[24.95348837 12.04651163] ; [62.04651163 29.95348837],0
p2,1,0.441509,0.592358,[27 11] ; [72 21],[28.71755725  9.28244275] ; [70.28244275 22.71755725],0
v2,1,0.48878,0.479212,[19 19] ; [51 39],[20.78125 17.21875] ; [49.21875 40.78125],0
u3,1,0.542802,0.37037,[10  8] ; [8 4],[10.8  7.2] ; [7.2 4.8],0
n1,1,0.564143,0.332581,[6 7] ; [14 11],[6.84210526 6.15789474] ; [13.15789474 11.84210526],0
v1,1,0.578746,0.308266,[26 13] ; [56 35],[24.6 14.4] ; [57.4 33.6],0
s4,1,0.581833,0.303281,[11 28] ; [22 71],[ 9.75 29.25] ; [23.25 69.75],0
n2,1,0.604027,0.268966,[9 4] ; [20  6],[9.66666667 3.33333333] ; [19.33333333  6.66666667],0
p10,1,0.705246,0.143072,[28  9] ; [74 20],[28.80916031  8.19083969] ; [73.19083969 20.80916031],0
p4,1,0.770942,0.084764,[22 16] ; [57 37],[22.74242424 15.25757576] ; [56.25757576 37.74242424],0
r3,1,0.784333,0.074899,[36  3] ; [88  6],[36.36090226  2.63909774] ; [87.63909774  6.36090226],0
b1,1,0.805426,0.060679,[20 19] ; [46 48],[19.35338346 19.64661654] ; [46.64661654 47.35338346],0
s1,1,0.807124,0.059603,[ 2 36] ; [ 6 88],[ 2.3030303 35.6969697] ; [ 5.6969697 88.3030303],0
u2,1,0.880438,0.022624,[10  8] ; [7 5],[10.2  7.8] ; [6.8 5.2],0
b4,1,0.89291,0.018123,[19 20] ; [47 47],[19.35338346 19.64661654] ; [46.64661654 47.35338346],0
v4,1,0.907715,0.013438,[35  3] ; [86  8],[34.83333333  3.16666667] ; [86.16666667  7.83333333],0
p12,1,0.910649,0.012593,[ 3 34] ; [ 7 86],[ 2.84615385 34.15384615] ; [ 7.15384615 85.84615385],0
