Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000489,12.155844,[19 14] ; [20 64],[11. 22.] ; [28. 56.],1
p4,1,0.000673,11.562308,[19 14] ; [20 62],[11.19130435 21.80869565] ; [27.80869565 54.19130435],1
p7,1,0.00072,11.437336,[25  8] ; [34 49],[16.78448276 16.21551724] ; [42.21551724 40.78448276],1
s4,1,0.001964,9.582719,[ 7 26] ; [ 3 82],[ 2.79661017 30.20338983] ; [ 7.20338983 77.79661017],0
n4,1,0.005349,7.757533,[28  5] ; [49 36],[21.53389831 11.46610169] ; [55.46610169 29.53389831],0
a5,1,0.008697,6.883921,[24  9] ; [39 46],[17.61864407 15.38135593] ; [45.38135593 39.61864407],0
s8,1,0.008917,6.839284,[10 23] ; [ 9 76],[ 5.31355932 27.68644068] ; [13.68644068 71.31355932],0
p2,1,0.009019,6.819158,[27  6] ; [47 37],[20.87179487 12.12820513] ; [53.12820513 30.87179487],0
p10,1,0.010235,6.59346,[24  9] ; [39 45],[17.76923077 15.23076923] ; [45.23076923 38.76923077],0
p5,1,0.0316,4.620042,[ 4 29] ; [ 2 82],[ 1.69230769 31.30769231] ; [ 4.30769231 79.69230769],0
v2,1,0.032727,4.560019,[19 14] ; [29 52],[13.89473684 19.10526316] ; [34.10526316 46.89473684],0
s5,1,0.032914,4.550246,[ 8 24] ; [ 8 75],[ 4.45217391 27.54782609] ; [11.54782609 71.45217391],0
r4,1,0.040786,4.184876,[25  8] ; [47 38],[20.13559322 12.86440678] ; [51.86440678 33.13559322],0
p11,1,0.042055,4.132971,[26  7] ; [50 35],[21.25423729 11.74576271] ; [54.74576271 30.25423729],0
d5,1,0.060576,3.52153,[23 10] ; [43 42],[18.45762712 14.54237288] ; [47.54237288 37.45762712],0
p9,1,0.077165,3.123614,[24  9] ; [45 37],[19.8 13.2] ; [49.2 32.8],0
n3,1,0.086747,2.933728,[8 1] ; [21 15],[5.8 3.2] ; [23.2 12.8],0
v3,1,0.090253,2.869861,[12 20] ; [18 64],[ 8.42105263 23.57894737] ; [21.57894737 60.42105263],0
p6,1,0.092035,2.838415,[ 8 24] ; [10 72],[ 5.05263158 26.94736842] ; [12.94736842 69.05263158],0
v1,1,0.098233,2.734007,[16 16] ; [28 56],[12.13793103 19.86206897] ; [31.86206897 52.13793103],0
r3,1,0.110325,2.54956,[28  5] ; [60 25],[24.61016949  8.38983051] ; [63.38983051 21.61016949],0
n6,1,0.12901,2.304374,[26  7] ; [54 30],[22.56410256 10.43589744] ; [57.43589744 26.56410256],0
r1,1,0.143345,2.141679,[22 11] ; [44 41],[18.45762712 14.54237288] ; [47.54237288 37.45762712],0
p1,1,0.150399,2.068203,[ 4 29] ; [ 4 81],[ 2.23728814 30.76271186] ; [ 5.76271186 79.23728814],0
d1,1,0.163306,1.94334,[15 18] ; [27 58],[11.74576271 21.25423729] ; [30.25423729 54.74576271],0
d4,1,0.222864,1.485835,[24  9] ; [51 33],[21.15384615 11.84615385] ; [53.84615385 30.15384615],0
s2,1,0.273505,1.199085,[ 7 26] ; [11 73],[ 5.07692308 27.92307692] ; [12.92307692 71.07692308],0
v4,1,0.290475,1.117421,[28  5] ; [63 20],[25.88793103  7.11206897] ; [65.11206897 17.88793103],0
s7,1,0.321258,0.983818,[ 9 23] ; [15 62],[ 7.04587156 24.95412844] ; [16.95412844 60.04587156],0
n1,1,0.377699,0.778178,[2 7] ; [14 23],[3.13043478 5.86956522] ; [12.86956522 24.13043478],0
r2,1,0.409597,0.67997,[28  5] ; [64 18],[26.4  6.6] ; [65.6 16.4],0
n2,1,0.463925,0.536408,[5 4] ; [26 12],[5.93617021 3.06382979] ; [25.06382979 12.93617021],0
a6,1,0.510449,0.433147,[15 18] ; [33 52],[13.42372881 19.57627119] ; [34.57627119 50.42372881],0
b5,1,0.523998,0.406017,[13 20] ; [39 46],[14.54237288 18.45762712] ; [37.45762712 47.54237288],0
u1,1,0.540111,0.375334,[ 2 31] ; [ 3 82],[ 1.39830508 31.60169492] ; [ 3.60169492 81.39830508],0
d3,1,0.546753,0.363166,[12 21] ; [26 59],[10.62711864 22.37288136] ; [27.37288136 57.62711864],0
a4,1,0.549756,0.357754,[11 22] ; [33 51],[12.41025641 20.58974359] ; [31.58974359 52.41025641],0
a3,1,0.549756,0.357754,[22 11] ; [51 33],[20.58974359 12.41025641] ; [52.41025641 31.58974359],0
d2,1,0.56515,0.330866,[16 16] ; [37 47],[14.62068966 17.37931034] ; [38.37931034 45.62068966],0
u2,1,0.598084,0.277895,[4 7] ; [15 18],[4.75 6.25] ; [14.25 18.75],0
n5,1,0.662971,0.189935,[23 10] ; [55 29],[22. 11.] ; [56. 28.],0
a2,1,0.685071,0.164474,[ 1 32] ; [ 4 81],[ 1.39830508 31.60169492] ; [ 3.60169492 81.39830508],0
b2,1,0.71459,0.133736,[10 14] ; [24 28],[10.73684211 13.26315789] ; [23.26315789 28.73684211],0
b3,1,0.71459,0.133736,[10 14] ; [24 28],[10.73684211 13.26315789] ; [23.26315789 28.73684211],0
s1,1,0.763675,0.090396,[ 2 31] ; [ 4 81],[ 1.6779661 31.3220339] ; [ 4.3220339 80.6779661],0
a8,1,0.803986,0.061599,[ 2 30] ; [ 6 73],[ 2.30630631 29.69369369] ; [ 5.69369369 73.30630631],0
s3,1,0.80581,0.060435,[10 22] ; [24 59],[ 9.46086957 22.53913043] ; [24.53913043 58.46086957],0
u3,1,0.806243,0.06016,[4 7] ; [11 23],[3.66666667 7.33333333] ; [11.33333333 22.66666667],0
b1,1,0.875405,0.024585,[15 18] ; [40 45],[15.38135593 17.61864407] ; [39.61864407 45.38135593],0
b4,1,0.889265,0.019386,[17 16] ; [45 40],[17.33898305 15.66101695] ; [44.66101695 40.33898305],0
a1,1,0.970652,0.001354,[ 2 31] ; [ 5 80],[ 1.95762712 31.04237288] ; [ 5.04237288 79.95762712],0
