Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.3e-05,19.076207,[71  5] ; [38 22],[60.91176471 15.08823529] ; [48.08823529 11.91176471],1
s6,1,3.8e-05,16.982311,[44 31] ; [14 46],[32.22222222 42.77777778] ; [25.77777778 34.22222222],1
r4,1,0.000122,14.763607,[58 18] ; [27 34],[47.15328467 28.84671533] ; [37.84671533 23.15328467],1
r3,1,0.000785,11.277169,[63 13] ; [34 26],[54.20588235 21.79411765] ; [42.79411765 17.20588235],1
p10,1,0.003285,8.642199,[43 32] ; [18 39],[34.65909091 40.34090909] ; [26.34090909 30.65909091],0
s8,1,0.004544,8.052449,[24 51] ; [ 7 54],[17.09558824 57.90441176] ; [13.90441176 47.09558824],0
b5,1,0.009511,6.724182,[55 21] ; [31 30],[47.7080292 28.2919708] ; [38.2919708 22.7080292],0
p7,1,0.022192,5.230686,[33 41] ; [15 44],[26.70676692 47.29323308] ; [21.29323308 37.70676692],0
n5,1,0.031676,4.615968,[50 26] ; [29 32],[43.82481752 32.17518248] ; [35.17518248 25.82481752],0
v2,1,0.037207,4.340915,[33 41] ; [15 41],[27.32307692 46.67692308] ; [20.67692308 35.32307692],0
r2,1,0.04154,4.153846,[69  6] ; [48 12],[65. 10.] ; [52.  8.],0
u1,1,0.042835,4.101919,[12 64] ; [ 3 58],[ 8.32116788 67.67883212] ; [ 6.67883212 54.32116788],0
a5,1,0.046676,3.957035,[49 27] ; [29 32],[43.27007299 32.72992701] ; [34.72992701 26.27007299],0
n4,1,0.053283,3.735033,[51 25] ; [31 30],[45.48905109 30.51094891] ; [36.51094891 24.48905109],0
p8,1,0.069792,3.287899,[20 56] ; [ 8 51],[15.76296296 60.23703704] ; [12.23703704 46.76296296],0
v3,1,0.076533,3.137032,[24 51] ; [10 45],[19.61538462 55.38461538] ; [14.38461538 40.61538462],0
p9,1,0.078544,3.094784,[41 30] ; [24 33],[36.0546875 34.9453125] ; [28.9453125 28.0546875],0
n2,1,0.081212,3.040469,[24  9] ; [16 15],[20.625 12.375] ; [19.375 11.625],0
u2,1,0.109825,2.556737,[ 8 19] ; [11 10],[10.6875 16.3125] ; [ 8.3125 12.6875],0
s5,1,0.112905,2.513082,[19 55] ; [ 8 48],[15.36923077 58.63076923] ; [11.63076923 44.36923077],0
p6,1,0.11502,2.483856,[17 58] ; [ 7 51],[13.53383459 61.46616541] ; [10.46616541 47.53383459],0
p1,1,0.16676,1.911833,[ 3 73] ; [ 6 55],[ 4.99270073 71.00729927] ; [ 4.00729927 56.99270073],0
d5,1,0.167382,1.906233,[58 17] ; [40 20],[54.44444444 20.55555556] ; [43.55555556 16.44444444],0
p2,1,0.200506,1.638689,[39 36] ; [25 36],[35.29411765 39.70588235] ; [28.70588235 32.29411765],0
s2,1,0.205019,1.606256,[29 47] ; [17 44],[25.51824818 50.48175182] ; [20.48175182 40.51824818],0
s7,1,0.215842,1.531801,[25 48] ; [13 41],[21.84251969 51.15748031] ; [16.15748031 37.84251969],0
d3,1,0.231655,1.43067,[38 37] ; [36 23],[41.41791045 33.58208955] ; [32.58208955 26.41791045],0
n1,1,0.235799,1.405534,[15 17] ; [10 21],[12.6984127 19.3015873] ; [12.3015873 18.6984127],0
a6,1,0.250637,1.319752,[42 34] ; [39 21],[45.26470588 30.73529412] ; [35.73529412 24.26470588],0
r1,1,0.27778,1.177921,[51 24] ; [36 25],[47.97794118 27.02205882] ; [39.02205882 21.97794118],0
s1,1,0.293311,1.104361,[ 4 72] ; [ 6 54],[ 5.58823529 70.41176471] ; [ 4.41176471 55.58823529],0
a1,1,0.313668,1.015167,[ 5 71] ; [ 7 54],[ 6.65693431 69.34306569] ; [ 5.34306569 55.65693431],0
a2,1,0.382251,0.763449,[17 59] ; [10 51],[14.97810219 61.02189781] ; [12.02189781 48.97810219],0
d1,1,0.389718,0.739821,[38 38] ; [26 35],[35.50364964 40.49635036] ; [28.49635036 32.50364964],0
d4,1,0.392153,0.732257,[59 17] ; [42 17],[56.85925926 19.14074074] ; [44.14074074 14.85925926],0
d2,1,0.396482,0.71897,[38 37] ; [26 34],[35.55555556 39.44444444] ; [28.44444444 31.55555556],0
a8,1,0.514341,0.425226,[ 6 64] ; [ 7 51],[ 7.109375 62.890625] ; [ 5.890625 52.109375],0
p3,1,0.525789,0.402523,[13 62] ; [13 47],[14.44444444 60.55555556] ; [11.55555556 48.44444444],0
s4,1,0.658772,0.195019,[16 60] ; [11 50],[14.97810219 61.02189781] ; [12.02189781 48.97810219],0
b4,1,0.688101,0.161149,[41 35] ; [35 26],[42.16058394 33.83941606] ; [33.83941606 27.16058394],0
u3,1,0.754476,0.097808,[ 9 19] ; [ 8 14],[ 9.52 18.48] ; [ 7.48 14.52],0
n3,1,0.756764,0.095934,[20 12] ; [17 12],[19.40983607 12.59016393] ; [17.59016393 11.40983607],0
a4,1,0.764316,0.089891,[31 43] ; [24 37],[30.14814815 43.85185185] ; [24.85185185 36.14814815],0
s3,1,0.815151,0.054656,[31 44] ; [26 34],[31.66666667 43.33333333] ; [25.33333333 34.66666667],0
v1,1,0.865181,0.028826,[26 49] ; [22 39],[26.47058824 48.52941176] ; [21.52941176 39.47058824],0
b1,1,0.894118,0.017714,[39 37] ; [32 29],[39.38686131 36.61313869] ; [31.61313869 29.38686131],0
b3,1,0.921483,0.009715,[14 23] ; [11 19],[13.80597015 23.19402985] ; [11.19402985 18.80597015],0
b2,1,0.921483,0.009715,[14 23] ; [11 19],[13.80597015 23.19402985] ; [11.19402985 18.80597015],0
a7,1,0.922284,0.009517,[51 24] ; [41 20],[50.73529412 24.26470588] ; [41.26470588 19.73529412],0
a3,1,0.986995,0.000266,[48 26] ; [39 21],[48.04477612 25.95522388] ; [38.95522388 21.04477612],0
