Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.6e-05,17.717312,[49 35] ; [141 275],[31.92 52.08] ; [158.08 257.92],1
s6,1,3.2e-05,17.308079,[80  8] ; [293 130],[64.23483366 23.76516634] ; [308.76516634 114.23483366],1
s2,1,0.000115,14.876346,[67 23] ; [222 203],[50.50485437 39.49514563] ; [238.49514563 186.50485437],1
s3,1,0.000316,12.972296,[69 22] ; [233 188],[53.67578125 37.32421875] ; [248.32421875 172.67578125],1
a8,1,0.00293,8.850476,[ 3 84] ; [ 59 324],[11.47659574 75.52340426] ; [ 50.52340426 332.47659574],0
v2,1,0.003685,8.43304,[40 51] ; [249 162],[52.38844622 38.61155378] ; [236.61155378 174.38844622],0
p6,1,0.004507,8.067227,[57 35] ; [193 230],[44.66019417 47.33980583] ; [205.33980583 217.66019417],0
v3,1,0.010481,6.551177,[27 63] ; [182 225],[37.84708249 52.15291751] ; [171.15291751 235.84708249],0
b3,1,0.012528,6.234613,[12 40] ; [116 164],[20.04819277 31.95180723] ; [107.95180723 172.04819277],0
b2,1,0.012528,6.234613,[12 40] ; [116 164],[20.04819277 31.95180723] ; [107.95180723 172.04819277],0
v1,1,0.057417,3.610467,[46 45] ; [254 160],[54.05940594 36.94059406] ; [245.94059406 168.05940594],0
n4,1,0.060614,3.520506,[68 24] ; [351  75],[74.41698842 17.58301158] ; [344.58301158  81.41698842],0
p11,1,0.086697,2.934654,[70 22] ; [357  70],[75.69171484 16.30828516] ; [351.30828516  75.69171484],0
u2,1,0.127152,2.326933,[12 14] ; [73 44],[15.45454545 10.54545455] ; [69.54545455 47.45454545],0
d3,1,0.143232,2.142884,[73 19] ; [307 120],[67.36030829 24.63969171] ; [312.63969171 114.36030829],0
d1,1,0.152355,2.048508,[65 27] ; [268 159],[59.02890173 32.97109827] ; [273.97109827 153.02890173],0
s8,1,0.153896,2.033201,[53 39] ; [210 215],[46.80077369 45.19922631] ; [216.19922631 208.80077369],0
s7,1,0.159715,1.976924,[56 32] ; [224 180],[50.08130081 37.91869919] ; [229.91869919 174.08130081],0
r4,1,0.167242,1.907493,[83  9] ; [402  25],[85.97302505  6.02697495] ; [399.02697495  27.97302505],0
p9,1,0.182871,1.774133,[77 15] ; [377  48],[80.78916828 11.21083172] ; [373.21083172  51.78916828],0
b4,1,0.202734,1.622571,[59 33] ; [243 184],[53.53371869 38.46628131] ; [248.46628131 178.53371869],0
u1,1,0.251883,1.312832,[23 69] ; [ 84 343],[18.9672447 73.0327553] ; [ 88.0327553 338.9672447],0
u4,1,0.255038,1.295496,[ 1 91] ; [ 14 413],[ 2.65895954 89.34104046] ; [ 12.34104046 414.65895954],0
s1,1,0.267742,1.22828,[ 5 87] ; [ 13 408],[ 3.22807018 88.77192982] ; [ 14.77192982 406.22807018],0
r3,1,0.307276,1.042348,[86  5] ; [413  14],[87.66216216  3.33783784] ; [411.33783784  15.66216216],0
d5,1,0.307378,1.04191,[81 11] ; [357  69],[77.79150579 14.20849421] ; [360.20849421  65.79150579],0
n1,1,0.307434,1.041667,[ 6 14] ; [34 46],[ 8. 12.] ; [32. 48.],0
a1,1,0.317834,0.997839,[ 3 89] ; [ 25 402],[ 4.96339114 87.03660886] ; [ 23.03660886 403.96339114],0
p7,1,0.364454,0.822488,[70 21] ; [305 117],[66.52046784 24.47953216] ; [308.47953216 113.52046784],0
r2,1,0.39783,0.714874,[85  6] ; [404  19],[86.57392996  4.42607004] ; [402.42607004  20.57392996],0
d2,1,0.433868,0.612448,[51 41] ; [217 209],[47.5984556 44.4015444] ; [220.4015444 205.5984556],0
p3,1,0.459652,0.546742,[65 27] ; [284 142],[61.98455598 30.01544402] ; [287.01544402 138.98455598],0
p12,1,0.464162,0.535839,[ 7 85] ; [ 43 383],[ 8.88030888 83.11969112] ; [ 41.11969112 384.88030888],0
a4,1,0.509105,0.435905,[47 45] ; [201 224],[44.13152805 47.86847195] ; [203.86847195 221.13152805],0
p8,1,0.517244,0.419386,[61 30] ; [269 155],[58.31067961 32.68932039] ; [271.68932039 152.31067961],0
p10,1,0.518158,0.417557,[77 15] ; [365  58],[78.9592233 13.0407767] ; [363.0407767  59.9592233],0
a2,1,0.555155,0.348163,[26 66] ; [108 319],[23.75337187 68.24662813] ; [110.24662813 316.75337187],0
p5,1,0.567543,0.326811,[13 79] ; [ 70 353],[14.82718447 77.17281553] ; [ 68.17281553 354.82718447],0
b5,1,0.61309,0.2557,[55 37] ; [243 184],[52.82466281 39.17533719] ; [245.17533719 181.82466281],0
a7,1,0.646584,0.210234,[67 25] ; [320 106],[68.73359073 23.26640927] ; [318.26640927 107.73359073],0
p1,1,0.656366,0.197967,[11 81] ; [ 44 380],[ 9.80620155 82.19379845] ; [ 45.19379845 378.80620155],0
r1,1,0.75812,0.094834,[77 15] ; [350  75],[75.98452611 16.01547389] ; [351.01547389  73.98452611],0
u3,1,0.764636,0.08964,[16 10] ; [75 41],[16.66197183  9.33802817] ; [74.33802817 41.66197183],0
d4,1,0.774412,0.082144,[78 14] ; [356  70],[77.08108108 14.91891892] ; [356.91891892  69.08108108],0
p2,1,0.775306,0.081476,[82 10] ; [383  42],[82.74661509  9.25338491] ; [382.25338491  42.74661509],0
a5,1,0.804435,0.061311,[70 22] ; [330  97],[70.90558767 21.09441233] ; [329.09441233  97.90558767],0
n3,1,0.821788,0.050736,[15  5] ; [58 22],[14.6  5.4] ; [58.4 21.6],0
n2,1,0.821788,0.050736,[15  5] ; [58 22],[14.6  5.4] ; [58.4 21.6],0
n6,1,0.877915,0.023597,[80 11] ; [372  54],[79.5589942 11.4410058] ; [372.4410058  53.5589942],0
b1,1,0.903444,0.014717,[36 56] ; [170 257],[36.51637765 55.48362235] ; [169.48362235 257.51637765],0
a3,1,0.913213,0.011878,[66 26] ; [308 118],[66.42471042 25.57528958] ; [307.57528958 118.42471042],0
n5,1,0.928195,0.008121,[73 19] ; [339  86],[73.31528046 18.68471954] ; [338.68471954  86.31528046],0
a6,1,0.985938,0.000311,[63 29] ; [292 135],[62.92870906 29.07129094] ; [292.07129094 134.92870906],0
