Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,24.477118,[62 60] ; [ 8 53],[46.66666667 75.33333333] ; [23.33333333 37.66666667],1
p8,1,3e-06,21.580704,[77 46] ; [16 45],[62.16847826 60.83152174] ; [30.83152174 30.16847826],1
p2,1,0.001153,10.5649,[106  17] ; [40 21],[97.59782609 25.40217391] ; [48.40217391 12.59782609],0
p3,1,0.004082,8.246861,[70 53] ; [21 40],[60.83152174 62.16847826] ; [30.16847826 30.83152174],0
s7,1,0.009903,6.65233,[62 54] ; [19 39],[54. 62.] ; [27. 31.],0
p4,1,0.010505,6.547165,[73 50] ; [24 37],[64.8423913 58.1576087] ; [32.1576087 28.8423913],0
p5,1,0.01062,6.527744,[ 20 103] ; [ 2 59],[ 14.70652174 108.29347826] ; [ 7.29347826 53.70652174],0
s8,1,0.016141,5.787419,[57 66] ; [17 44],[49.4673913 73.5326087] ; [24.5326087 36.4673913],0
n5,1,0.035137,4.438484,[95 26] ; [39 22],[89.08791209 31.91208791] ; [44.91208791 16.08791209],0
p10,1,0.039223,4.25118,[102  20] ; [43 18],[96.66666667 25.33333333] ; [48.33333333 12.66666667],0
p11,1,0.052025,3.77497,[102  21] ; [43 18],[96.92934783 26.07065217] ; [48.07065217 12.92934783],0
u1,1,0.080423,3.056342,[ 10 113] ; [ 1 60],[  7.35326087 115.64673913] ; [ 3.64673913 57.35326087],0
s5,1,0.102242,2.670218,[43 77] ; [14 45],[38.2122905 81.7877095] ; [18.7877095 40.2122905],0
b4,1,0.12364,2.370595,[66 57] ; [40 21],[70.85869565 52.14130435] ; [35.14130435 25.85869565],0
n4,1,0.152208,2.049987,[93 30] ; [40 21],[88.9076087 34.0923913] ; [44.0923913 16.9076087],0
s3,1,0.172096,1.864586,[66 56] ; [26 34],[61.67032967 60.32967033] ; [30.32967033 29.67032967],0
b1,1,0.17483,1.841034,[51 72] ; [19 42],[46.79347826 76.20652174] ; [23.20652174 37.79347826],0
u2,1,0.183512,1.768948,[18 24] ; [16 11],[20.69565217 21.30434783] ; [13.30434783 13.69565217],0
v4,1,0.216422,1.527939,[114   6] ; [55  6],[112.0441989   7.9558011] ; [56.9558011  4.0441989],0
a4,1,0.228324,1.451272,[32 91] ; [11 50],[28.74456522 94.25543478] ; [14.25543478 46.74456522],0
n6,1,0.23089,1.435369,[102  19] ; [47 14],[99.06043956 21.93956044] ; [49.93956044 11.06043956],0
n3,1,0.248293,1.332881,[27  4] ; [11  4],[25.60869565  5.39130435] ; [12.39130435  2.60869565],0
v3,1,0.249984,1.323392,[63 59] ; [26 35],[59.33333333 62.66666667] ; [29.66666667 31.33333333],0
n1,1,0.25493,1.296083,[11 19] ; [ 3 12],[ 9.33333333 20.66666667] ; [ 4.66666667 10.33333333],0
n2,1,0.26139,1.261381,[25  6] ; [14  1],[26.2826087  4.7173913] ; [12.7173913  2.2826087],0
a3,1,0.265414,1.240295,[79 44] ; [34 27],[75.53804348 47.46195652] ; [37.46195652 23.53804348],0
p12,1,0.276721,1.183121,[  9 114] ; [ 2 59],[  7.35326087 115.64673913] ; [ 3.64673913 57.35326087],0
a5,1,0.352381,0.864863,[74 49] ; [41 20],[76.875 46.125] ; [38.125 22.875],0
r3,1,0.378544,0.775424,[119   3] ; [58  3],[118.   4.] ; [59.  2.],0
s2,1,0.404332,0.695404,[56 67] ; [23 36],[53.39010989 69.60989011] ; [25.60989011 33.39010989],0
p9,1,0.485601,0.486258,[102  21] ; [48 13],[100.27173913  22.72826087] ; [49.72826087 11.27173913],0
