Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,118.524491,[  3 102] ; [253 152],[52.70588235 52.29411765] ; [203.29411765 201.70588235],1
d3,1,0.0,73.113027,[33 70] ; [309  96],[69.34251969 33.65748031] ; [272.65748031 132.34251969],1
d5,1,0.0,64.750255,[49 55] ; [342  63],[79.88998035 24.11001965] ; [311.11001965  93.88998035],1
d2,1,0.0,31.011202,[18 87] ; [190 213],[42.99212598 62.00787402] ; [165.00787402 237.99212598],1
a4,1,1e-06,23.654992,[20 84] ; [184 221],[41.68172888 62.31827112] ; [162.31827112 242.68172888],1
a3,1,3e-06,21.855861,[46 59] ; [276 127],[66.55511811 38.44488189] ; [255.44488189 147.55511811],1
a5,1,1.7e-05,18.539473,[51 54] ; [287 118],[69.58823529 35.41176471] ; [268.41176471 136.58823529],1
u1,1,4e-05,16.86821,[  1 104] ; [ 65 340],[13.58823529 91.41176471] ; [ 52.41176471 352.58823529],1
a2,1,0.000178,14.047805,[ 7 98] ; [ 93 312],[20.58823529 84.41176471] ; [ 79.41176471 325.58823529],1
a7,1,0.001631,9.924404,[64 40] ; [311  94],[76.62082515 27.37917485] ; [298.37917485 106.62082515],0
r1,1,0.008165,6.996937,[69 36] ; [315  88],[79.37007874 25.62992126] ; [304.62992126  98.37007874],0
s2,1,0.010267,6.58803,[24 79] ; [148 255],[35.01185771 67.98814229] ; [136.98814229 266.01185771],0
b2,1,0.010762,6.50425,[ 9 46] ; [ 73 141],[16.76579926 38.23420074] ; [ 65.23420074 148.76579926],0
b3,1,0.010762,6.50425,[ 9 46] ; [ 73 141],[16.76579926 38.23420074] ; [ 65.23420074 148.76579926],0
v2,1,0.018503,5.5479,[41 57] ; [215 175],[51.40983607 46.59016393] ; [204.59016393 185.40983607],0
u2,1,0.021269,5.304575,[23 36] ; [72 54],[30.2972973 28.7027027] ; [64.7027027 61.2972973],0
s5,1,0.024137,5.084749,[16 85] ; [105 289],[24.68888889 76.31111111] ; [ 96.31111111 297.68888889],0
a6,1,0.036987,4.35101,[63 42] ; [286 119],[71.85294118 33.14705882] ; [277.14705882 127.85294118],0
n3,1,0.061449,3.497841,[23  3] ; [69 29],[19.29032258  6.70967742] ; [72.70967742 25.29032258],0
b4,1,0.075919,3.150171,[54 51] ; [247 158],[61.97058824 43.02941176] ; [239.02941176 165.97058824],0
p1,1,0.077915,3.107866,[11 93] ; [ 23 379],[ 6.98814229 97.01185771] ; [ 27.01185771 374.98814229],0
s6,1,0.081343,3.037858,[45 57] ; [213 183],[52.84337349 49.15662651] ; [205.15662651 190.84337349],0
p10,1,0.086976,2.929479,[68 33] ; [302  97],[74.74 26.26] ; [295.26 103.74],0
a1,1,0.092234,2.834939,[  1 104] ; [ 18 387],[  3.91176471 101.08823529] ; [ 15.08823529 389.91176471],0
r2,1,0.107989,2.583401,[94 11] ; [376  24],[97.72277228  7.27722772] ; [372.27722772  27.72277228],0
p2,1,0.122697,2.382545,[78 26] ; [327  73],[83.57142857 20.42857143] ; [321.42857143  78.57142857],0
p9,1,0.157748,1.995683,[75 28] ; [314  82],[80.29458918 22.70541082] ; [308.70541082  87.29458918],0
v1,1,0.162497,1.950836,[41 63] ; [186 209],[47.31062124 56.68937876] ; [179.68937876 215.31062124],0
u3,1,0.175001,1.839574,[26 33] ; [69 57],[30.2972973 28.7027027] ; [64.7027027 61.2972973],0
s7,1,0.191,1.709891,[20 77] ; [106 285],[25.04508197 71.95491803] ; [100.95491803 290.04508197],0
s4,1,0.254351,1.299245,[19 85] ; [ 55 343],[15.33067729 88.66932271] ; [ 58.66932271 339.33067729],0
