Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.003288,8.640097,[12 36] ; [15 10],[17.75342466 30.24657534] ; [ 9.24657534 15.75342466],0
p6,1,0.043426,4.078756,[10 37] ; [11 14],[13.70833333 33.29166667] ; [ 7.29166667 17.70833333],0
s5,1,0.092498,2.830352,[12 32] ; [11 12],[15.10447761 28.89552239] ; [ 7.89552239 15.10447761],0
a2,1,0.113924,2.498924,[11 37] ; [ 2 23],[ 8.54794521 39.45205479] ; [ 4.45205479 20.54794521],0
n1,1,0.12182,2.393769,[ 9 10] ; [5 1],[10.64  8.36] ; [3.36 2.64],0
n6,1,0.14464,2.127886,[32 15] ; [21  4],[34.59722222 12.40277778] ; [18.40277778  6.59722222],0
n4,1,0.163392,1.942546,[28 19] ; [19  6],[30.68055556 16.31944444] ; [16.31944444  8.68055556],0
p7,1,0.166727,1.912133,[15 28] ; [13 12],[17.70588235 25.29411765] ; [10.29411765 14.70588235],0
a3,1,0.179527,1.801532,[32 15] ; [13 12],[29.375 17.625] ; [15.625  9.375],0
p11,1,0.183044,1.772734,[29 19] ; [19  6],[31.56164384 16.43835616] ; [16.43835616  8.56164384],0
s8,1,0.206688,1.594477,[19 28] ; [14 11],[21.54166667 25.45833333] ; [11.45833333 13.54166667],0
b2,1,0.219149,1.509932,[10 21] ; [9 9],[12.02040816 18.97959184] ; [ 6.97959184 11.02040816],0
b3,1,0.219149,1.509932,[10 21] ; [9 9],[12.02040816 18.97959184] ; [ 6.97959184 11.02040816],0
p10,1,0.224602,1.474723,[27 20] ; [18  7],[29.375 17.625] ; [15.625  9.375],0
p8,1,0.234294,1.414605,[11 37] ; [ 9 16],[13.15068493 34.84931507] ; [ 6.84931507 18.15068493],0
p12,1,0.235162,1.409362,[ 1 46] ; [ 2 23],[ 1.95833333 45.04166667] ; [ 1.04166667 23.95833333],0
p1,1,0.241823,1.369935,[ 6 42] ; [ 1 24],[ 4.60273973 43.39726027] ; [ 2.39726027 22.60273973],0
v2,1,0.261112,1.262852,[22 22] ; [16  9],[24.23188406 19.76811594] ; [13.76811594 11.23188406],0
r3,1,0.291975,1.11049,[39  8] ; [23  2],[40.47222222  6.52777778] ; [21.52777778  3.47222222],0
d1,1,0.320138,0.988382,[21 27] ; [14 11],[23.01369863 24.98630137] ; [11.98630137 13.01369863],0
s4,1,0.339235,0.913321,[ 9 38] ; [ 7 17],[10.5915493 36.4084507] ; [ 5.4084507 18.5915493],0
u3,1,0.377822,0.777778,[11  5] ; [10  2],[12.  4.] ; [9. 3.],0
a5,1,0.416975,0.658825,[30 18] ; [18  7],[31.56164384 16.43835616] ; [16.43835616  8.56164384],0
a7,1,0.476889,0.50597,[26 21] ; [16  9],[27.41666667 19.58333333] ; [14.58333333 10.41666667],0
p9,1,0.481773,0.494847,[32 15] ; [19  6],[33.29166667 13.70833333] ; [17.70833333  7.29166667],0
n5,1,0.483832,0.490213,[30 17] ; [18  7],[31.33333333 15.66666667] ; [16.66666667  8.33333333],0
b1,1,0.489957,0.476621,[19 29] ; [12 13],[20.38356164 27.61643836] ; [10.61643836 14.38356164],0
a6,1,0.518977,0.415925,[25 23] ; [15 10],[26.30136986 21.69863014] ; [13.69863014 11.30136986],0
v3,1,0.526194,0.401736,[20 24] ; [ 9 15],[18.76470588 25.23529412] ; [10.23529412 13.76470588],0
a8,1,0.530515,0.393406,[ 4 42] ; [ 3 19],[ 4.73529412 41.26470588] ; [ 2.26470588 19.73529412],0
p5,1,0.614535,0.253623,[ 4 42] ; [ 3 21],[ 4.6 41.4] ; [ 2.4 21.6],0
r4,1,0.618662,0.247752,[38 10] ; [21  4],[38.79452055  9.20547945] ; [20.20547945  4.79452055],0
d5,1,0.641451,0.216849,[30 18] ; [17  8],[30.90410959 17.09589041] ; [16.09589041  8.90410959],0
s1,1,0.65553,0.198998,[ 4 42] ; [ 3 22],[ 4.53521127 41.46478873] ; [ 2.46478873 22.53521127],0
s7,1,0.719692,0.128788,[20 24] ; [12 12],[20.70588235 23.29411765] ; [11.29411765 12.70588235],0
