Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.001208,10.477928,[ 7 26] ; [11  5],[12.12244898 20.87755102] ; [ 5.87755102 10.12244898],0
d1,1,0.010396,6.565736,[19 14] ; [ 3 13],[14.81632653 18.18367347] ; [7.18367347 8.81632653],0
p7,1,0.013266,6.133333,[11 19] ; [12  4],[15. 15.] ; [8. 8.],0
d2,1,0.019382,5.466717,[20 13] ; [ 4 12],[16.16326531 16.83673469] ; [7.83673469 8.16326531],0
b4,1,0.084543,2.975321,[21 12] ; [ 6 10],[18.18367347 14.81632653] ; [8.81632653 7.18367347],0
p3,1,0.126598,2.333737,[10 23] ; [8 7],[12.375 20.625] ; [5.625 9.375],0
v4,1,0.135223,2.231499,[23  9] ; [8 8],[20.66666667 11.33333333] ; [10.33333333  5.66666667],0
s5,1,0.141019,2.166801,[10 21] ; [ 2 14],[ 7.91489362 23.08510638] ; [ 4.08510638 11.91489362],0
p10,1,0.147299,2.1,[21 11] ; [7 9],[18.66666667 13.33333333] ; [9.33333333 6.66666667],0
d5,1,0.164705,1.930485,[25  8] ; [9 7],[22.89795918 10.10204082] ; [11.10204082  4.89795918],0
s1,1,0.168796,1.893604,[ 2 31] ; [ 3 13],[ 3.36734694 29.63265306] ; [ 1.63265306 14.36734694],0
d3,1,0.187132,1.740057,[21 12] ; [7 9],[18.85714286 14.14285714] ; [9.14285714 6.85714286],0
b1,1,0.187406,1.737891,[14 19] ; [10  6],[16.16326531 16.83673469] ; [7.83673469 8.16326531],0
p1,1,0.205903,1.6,[ 1 31] ; [ 2 14],[ 2. 30.] ; [ 1. 15.],0
a4,1,0.235442,1.407679,[14 19] ; [ 4 12],[12.12244898 20.87755102] ; [ 5.87755102 10.12244898],0
u3,1,0.254524,1.298302,[4 9] ; [3 2],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
a7,1,0.263011,1.252841,[18 15] ; [ 6 10],[16.16326531 16.83673469] ; [7.83673469 8.16326531],0
n1,1,0.28255,1.154783,[ 7 10] ; [4 2],[8.13043478 8.86956522] ; [2.86956522 3.13043478],0
p8,1,0.294551,1.098701,[ 8 24] ; [6 9],[ 9.53191489 22.46808511] ; [ 4.46808511 10.53191489],0
d4,1,0.303895,1.057022,[27  6] ; [11  5],[25.59183673  7.40816327] ; [12.40816327  3.59183673],0
a5,1,0.356605,0.849815,[16 17] ; [10  6],[17.51020408 15.48979592] ; [8.48979592 7.51020408],0
n2,1,0.362656,0.828676,[12  5] ; [3 3],[11.08695652  5.91304348] ; [3.91304348 2.08695652],0
r1,1,0.426349,0.632748,[12 21] ; [ 4 12],[10.7755102 22.2244898] ; [ 5.2244898 10.7755102],0
p6,1,0.456556,0.554326,[10 23] ; [ 3 12],[ 8.9375 24.0625] ; [ 4.0625 10.9375],0
b5,1,0.468475,0.525571,[17 16] ; [10  6],[18.18367347 14.81632653] ; [8.81632653 7.18367347],0
