Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.3e-05,19.050802,[63  5] ; [3 5],[59.05263158  8.94736842] ; [6.94736842 1.05263158],1
v4,1,0.003442,8.557058,[64  4] ; [5 3],[61.73684211  6.26315789] ; [7.26315789 0.73684211],0
p9,1,0.015147,5.899266,[56 12] ; [3 4],[53.49333333 14.50666667] ; [5.50666667 1.49333333],0
p10,1,0.019722,5.436313,[52 16] ; [3 5],[49.21052632 18.78947368] ; [5.78947368 2.21052632],0
r1,1,0.019722,5.436313,[52 16] ; [3 5],[49.21052632 18.78947368] ; [5.78947368 2.21052632],0
p11,1,0.03374,4.507843,[56 12] ; [4 4],[53.68421053 14.31578947] ; [6.31578947 1.68421053],0
v2,1,0.03541,4.425312,[37 29] ; [1 6],[34.35616438 31.64383562] ; [3.64383562 3.35616438],0
p6,1,0.044432,4.040074,[33 33] ; [1 7],[30.32432432 35.67567568] ; [3.67567568 4.32432432],0
s7,1,0.051226,3.800867,[35 31] ; [1 6],[32.54794521 33.45205479] ; [3.45205479 3.54794521],0
r2,1,0.057858,3.597759,[64  4] ; [6 2],[62.63157895  5.36842105] ; [7.36842105 0.63157895],0
a5,1,0.111723,2.529674,[45 23] ; [3 5],[42.94736842 25.05263158] ; [5.05263158 2.94736842],0
a7,1,0.134035,2.245134,[44 24] ; [3 5],[42.05263158 25.94736842] ; [4.94736842 3.05263158],0
s5,1,0.184898,1.757812,[23 41] ; [1 7],[21.33333333 42.66666667] ; [2.66666667 5.33333333],0
n5,1,0.236018,1.404223,[48 20] ; [4 4],[46.52631579 21.47368421] ; [5.47368421 2.52631579],0
s6,1,0.306496,1.045717,[42 25] ; [3 4],[40.74324324 26.25675676] ; [4.25675676 2.74324324],0
a6,1,0.319643,0.990407,[46 22] ; [4 4],[44.73684211 23.26315789] ; [5.26315789 2.73684211],0
a3,1,0.364841,0.82116,[37 31] ; [3 5],[35.78947368 32.21052632] ; [4.21052632 3.78947368],0
d3,1,0.365839,0.817749,[23 45] ; [4 4],[24.15789474 43.84210526] ; [2.84210526 5.15789474],0
u2,1,0.402784,0.7,[18 12] ; [2 3],[17.14285714 12.85714286] ; [2.85714286 2.14285714],0
p8,1,0.409175,0.681197,[49 19] ; [4 3],[48.05333333 19.94666667] ; [4.94666667 2.05333333],0
s3,1,0.416067,0.661398,[40 28] ; [3 4],[38.98666667 29.01333333] ; [4.01333333 2.98666667],0
n2,1,0.477267,0.505102,[5 2] ; [2 2],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
n1,1,0.477267,0.505102,[2 5] ; [2 2],[2.54545455 4.45454545] ; [1.45454545 2.54545455],0
v3,1,0.497866,0.459482,[28 39] ; [2 5],[27.16216216 39.83783784] ; [2.83783784 4.16216216],0
s8,1,0.516853,0.420168,[28 40] ; [2 5],[27.2 40.8] ; [2.8 4.2],0
d4,1,0.55453,0.349265,[33 35] ; [3 5],[32.21052632 35.78947368] ; [3.78947368 4.21052632],0
p4,1,0.572822,0.317984,[49 19] ; [5 3],[48.31578947 19.68421053] ; [5.68421053 2.31578947],0
s2,1,0.607896,0.263251,[32 36] ; [3 5],[31.31578947 36.68421053] ; [3.68421053 4.31578947],0
d1,1,0.609582,0.260784,[ 5 63] ; [1 7],[ 5.36842105 62.63157895] ; [0.63157895 7.36842105],0
p5,1,0.647872,0.208593,[13 55] ; [1 7],[12.52631579 55.47368421] ; [1.47368421 6.52631579],0
b5,1,0.663412,0.189405,[37 31] ; [5 3],[37.57894737 30.42105263] ; [4.42105263 3.57894737],0
p1,1,0.692541,0.156348,[13 55] ; [2 6],[13.42105263 54.57894737] ; [1.57894737 6.42105263],0
v1,1,0.720938,0.127596,[30 38] ; [3 5],[29.52631579 38.47368421] ; [3.47368421 4.52631579],0
b2,1,0.741437,0.108867,[17 24] ; [2 2],[17.31111111 23.68888889] ; [1.68888889 2.31111111],0
b3,1,0.741437,0.108867,[17 24] ; [2 2],[17.31111111 23.68888889] ; [1.68888889 2.31111111],0
n6,1,0.772181,0.083824,[54 14] ; [6 2],[53.68421053 14.31578947] ; [6.31578947 1.68421053],0
p12,1,0.787355,0.072763,[11 57] ; [1 7],[10.73684211 57.26315789] ; [1.26315789 6.73684211],0
b1,1,0.874775,0.024837,[32 36] ; [4 4],[32.21052632 35.78947368] ; [3.78947368 4.21052632],0
p7,1,0.926266,0.008564,[52 16] ; [6 2],[51.89473684 16.10526316] ; [6.10526316 1.89473684],0
p2,1,0.926266,0.008564,[52 16] ; [6 2],[51.89473684 16.10526316] ; [6.10526316 1.89473684],0
d2,1,0.926266,0.008564,[16 52] ; [2 6],[16.10526316 51.89473684] ; [1.89473684 6.10526316],0
n4,1,0.928805,0.007983,[50 18] ; [6 2],[50.10526316 17.89473684] ; [5.89473684 2.10526316],0
b4,1,0.967697,0.00164,[42 26] ; [5 3],[42.05263158 25.94736842] ; [4.94736842 3.05263158],0
