Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,37.946809,[22 37] ; [121  28],[40.5625 18.4375] ; [102.4375  46.5625],1
d3,1,1.4e-05,18.877,[45 14] ; [143   6],[53.32692308  5.67307692] ; [134.67307692  14.32692308],1
a2,1,0.000591,11.804299,[ 8 51] ; [57 93],[18.3492823 40.6507177] ; [ 46.6507177 103.3492823],1
b5,1,0.000813,11.212002,[24 35] ; [99 51],[34.72248804 24.27751196] ; [88.27751196 61.72248804],1
b1,1,0.00101,10.808583,[36 23] ; [54 96],[25.40669856 33.59330144] ; [64.59330144 85.40669856],0
v4,1,0.012838,6.191289,[51  8] ; [144   6],[55.04784689  3.95215311] ; [139.95215311  10.04784689],0
u1,1,0.017582,5.637296,[ 8 51] ; [ 44 106],[14.67942584 44.32057416] ; [ 37.32057416 112.67942584],0
s4,1,0.026283,4.937276,[18 40] ; [ 25 122],[12.16585366 45.83414634] ; [ 30.83414634 116.16585366],0
s7,1,0.029483,4.7392,[33 21] ; [63 81],[26.18181818 27.81818182] ; [69.81818182 74.18181818],0
r4,1,0.041707,4.147071,[48 11] ; [137  13],[52.22488038  6.77511962] ; [132.77511962  17.22488038],0
n3,1,0.052184,3.769846,[ 8 11] ; [30 14],[11.46031746  7.53968254] ; [26.53968254 17.46031746],0
s5,1,0.094388,2.797896,[26 33] ; [46 99],[20.82352941 38.17647059] ; [51.17647059 93.82352941],0
v3,1,0.11174,2.529444,[15 44] ; [ 23 122],[10.99019608 48.00980392] ; [ 27.00980392 117.99019608],0
p5,1,0.118799,2.433082,[11 47] ; [ 16 132],[ 7.60194175 50.39805825] ; [ 19.39805825 128.60194175],0
a4,1,0.172681,1.859515,[37 21] ; [80 70],[32.625 25.375] ; [84.375 65.625],0
a5,1,0.198468,1.65361,[51  8] ; [118  32],[47.70813397 11.29186603] ; [121.29186603  28.70813397],0
r1,1,0.199757,1.644153,[45 14] ; [125  24],[48.22115385 10.77884615] ; [121.77884615  27.22115385],0
n2,1,0.202396,1.625,[10 10] ; [30 15],[12.30769231  7.69230769] ; [27.69230769 17.30769231],0
p1,1,0.218787,1.512312,[ 8 51] ; [ 12 138],[ 5.64593301 53.35406699] ; [ 14.35406699 135.64593301],0
s6,1,0.220271,1.502605,[41 16] ; [93 55],[37.25853659 19.74146341] ; [96.74146341 51.25853659],0
p6,1,0.223432,1.482193,[27 31] ; [56 94],[23.14423077 34.85576923] ; [59.85576923 90.14423077],0
b3,1,0.223568,1.481318,[18 19] ; [36 61],[14.91044776 22.08955224] ; [39.08955224 57.91044776],0
b2,1,0.223568,1.481318,[18 19] ; [36 61],[14.91044776 22.08955224] ; [39.08955224 57.91044776],0
a8,1,0.242732,1.364655,[ 3 55] ; [ 14 121],[ 5.10880829 52.89119171] ; [ 11.89119171 123.10880829],0
r3,1,0.300051,1.073968,[52  7] ; [138  11],[53.89423077  5.10576923] ; [136.10576923  12.89423077],0
s8,1,0.304432,1.054677,[31 28] ; [67 83],[27.66507177 31.33492823] ; [70.33492823 79.66507177],0
v1,1,0.327109,0.96031,[19 39] ; [59 88],[22.06829268 35.93170732] ; [55.93170732 91.06829268],0
r2,1,0.384027,0.757771,[55  3] ; [143   4],[56.0195122  1.9804878] ; [141.9804878   5.0195122],0
n5,1,0.391069,0.735616,[47 12] ; [111  39],[44.60287081 14.39712919] ; [113.39712919  36.60287081],0
d2,1,0.422868,0.642332,[43 15] ; [102  47],[40.62801932 17.37198068] ; [104.37198068  44.62801932],0
b4,1,0.501806,0.451116,[32 27] ; [89 61],[34.15789474 24.84210526] ; [86.84210526 63.15789474],0
a1,1,0.53805,0.379165,[ 4 55] ; [  7 143],[ 3.10526316 55.89473684] ; [  7.89473684 142.10526316],0
s1,1,0.552813,0.352301,[ 4 55] ; [  7 141],[ 3.1352657 55.8647343] ; [  7.8647343 140.1352657],0
p4,1,0.622089,0.242942,[34 25] ; [92 58],[35.56937799 23.43062201] ; [90.43062201 59.56937799],0
p9,1,0.635443,0.224752,[45 13] ; [120  29],[46.23188406 11.76811594] ; [118.76811594  30.23188406],0
p3,1,0.660173,0.193313,[30 28] ; [72 77],[28.57971014 29.42028986] ; [73.42028986 75.57971014],0
d5,1,0.686066,0.163377,[57  1] ; [145   4],[56.59903382  1.40096618] ; [145.40096618   3.59903382],0
d4,1,0.686066,0.163377,[57  1] ; [145   4],[56.59903382  1.40096618] ; [145.40096618   3.59903382],0
