Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,7e-06,20.149759,[ 1 10] ; [24  4],[7.05128205 3.94871795] ; [17.94871795 10.05128205],1
p11,1,0.001607,9.951227,[3 8] ; [24  6],[7.24390244 3.75609756] ; [19.75609756 10.24390244],0
a5,1,0.015898,5.814085,[4 7] ; [23  7],[7.24390244 3.75609756] ; [19.75609756 10.24390244],0
n5,1,0.035475,4.422153,[4 7] ; [21  8],[6.875 4.125] ; [18.125 10.875],0
d5,1,0.05719,3.617058,[6 5] ; [25  5],[8.31707317 2.68292683] ; [22.68292683  7.31707317],0
s8,1,0.075524,3.15868,[ 1 10] ; [11 18],[3.3 7.7] ; [ 8.7 20.3],0
a3,1,0.080978,3.045157,[4 7] ; [20 10],[6.43902439 4.56097561] ; [17.56097561 12.43902439],0
u3,1,0.09073,2.861376,[1 6] ; [5 4],[2.625 4.375] ; [3.375 5.625],0
a4,1,0.138492,2.194631,[2 9] ; [13 17],[4.02439024 6.97560976] ; [10.97560976 19.02439024],0
a6,1,0.148252,2.09014,[5 6] ; [21  9],[6.97560976 4.02439024] ; [19.02439024 10.97560976],0
p2,1,0.176998,1.822654,[7 4] ; [25  5],[8.58536585 2.41463415] ; [23.41463415  6.58536585],0
u2,1,0.182422,1.777778,[1 5] ; [5 5],[2.25 3.75] ; [3.75 6.25],0
s5,1,0.197396,1.661538,[1 9] ; [ 8 18],[2.5 7.5] ; [ 6.5 19.5],0
p6,1,0.230204,1.439601,[3 8] ; [14 15],[4.675 6.325] ; [12.325 16.675],0
s6,1,0.242696,1.364867,[4 7] ; [16 12],[5.64102564 5.35897436] ; [14.35897436 13.64102564],0
p8,1,0.249177,1.327915,[4 7] ; [17 13],[5.63414634 5.36585366] ; [15.36585366 14.63414634],0
n1,1,0.263552,1.25,[3 2] ; [3 7],[2. 3.] ; [4. 6.],0
s1,1,0.270896,1.212203,[2 9] ; [ 2 28],[1.07317073 9.92682927] ; [ 2.92682927 27.07317073],0
v3,1,0.306677,1.044932,[4 7] ; [ 6 23],[2.75 8.25] ; [ 7.25 21.75],0
p5,1,0.307917,1.039589,[ 1 10] ; [ 7 23],[2.14634146 8.85365854] ; [ 5.85365854 24.14634146],0
v2,1,0.311564,1.024033,[3 8] ; [13 16],[4.4 6.6] ; [11.6 17.4],0
n2,1,0.408961,0.681818,[3 2] ; [8 2],[3.66666667 1.33333333] ; [7.33333333 2.66666667],0
d4,1,0.410778,0.676547,[10  1] ; [24  6],[9.12195122 1.87804878] ; [24.87804878  5.12195122],0
r3,1,0.435484,0.608154,[6 5] ; [19  9],[7.05128205 3.94871795] ; [17.94871795 10.05128205],0
v4,1,0.435484,0.608154,[6 5] ; [19  9],[7.05128205 3.94871795] ; [17.94871795 10.05128205],0
d2,1,0.453472,0.561958,[3 8] ; [12 18],[4.02439024 6.97560976] ; [10.97560976 19.02439024],0
b1,1,0.475263,0.509713,[6 5] ; [20 10],[6.97560976 4.02439024] ; [19.02439024 10.97560976],0
s7,1,0.490298,0.475872,[3 6] ; [13 15],[3.89189189 5.10810811] ; [12.10810811 15.89189189],0
n6,1,0.511936,0.430108,[7 3] ; [24  6],[7.75 2.25] ; [23.25  6.75],0
p7,1,0.522166,0.409613,[6 5] ; [19 10],[6.875 4.125] ; [18.125 10.875],0
a7,1,0.523543,0.406909,[5 6] ; [17 13],[5.90243902 5.09756098] ; [16.09756098 13.90243902],0
a2,1,0.54313,0.369769,[ 1 10] ; [ 5 25],[1.6097561 9.3902439] ; [ 4.3902439 25.6097561],0
p1,1,0.54313,0.369769,[ 1 10] ; [ 5 25],[1.6097561 9.3902439] ; [ 4.3902439 25.6097561],0
p4,1,0.54542,0.365587,[7 4] ; [22  8],[7.7804878 3.2195122] ; [21.2195122  8.7804878],0
b5,1,0.555863,0.346918,[7 4] ; [16 14],[6.17073171 4.82926829] ; [16.82926829 13.17073171],0
d3,1,0.574103,0.315865,[8 3] ; [19 11],[7.24390244 3.75609756] ; [19.75609756 10.24390244],0
r2,1,0.630202,0.231786,[6 5] ; [17 10],[6.65789474 4.34210526] ; [16.34210526 10.65789474],0
s2,1,0.648133,0.208262,[5 6] ; [15 13],[5.64102564 5.35897436] ; [14.35897436 13.64102564],0
b4,1,0.654744,0.199971,[6 5] ; [14 16],[5.36585366 5.63414634] ; [14.63414634 15.36585366],0
r1,1,0.656178,0.1982,[3 8] ; [ 6 23],[2.475 8.525] ; [ 6.525 22.475],0
n4,1,0.698035,0.150524,[7 4] ; [21  9],[7.51219512 3.48780488] ; [20.48780488  9.51219512],0
s3,1,0.720571,0.127946,[5 6] ; [14 13],[5.5 5.5] ; [13.5 13.5],0
s4,1,0.838007,0.041797,[3 8] ; [ 7 22],[2.75 8.25] ; [ 7.25 21.75],0
b3,1,0.855816,0.033016,[1 4] ; [ 5 16],[1.15384615 3.84615385] ; [ 4.84615385 16.15384615],0
b2,1,0.855816,0.033016,[1 4] ; [ 5 16],[1.15384615 3.84615385] ; [ 4.84615385 16.15384615],0
d1,1,0.94502,0.004756,[5 6] ; [14 16],[5.09756098 5.90243902] ; [13.90243902 16.09756098],0
v1,1,0.97161,0.001267,[5 6] ; [13 16],[4.95 6.05] ; [13.05 15.95],0
n3,1,1.0,0.0,[3 2] ; [6 4],[3. 2.] ; [6. 4.],0
