Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4.1e-05,16.812921,[25  8] ; [ 5 19],[17.36842105 15.63157895] ; [12.63157895 11.36842105],1
s2,1,0.001358,10.261575,[21 12] ; [ 5 19],[15.05263158 17.94736842] ; [10.94736842 13.05263158],0
d4,1,0.003804,8.375159,[30  3] ; [14 10],[25.47368421  7.52631579] ; [18.52631579  5.47368421],0
p4,1,0.006669,7.360094,[26  7] ; [10 13],[21.21428571 11.78571429] ; [14.78571429  8.21428571],0
s4,1,0.020525,5.366667,[ 9 23] ; [ 1 23],[ 5.71428571 26.28571429] ; [ 4.28571429 19.71428571],0
s8,1,0.02568,4.977429,[13 20] ; [ 3 21],[ 9.26315789 23.73684211] ; [ 6.73684211 17.26315789],0
r3,1,0.030588,4.675914,[32  1] ; [19  5],[29.52631579  3.47368421] ; [21.47368421  2.52631579],0
s7,1,0.094264,2.8,[15 17] ; [ 6 18],[12. 20.] ; [ 9. 15.],0
p7,1,0.100966,2.690217,[28  4] ; [16  7],[25.6  6.4] ; [18.4  4.6],0
s5,1,0.107059,2.597101,[ 8 24] ; [ 2 22],[ 5.71428571 26.28571429] ; [ 4.28571429 19.71428571],0
u3,1,0.135575,2.227482,[10  5] ; [5 8],[8.03571429 6.96428571] ; [6.96428571 6.03571429],0
d5,1,0.176638,1.825683,[26  7] ; [15  9],[23.73684211  9.26315789] ; [17.26315789  6.73684211],0
r4,1,0.189496,1.721534,[27  6] ; [16  8],[24.89473684  8.10526316] ; [18.10526316  5.89473684],0
d2,1,0.235533,1.407132,[14 19] ; [14 10],[16.21052632 16.78947368] ; [11.78947368 12.21052632],0
n3,1,0.310437,1.028815,[1 3] ; [6 5],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
b4,1,0.338509,0.916071,[22 11] ; [13 11],[20.26315789 12.73684211] ; [14.73684211  9.26315789],0
a4,1,0.393195,0.729038,[ 7 26] ; [ 3 21],[ 5.78947368 27.21052632] ; [ 4.21052632 19.78947368],0
v4,1,0.396153,0.719974,[31  2] ; [21  3],[30.10526316  2.89473684] ; [21.89473684  2.10526316],0
p1,1,0.396153,0.719974,[ 2 31] ; [ 3 21],[ 2.89473684 30.10526316] ; [ 2.10526316 21.89473684],0
n6,1,0.417882,0.656265,[21 12] ; [17  6],[22.39285714 10.60714286] ; [15.60714286  7.39285714],0
p5,1,0.472403,0.516349,[ 3 30] ; [ 1 23],[ 2.31578947 30.68421053] ; [ 1.68421053 22.31578947],0
b5,1,0.486376,0.484534,[19 14] ; [16  8],[20.26315789 12.73684211] ; [14.73684211  9.26315789],0
p3,1,0.488462,0.479912,[16 17] ; [ 9 14],[14.73214286 18.26785714] ; [10.26785714 12.73214286],0
p2,1,0.490925,0.474498,[26  7] ; [17  7],[24.89473684  8.10526316] ; [18.10526316  5.89473684],0
