Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,28.017948,[ 9 20] ; [58 10],[20.03092784  8.96907216] ; [46.96907216 21.03092784],1
d1,1,0.0,25.546901,[ 1 28] ; [40 28],[12.25773196 16.74226804] ; [28.74226804 39.25773196],1
d2,1,0.000443,12.342667,[ 6 23] ; [40 27],[13.89583333 15.10416667] ; [32.10416667 34.89583333],1
a3,1,0.003919,8.320768,[10 18] ; [46 22],[16.33333333 11.66666667] ; [39.66666667 28.33333333],0
a4,1,0.010062,6.623814,[ 5 24] ; [30 37],[10.57291667 18.42708333] ; [24.42708333 42.57291667],0
r3,1,0.010981,6.468449,[14 14] ; [52 16],[19.25  8.75] ; [46.75 21.25],0
a2,1,0.012433,6.24803,[ 1 28] ; [17 51],[ 5.3814433 23.6185567] ; [12.6185567 55.3814433],0
s6,1,0.018714,5.528017,[ 7 22] ; [33 33],[12.21052632 16.78947368] ; [27.78947368 38.21052632],0
s5,1,0.028768,4.781435,[ 1 28] ; [14 52],[ 4.57894737 24.42105263] ; [10.42105263 55.57894737],0
d3,1,0.030884,4.659421,[11 18] ; [42 26],[15.84536082 13.15463918] ; [37.15463918 30.84536082],0
p10,1,0.04198,4.135994,[ 1 28] ; [13 54],[ 4.22916667 24.77083333] ; [ 9.77083333 57.22916667],0
n5,1,0.047122,3.941016,[19  9] ; [31 37],[14.58333333 13.41666667] ; [35.41666667 32.58333333],0
v2,1,0.049612,3.85451,[ 6 22] ; [29 39],[10.20833333 17.79166667] ; [24.79166667 43.20833333],0
r1,1,0.055221,3.67541,[14 14] ; [48 20],[18.08333333  9.91666667] ; [43.91666667 24.08333333],0
b4,1,0.059222,3.559027,[11 18] ; [40 28],[15.24742268 13.75257732] ; [35.75257732 32.24742268],0
p7,1,0.061788,3.488716,[14 14] ; [20 47],[10.02105263 17.97894737] ; [23.97894737 43.02105263],0
a5,1,0.064279,3.423377,[12 17] ; [42 26],[16.1443299 12.8556701] ; [37.8556701 30.1443299],0
a7,1,0.097451,2.746776,[13 15] ; [44 24],[16.625 11.375] ; [40.375 27.625],0
u1,1,0.109419,2.562593,[ 1 28] ; [10 58],[ 3.28865979 25.71134021] ; [ 7.71134021 60.28865979],0
n4,1,0.122821,2.380975,[20  8] ; [37 31],[16.625 11.375] ; [40.375 27.625],0
r2,1,0.188711,1.727652,[20  8] ; [55 11],[22.34042553  5.65957447] ; [52.65957447 13.34042553],0
s2,1,0.196147,1.67083,[ 5 24] ; [20 47],[ 7.55208333 21.44791667] ; [17.44791667 49.55208333],0
n2,1,0.216244,1.529121,[6 8] ; [20 12],[7.91304348 6.08695652] ; [18.08695652 13.91304348],0
b1,1,0.23049,1.437835,[15 14] ; [44 24],[17.63917526 11.36082474] ; [41.36082474 26.63917526],0
v3,1,0.269872,1.217399,[ 6 21] ; [22 43],[ 8.2173913 18.7826087] ; [19.7826087 45.2173913],0
v1,1,0.28072,1.163602,[ 7 22] ; [24 44],[ 9.26804124 19.73195876] ; [21.73195876 46.26804124],0
v4,1,0.288567,1.126294,[18 10] ; [51 17],[20.125  7.875] ; [48.875 19.125],0
p4,1,0.292838,1.106529,[12 17] ; [20 46],[ 9.76842105 19.23157895] ; [22.23157895 43.76842105],0
a8,1,0.300902,1.070194,[ 3 25] ; [ 3 59],[ 1.86666667 26.13333333] ; [ 4.13333333 57.86666667],0
u2,1,0.301095,1.06934,[ 6 13] ; [10 11],[ 7.6 11.4] ; [ 8.4 12.6],0
r4,1,0.338397,0.916493,[14 15] ; [40 28],[16.1443299 12.8556701] ; [37.8556701 30.1443299],0
p6,1,0.345454,0.890087,[ 6 22] ; [ 9 57],[ 4.46808511 23.53191489] ; [10.53191489 55.46808511],0
p5,1,0.34906,0.876872,[ 2 26] ; [ 2 66],[ 1.16666667 26.83333333] ; [ 2.83333333 65.16666667],0
s7,1,0.382882,0.761427,[ 4 23] ; [14 47],[ 5.52272727 21.47727273] ; [12.47727273 48.52272727],0
n6,1,0.510215,0.433627,[14 14] ; [39 29],[15.45833333 12.54166667] ; [37.54166667 30.45833333],0
p3,1,0.516543,0.420791,[ 8 21] ; [23 44],[ 9.36458333 19.63541667] ; [21.63541667 45.36458333],0
