Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000325,12.919979,[10  2] ; [ 4 17],[5.09090909 6.90909091] ; [ 8.90909091 12.09090909],1
r4,1,0.001426,10.171482,[7 5] ; [ 2 21],[3.08571429 8.91428571] ; [ 5.91428571 17.08571429],0
s2,1,0.002266,9.320652,[9 3] ; [ 5 18],[4.8 7.2] ; [ 9.2 13.8],0
s3,1,0.00308,8.759416,[9 3] ; [ 5 17],[4.94117647 7.05882353] ; [ 9.05882353 12.94117647],0
p7,1,0.038104,4.300395,[3 8] ; [15  8],[5.82352941 5.17647059] ; [12.17647059 10.82352941],0
s6,1,0.039784,4.227053,[8 4] ; [ 7 16],[5.14285714 6.85714286] ; [ 9.85714286 13.14285714],0
a7,1,0.039784,4.227053,[8 4] ; [ 7 16],[5.14285714 6.85714286] ; [ 9.85714286 13.14285714],0
v3,1,0.047725,3.919631,[4 7] ; [ 2 21],[1.94117647 9.05882353] ; [ 4.05882353 18.94117647],0
a6,1,0.072285,3.230359,[8 4] ; [ 8 15],[5.48571429 6.51428571] ; [10.51428571 12.48571429],0
p9,1,0.089245,2.887944,[11  1] ; [15  8],[8.91428571 3.08571429] ; [17.08571429  5.91428571],0
d2,1,0.109781,2.557367,[7 5] ; [ 7 16],[4.8 7.2] ; [ 9.2 13.8],0
b1,1,0.109781,2.557367,[5 7] ; [16  7],[7.2 4.8] ; [13.8  9.2],0
n6,1,0.112695,2.516016,[10  2] ; [13 10],[7.88571429 4.11428571] ; [15.11428571  7.88571429],0
d4,1,0.123077,2.377717,[9 3] ; [11 12],[6.85714286 5.14285714] ; [13.14285714  9.85714286],0
n4,1,0.123077,2.377717,[9 3] ; [11 12],[6.85714286 5.14285714] ; [13.14285714  9.85714286],0
p6,1,0.157152,2.001418,[6 6] ; [ 6 17],[4.11428571 7.88571429] ; [ 7.88571429 15.11428571],0
n5,1,0.174196,1.846454,[10  2] ; [14  9],[8.22857143 3.77142857] ; [15.77142857  7.22857143],0
r1,1,0.181423,1.78593,[7 5] ; [ 8 15],[5.14285714 6.85714286] ; [ 9.85714286 13.14285714],0
u3,1,0.184708,1.759334,[3 1] ; [4 7],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
p4,1,0.190732,1.711957,[9 3] ; [12 11],[7.2 4.8] ; [13.8  9.2],0
n3,1,0.198982,1.649832,[3 5] ; [8 4],[4.4 3.6] ; [6.6 5.4],0
d1,1,0.21545,1.53442,[5 7] ; [ 5 18],[3.42857143 8.57142857] ; [ 6.57142857 16.42857143],0
a2,1,0.21656,1.527023,[ 2 10] ; [ 1 22],[ 1.02857143 10.97142857] ; [ 1.97142857 21.02857143],0
u1,1,0.21656,1.527023,[ 2 10] ; [ 1 22],[ 1.02857143 10.97142857] ; [ 1.97142857 21.02857143],0
p12,1,0.21656,1.527023,[ 2 10] ; [ 1 22],[ 1.02857143 10.97142857] ; [ 1.97142857 21.02857143],0
r2,1,0.221895,1.492071,[9 2] ; [14  9],[7.44117647 3.55882353] ; [15.55882353  7.44117647],0
b3,1,0.241696,1.370677,[4 5] ; [ 3 11],[2.73913043 6.26086957] ; [4.26086957 9.73913043],0
b2,1,0.241696,1.370677,[4 5] ; [ 3 11],[2.73913043 6.26086957] ; [4.26086957 9.73913043],0
s5,1,0.258765,1.275352,[5 6] ; [ 6 17],[3.55882353 7.44117647] ; [ 7.44117647 15.55882353],0
p10,1,0.26012,1.268116,[10  2] ; [15  8],[8.57142857 3.42857143] ; [16.42857143  6.57142857],0
p8,1,0.279041,1.171756,[7 5] ; [ 9 14],[5.48571429 6.51428571] ; [10.51428571 12.48571429],0
b5,1,0.282864,1.153276,[9 3] ; [13 10],[7.54285714 4.45714286] ; [14.45714286  8.54285714],0
d3,1,0.288212,1.127956,[8 4] ; [11 12],[6.51428571 5.48571429] ; [12.48571429 10.51428571],0
d5,1,0.288212,1.127956,[8 4] ; [11 12],[6.51428571 5.48571429] ; [12.48571429 10.51428571],0
a3,1,0.410854,0.676329,[8 4] ; [12 11],[6.85714286 5.14285714] ; [13.14285714  9.85714286],0
n2,1,0.443939,0.586081,[6 2] ; [7 5],[5.2 2.8] ; [7.8 4.2],0
n1,1,0.456057,0.555556,[4 4] ; [4 8],[3.2 4.8] ; [4.8 7.2],0
p1,1,0.481717,0.494974,[ 2 10] ; [ 2 21],[ 1.37142857 10.62857143] ; [ 2.62857143 20.37142857],0
v2,1,0.538394,0.378524,[4 7] ; [ 6 17],[3.23529412 7.76470588] ; [ 6.76470588 16.23529412],0
a4,1,0.554015,0.350173,[3 9] ; [ 8 15],[3.77142857 8.22857143] ; [ 7.22857143 15.77142857],0
v1,1,0.560891,0.338164,[4 8] ; [10 13],[4.8 7.2] ; [ 9.2 13.8],0
p5,1,0.677607,0.172832,[ 1 11] ; [ 3 20],[ 1.37142857 10.62857143] ; [ 2.62857143 20.37142857],0
p3,1,0.713146,0.135154,[6 6] ; [10 13],[5.48571429 6.51428571] ; [10.51428571 12.48571429],0
a5,1,0.728434,0.120554,[7 5] ; [12 11],[6.51428571 5.48571429] ; [12.48571429 10.51428571],0
s4,1,0.73549,0.11413,[3 9] ; [ 7 16],[3.42857143 8.57142857] ; [ 6.57142857 16.42857143],0
b4,1,0.884411,0.021135,[7 5] ; [14  9],[7.2 4.8] ; [13.8  9.2],0
p11,1,0.884411,0.021135,[7 5] ; [14  9],[7.2 4.8] ; [13.8  9.2],0
