Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,7e-06,20.310059,[ 9 27] ; [69 32],[20.49635036 15.50364964] ; [57.50364964 43.49635036],1
u1,1,0.003144,8.722114,[ 1 35] ; [26 76],[ 7.04347826 28.95652174] ; [19.95652174 82.04347826],0
r1,1,0.005793,7.613568,[25 11] ; [90 11],[30.2189781  5.7810219] ; [84.7810219 16.2189781],0
r2,1,0.020638,5.3571,[32  4] ; [100   2],[34.43478261  1.56521739] ; [97.56521739  4.43478261],0
a2,1,0.03621,4.3872,[ 4 32] ; [29 73],[ 8.60869565 27.39130435] ; [24.39130435 77.60869565],0
p3,1,0.042251,4.125136,[21 14] ; [41 61],[15.83941606 19.16058394] ; [46.16058394 55.83941606],0
b1,1,0.043755,4.066002,[25 11] ; [51 51],[19.82608696 16.17391304] ; [56.17391304 45.82608696],0
d3,1,0.049271,3.866091,[20 16] ; [74 27],[24.70072993 11.29927007] ; [69.29927007 31.70072993],0
v4,1,0.073756,3.197381,[31  5] ; [97  5],[33.39130435  2.60869565] ; [94.60869565  7.39130435],0
p4,1,0.077485,3.116882,[25 11] ; [53 48],[20.49635036 15.50364964] ; [57.50364964 43.49635036],0
d2,1,0.112711,2.51579,[23 13] ; [49 52],[18.91970803 17.08029197] ; [53.08029197 47.91970803],0
d5,1,0.124716,2.357079,[27  9] ; [87 14],[29.95620438  6.04379562] ; [84.04379562 16.95620438],0
p7,1,0.173391,1.853381,[22 13] ; [49 50],[18.54477612 16.45522388] ; [52.45522388 46.54477612],0
b5,1,0.192438,1.698855,[20 16] ; [69 33],[23.2173913 12.7826087] ; [65.7826087 36.2173913],0
n1,1,0.200814,1.636446,[8 6] ; [15 25],[5.96296296 8.03703704] ; [17.03703704 22.96296296],0
p8,1,0.246058,1.345546,[15 21] ; [31 69],[12.17647059 23.82352941] ; [33.82352941 66.17647059],0
s5,1,0.252823,1.307639,[19 17] ; [40 56],[16.09090909 19.90909091] ; [42.90909091 53.09090909],0
r4,1,0.268844,1.222637,[30  6] ; [92 10],[31.82608696  4.17391304] ; [90.17391304 11.82608696],0
p2,1,0.315922,1.005757,[23 12] ; [76 26],[25.2919708  9.7080292] ; [73.7080292 28.2919708],0
p9,1,0.337133,0.921303,[23 13] ; [71 27],[25.25373134 10.74626866] ; [68.74626866 29.25373134],0
