Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,26.374349,[ 9 30] ; [97 44],[22.96666667 16.03333333] ; [83.03333333 57.96666667],1
r4,1,0.000133,14.594841,[25 14] ; [127  15],[32.75138122  6.24861878] ; [119.24861878  22.75138122],1
n5,1,0.000758,11.341197,[15 24] ; [96 45],[24.05 14.95] ; [86.95 54.05],1
p3,1,0.001004,10.819416,[ 7 32] ; [67 75],[15.94475138 23.05524862] ; [58.05524862 83.94475138],0
p4,1,0.001156,10.558909,[ 8 31] ; [70 71],[16.9 22.1] ; [61.1 79.9],0
p11,1,0.001285,10.364494,[20 19] ; [110  32],[28.01104972 10.98895028] ; [101.98895028  40.01104972],0
r3,1,0.002031,9.521,[32  6] ; [137   4],[35.87709497  2.12290503] ; [133.12290503   7.87709497],0
v3,1,0.008427,6.940416,[ 6 31] ; [54 83],[12.75862069 24.24137931] ; [47.24137931 89.75862069],0
v4,1,0.013662,6.081365,[33  6] ; [135   6],[36.4  2.6] ; [131.6   9.4],0
v2,1,0.04895,3.877055,[11 25] ; [67 70],[16.23121387 19.76878613] ; [61.76878613 75.23121387],0
a6,1,0.049785,3.84868,[29 10] ; [81 61],[23.70165746 15.29834254] ; [86.29834254 55.70165746],0
s4,1,0.059802,3.542864,[11 28] ; [ 21 118],[ 7.01123596 31.98876404] ; [ 24.98876404 114.01123596],0
p7,1,0.060714,3.51777,[15 21] ; [81 56],[19.97687861 16.02312139] ; [76.02312139 60.97687861],0
r2,1,0.071835,3.240589,[33  6] ; [132   9],[35.75  3.25] ; [129.25  11.75],0
s6,1,0.111264,2.536172,[19 20] ; [88 52],[23.31284916 15.68715084] ; [83.68715084 56.31284916],0
a4,1,0.125806,2.343502,[ 3 36] ; [ 25 116],[ 6.06666667 32.93333333] ; [ 21.93333333 119.06666667],0
v1,1,0.186477,1.745233,[12 26] ; [60 78],[15.54545455 22.45454545] ; [56.45454545 81.54545455],0
d2,1,0.244688,1.353382,[ 5 34] ; [ 30 112],[ 7.54143646 31.45856354] ; [ 27.45856354 114.54143646],0
s5,1,0.276794,1.182763,[ 6 33] ; [ 32 104],[ 8.46857143 30.53142857] ; [ 29.53142857 106.46857143],0
p10,1,0.289572,1.12161,[25 13] ; [102  35],[27.57714286 10.42285714] ; [99.42285714 37.57714286],0
a8,1,0.329153,0.952227,[ 3 35] ; [ 18 112],[ 4.75 33.25] ; [ 16.25 113.75],0
b1,1,0.332244,0.940132,[15 24] ; [43 99],[12.49723757 26.50276243] ; [45.50276243 96.49723757],0
u2,1,0.339,0.91421,[14  7] ; [39 32],[12.09782609  8.90217391] ; [40.90217391 30.09782609],0
n2,1,0.342142,0.902387,[7 5] ; [22  8],[8.28571429 3.71428571] ; [20.71428571  9.28571429],0
b2,1,0.34736,0.883079,[ 4 16] ; [23 52],[ 5.68421053 14.31578947] ; [21.31578947 53.68421053],0
b3,1,0.34736,0.883079,[ 4 16] ; [23 52],[ 5.68421053 14.31578947] ; [21.31578947 53.68421053],0
s1,1,0.367846,0.810927,[ 3 35] ; [  6 134],[ 1.92134831 36.07865169] ; [  7.07865169 132.92134831],0
n1,1,0.397512,0.715841,[3 9] ; [12 19],[4.18604651 7.81395349] ; [10.81395349 20.18604651],0
d3,1,0.468718,0.524997,[27 11] ; [92 50],[25.12222222 12.87777778] ; [93.87777778 48.12222222],0
u3,1,0.502273,0.450131,[14  8] ; [40 32],[12.63829787  9.36170213] ; [41.36170213 30.63829787],0
n3,1,0.50254,0.449568,[9 3] ; [26  5],[9.76744186 2.23255814] ; [25.23255814  5.76744186],0
r1,1,0.52104,0.411834,[25 14] ; [98 43],[26.65 12.35] ; [96.35 44.65],0
a3,1,0.528923,0.39646,[17 22] ; [69 71],[18.73743017 20.26256983] ; [67.26256983 72.73743017],0
s8,1,0.561881,0.336458,[11 28] ; [47 95],[12.49723757 26.50276243] ; [45.50276243 96.49723757],0
b5,1,0.590693,0.289263,[26 13] ; [88 54],[24.56353591 14.43646409] ; [89.43646409 52.56353591],0
d5,1,0.619964,0.245918,[27 12] ; [104  38],[28.22651934 10.77348066] ; [102.77348066  39.22651934],0
p1,1,0.632489,0.228701,[ 4 35] ; [ 11 129],[ 3.26815642 35.73184358] ; [ 11.73184358 128.26815642],0
u1,1,0.644777,0.212549,[ 2 37] ; [  5 137],[ 1.50828729 37.49171271] ; [  5.49171271 136.50828729],0
d4,1,0.65303,0.202101,[31  8] ; [108  34],[29.95027624  9.04972376] ; [109.04972376  32.95027624],0
p2,1,0.659756,0.19382,[30  9] ; [113  28],[30.98333333  8.01666667] ; [112.01666667  28.98333333],0
s2,1,0.683924,0.165742,[16 23] ; [63 78],[17.11666667 21.88333333] ; [61.88333333 79.11666667],0
s7,1,0.726021,0.122797,[13 25] ; [50 84],[13.91860465 24.08139535] ; [49.08139535 84.91860465],0
d1,1,0.746793,0.104246,[14 25] ; [55 87],[14.86740331 24.13259669] ; [54.13259669 87.86740331],0
p9,1,0.777717,0.079691,[28 10] ; [104  33],[28.66285714  9.33714286] ; [103.33714286  33.66285714],0
s3,1,0.828864,0.046725,[20 19] ; [74 65],[20.59550562 18.40449438] ; [73.40449438 65.59550562],0
p8,1,0.875521,0.024539,[16 21] ; [63 78],[16.42134831 20.57865169] ; [62.57865169 78.42134831],0
b4,1,0.912039,0.012203,[24 15] ; [86 56],[23.70165746 15.29834254] ; [86.29834254 55.70165746],0
p6,1,0.927287,0.008328,[11 27] ; [41 97],[11.22727273 26.77272727] ; [40.77272727 97.22727273],0
