Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,30.878887,[ 8 24] ; [43  7],[19.90243902 12.09756098] ; [31.09756098 18.90243902],1
r3,1,2e-05,18.221613,[16 16] ; [45  4],[24.09876543  7.90123457] ; [36.90123457 12.09876543],1
a7,1,9.7e-05,15.191026,[12 20] ; [40 10],[20.29268293 11.70731707] ; [31.70731707 18.29268293],1
d3,1,0.00042,12.438929,[ 9 22] ; [34 15],[16.6625 14.3375] ; [26.3375 22.6625],1
p8,1,0.000548,11.94375,[ 3 27] ; [23 25],[10. 20.] ; [16. 32.],1
v4,1,0.000876,11.073074,[19 12] ; [45  4],[24.8  6.2] ; [39.2  9.8],1
d4,1,0.000967,10.888889,[13 19] ; [37 11],[20. 12.] ; [30. 18.],1
d5,1,0.002261,9.324298,[15 17] ; [39 10],[21.33333333 10.66666667] ; [32.66666667 16.33333333],0
s6,1,0.002757,8.961551,[ 9 23] ; [31 19],[15.6097561 16.3902439] ; [24.3902439 25.6097561],0
r2,1,0.009815,6.668197,[21  9] ; [46  4],[25.125  4.875] ; [41.875  8.125],0
d1,1,0.010871,6.486328,[ 7 25] ; [25 25],[12.48780488 19.51219512] ; [19.51219512 30.48780488],0
u3,1,0.012502,6.238187,[ 3 11] ; [9 4],[6.22222222 7.77777778] ; [5.77777778 7.22222222],0
v2,1,0.023368,5.140967,[ 9 21] ; [26 20],[13.81578947 16.18421053] ; [21.18421053 24.81578947],0
a1,1,0.066103,3.377229,[ 5 27] ; [ 2 48],[ 2.73170732 29.26829268] ; [ 4.26829268 45.73170732],0
v1,1,0.067051,3.353786,[ 9 21] ; [25 24],[12.91139241 17.08860759] ; [21.08860759 27.91139241],0
a3,1,0.069504,3.294707,[18 14] ; [37 12],[21.72839506 10.27160494] ; [33.27160494 15.72839506],0
s2,1,0.069844,3.286675,[ 8 24] ; [22 27],[11.85185185 20.14814815] ; [18.14814815 30.85185185],0
u2,1,0.071855,3.240135,[6 8] ; [10  3],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
s7,1,0.076083,3.146648,[ 6 25] ; [18 29],[ 9.53846154 21.46153846] ; [14.46153846 32.53846154],0
p10,1,0.080629,3.052174,[14 16] ; [32 16],[17.69230769 12.30769231] ; [28.30769231 19.69230769],0
p7,1,0.081144,3.041842,[14 17] ; [30 16],[17.71428571 13.28571429] ; [26.28571429 19.71428571],0
n3,1,0.105552,2.619591,[12  4] ; [7 8],[9.80645161 6.19354839] ; [9.19354839 5.80645161],0
p11,1,0.126171,2.338994,[15 17] ; [32 18],[18.34146341 13.65853659] ; [28.65853659 21.34146341],0
p1,1,0.130445,2.287196,[ 3 29] ; [ 1 49],[ 1.56097561 30.43902439] ; [ 2.43902439 47.56097561],0
s8,1,0.133744,2.248504,[ 6 26] ; [17 33],[ 8.97560976 23.02439024] ; [14.02439024 35.97560976],0
v3,1,0.138246,2.197372,[ 5 26] ; [14 31],[ 7.75 23.25] ; [11.25 33.75],0
s5,1,0.143018,2.14518,[ 3 28] ; [11 38],[ 5.425 25.575] ; [ 8.575 40.425],0
p3,1,0.159388,1.980024,[ 5 26] ; [15 35],[ 7.65432099 23.34567901] ; [12.34567901 37.65432099],0
p9,1,0.195747,1.673827,[19 12] ; [36 12],[21.58227848  9.41772152] ; [33.41772152 14.58227848],0
s3,1,0.200679,1.637427,[14 18] ; [28 20],[16.8 15.2] ; [25.2 22.8],0
a5,1,0.209383,1.575686,[16 16] ; [32 18],[18.73170732 13.26829268] ; [29.26829268 20.73170732],0
p2,1,0.226104,1.465201,[17 13] ; [35 15],[19.5 10.5] ; [32.5 17.5],0
b5,1,0.283864,1.148498,[16 16] ; [31 19],[18.34146341 13.65853659] ; [28.65853659 21.34146341],0
a6,1,0.296115,1.091611,[20 12] ; [36 13],[22.12345679  9.87654321] ; [33.87654321 15.12345679],0
n4,1,0.307656,1.040711,[21 11] ; [38 12],[23.02439024  8.97560976] ; [35.97560976 14.02439024],0
p5,1,0.313779,1.014703,[ 3 28] ; [ 2 47],[ 1.9375 29.0625] ; [ 3.0625 45.9375],0
a4,1,0.327439,0.959001,[10 22] ; [21 29],[12.09756098 19.90243902] ; [18.90243902 31.09756098],0
a2,1,0.37861,0.77521,[ 4 28] ; [10 40],[ 5.46341463 26.53658537] ; [ 8.53658537 41.46341463],0
n2,1,0.414216,0.666667,[11  5] ; [13  3],[12.  4.] ; [12.  4.],0
p6,1,0.447092,0.578013,[ 6 24] ; [13 34],[ 7.4025974 22.5974026] ; [11.5974026 35.4025974],0
b1,1,0.447789,0.576243,[20 12] ; [27 23],[18.34146341 13.65853659] ; [28.65853659 21.34146341],0
n1,1,0.464214,0.535714,[8 6] ; [7 9],[7. 7.] ; [8. 8.],0
a8,1,0.471307,0.518911,[ 5 27] ; [10 35],[ 6.23376623 25.76623377] ; [ 8.76623377 36.23376623],0
b4,1,0.528926,0.396455,[15 17] ; [27 23],[16.3902439 15.6097561] ; [25.6097561 24.3902439],0
p4,1,0.559842,0.339977,[11 20] ; [21 29],[12.24691358 18.75308642] ; [19.75308642 30.24691358],0
d2,1,0.656004,0.198414,[14 18] ; [19 30],[13.03703704 18.96296296] ; [19.96296296 29.03703704],0
b2,1,0.757535,0.095308,[ 6 14] ; [ 7 20],[ 5.53191489 14.46808511] ; [ 7.46808511 19.53191489],0
