Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.1e-05,19.285714,[13  2] ; [ 1 14],[7. 8.] ; [7. 8.],1
p11,1,0.003415,8.571429,[12  3] ; [ 4 11],[8. 7.] ; [8. 7.],0
r3,1,0.005187,7.812902,[11  3] ; [ 4 11],[7.24137931 6.75862069] ; [7.75862069 7.24137931],0
a5,1,0.025347,5.0,[12  3] ; [6 9],[9. 6.] ; [9. 6.],0
p2,1,0.028108,4.821429,[10  5] ; [ 4 11],[7. 8.] ; [7. 8.],0
a8,1,0.05365,3.723568,[5 9] ; [ 1 14],[ 2.89655172 11.10344828] ; [ 3.10344828 11.89655172],0
n4,1,0.05818,3.588517,[12  3] ; [7 8],[9.5 5.5] ; [9.5 5.5],0
n5,1,0.05818,3.588517,[12  3] ; [7 8],[9.5 5.5] ; [9.5 5.5],0
p4,1,0.05818,3.588517,[8 7] ; [ 3 12],[5.5 9.5] ; [5.5 9.5],0
n6,1,0.089019,2.892033,[10  4] ; [6 9],[7.72413793 6.27586207] ; [8.27586207 6.72413793],0
u2,1,0.164264,1.934524,[3 3] ; [1 6],[1.84615385 4.15384615] ; [2.15384615 4.84615385],0
p6,1,0.164269,1.934484,[ 4 11] ; [ 1 13],[ 2.5862069 12.4137931] ; [ 2.4137931 11.5862069],0
p3,1,0.195321,1.677019,[ 5 10] ; [ 2 13],[ 3.5 11.5] ; [ 3.5 11.5],0
p8,1,0.23099,1.434756,[ 5 10] ; [ 2 12],[ 3.62068966 11.37931034] ; [ 3.37931034 10.62068966],0
s6,1,0.255704,1.291866,[7 8] ; [ 4 11],[5.5 9.5] ; [5.5 9.5],0
d4,1,0.255704,1.291866,[11  4] ; [8 7],[9.5 5.5] ; [9.5 5.5],0
d5,1,0.269023,1.221719,[8 7] ; [ 5 10],[6.5 8.5] ; [6.5 8.5],0
s5,1,0.282745,1.153846,[ 3 12] ; [ 1 14],[ 2. 13.] ; [ 2. 13.],0
b3,1,0.338352,0.916667,[4 7] ; [2 9],[3. 8.] ; [3. 8.],0
b2,1,0.338352,0.916667,[4 7] ; [2 9],[3. 8.] ; [3. 8.],0
s7,1,0.356981,0.848485,[ 4 10] ; [ 2 12],[ 3. 11.] ; [ 3. 11.],0
v2,1,0.408961,0.681818,[ 5 10] ; [ 3 12],[ 4. 11.] ; [ 4. 11.],0
n3,1,0.429195,0.625,[3 1] ; [3 3],[2.4 1.6] ; [3.6 2.4],0
r1,1,0.438578,0.6,[6 9] ; [ 4 11],[ 5. 10.] ; [ 5. 10.],0
p7,1,0.456057,0.555556,[7 8] ; [ 5 10],[6. 9.] ; [6. 9.],0
s4,1,0.542802,0.37037,[ 1 14] ; [ 2 13],[ 1.5 13.5] ; [ 1.5 13.5],0
p12,1,0.542802,0.37037,[ 2 13] ; [ 1 14],[ 1.5 13.5] ; [ 1.5 13.5],0
n1,1,0.598161,0.277778,[2 2] ; [2 4],[1.6 2.4] ; [2.4 3.6],0
n2,1,0.598161,0.277778,[2 2] ; [2 4],[1.6 2.4] ; [2.4 3.6],0
v3,1,0.624206,0.24,[ 3 12] ; [ 2 13],[ 2.5 12.5] ; [ 2.5 12.5],0
b4,1,0.690328,0.15873,[11  4] ; [10  5],[10.5  4.5] ; [10.5  4.5],0
v1,1,0.690328,0.15873,[ 5 10] ; [ 4 11],[ 4.5 10.5] ; [ 4.5 10.5],0
d3,1,0.690328,0.15873,[ 4 11] ; [ 5 10],[ 4.5 10.5] ; [ 4.5 10.5],0
d2,1,0.704786,0.143541,[6 9] ; [ 5 10],[5.5 9.5] ; [5.5 9.5],0
a6,1,0.704786,0.143541,[ 5 10] ; [6 9],[5.5 9.5] ; [5.5 9.5],0
a7,1,0.712547,0.135747,[7 8] ; [6 9],[6.5 8.5] ; [6.5 8.5],0
s3,1,0.781793,0.07672,[ 5 10] ; [ 4 10],[ 4.65517241 10.34482759] ; [4.34482759 9.65517241],0
a3,1,0.875948,0.02437,[9 6] ; [8 6],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
b5,1,1.0,0.0,[9 6] ; [9 6],[9. 6.] ; [9. 6.],0
a1,1,1.0,0.0,[ 1 14] ; [ 1 14],[ 1. 14.] ; [ 1. 14.],0
d1,1,1.0,0.0,[ 3 12] ; [ 3 12],[ 3. 12.] ; [ 3. 12.],0
a4,1,1.0,0.0,[ 5 10] ; [ 5 10],[ 5. 10.] ; [ 5. 10.],0
s1,1,1.0,0.0,[ 2 13] ; [ 2 13],[ 2. 13.] ; [ 2. 13.],0
p1,1,1.0,0.0,[ 2 13] ; [ 2 13],[ 2. 13.] ; [ 2. 13.],0
s2,1,1.0,0.0,[ 4 11] ; [ 4 11],[ 4. 11.] ; [ 4. 11.],0
b1,1,1.0,0.0,[8 7] ; [8 7],[8. 7.] ; [8. 7.],0
