Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,6e-06,20.443665,[67  4] ; [22 15],[58.50925926 12.49074074] ; [30.49074074  6.50925926],1
r3,1,2.5e-05,17.730263,[66  6] ; [22 16],[57.6 14.4] ; [30.4  7.6],1
r4,1,6.5e-05,15.946897,[56 16] ; [15 23],[46.47272727 25.52727273] ; [24.52727273 13.47272727],1
p10,1,0.002987,8.815109,[48 23] ; [14 23],[40.75925926 30.24074074] ; [21.24074074 15.75925926],0
p9,1,0.006894,7.300372,[53 18] ; [18 19],[46.67592593 24.32407407] ; [24.32407407 12.67592593],0
a7,1,0.011538,6.380482,[39 33] ; [11 27],[32.72727273 39.27272727] ; [17.27272727 20.72727273],0
n6,1,0.014274,6.003899,[56 16] ; [21 17],[50.4 21.6] ; [26.6 11.4],0
n3,1,0.015239,5.888637,[16  4] ; [ 7 10],[12.43243243  7.56756757] ; [10.56756757  6.43243243],0
r1,1,0.016122,5.789474,[42 30] ; [13 25],[36. 36.] ; [19. 19.],0
v2,1,0.018079,5.588474,[26 40] ; [ 6 30],[20.70588235 45.29411765] ; [11.29411765 24.70588235],0
b1,1,0.02344,5.135613,[22 50] ; [20 18],[27.49090909 44.50909091] ; [14.50909091 23.49090909],0
r2,1,0.060802,3.515372,[61 10] ; [27 11],[57.32110092 13.67889908] ; [30.67889908  7.32110092],0
s6,1,0.063468,3.444352,[37 33] ; [13 25],[32.40740741 37.59259259] ; [17.59259259 20.40740741],0
u2,1,0.067465,3.343653,[25 20] ; [ 9 18],[21.25 23.75] ; [12.75 14.25],0
s4,1,0.076232,3.143454,[15 56] ; [ 3 35],[11.72477064 59.27522936] ; [ 6.27522936 31.72477064],0
s8,1,0.159339,1.980485,[20 52] ; [ 6 32],[17.01818182 54.98181818] ; [ 8.98181818 29.01818182],0
s5,1,0.175483,1.835469,[14 53] ; [ 4 34],[11.48571429 55.51428571] ; [ 6.51428571 31.48571429],0
a3,1,0.193931,1.6875,[27 45] ; [ 9 27],[24. 48.] ; [12. 24.],0
u3,1,0.220048,1.504059,[21 24] ; [ 9 19],[18.49315068 26.50684932] ; [11.50684932 16.49315068],0
a1,1,0.220521,1.500975,[ 2 70] ; [ 3 35],[ 3.27272727 68.72727273] ; [ 1.72727273 36.27272727],0
d1,1,0.235507,1.407289,[ 1 71] ; [ 2 36],[ 1.96363636 70.03636364] ; [ 1.03636364 36.96363636],0
a6,1,0.240798,1.375918,[31 41] ; [12 26],[28.14545455 43.85454545] ; [14.85454545 23.14545455],0
