Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.550829,[69  8] ; [73 56],[53.0776699 23.9223301] ; [88.9223301 40.0776699],1
p8,1,6e-06,20.411098,[56 20] ; [53 76],[40.4097561 35.5902439] ; [68.5902439 60.4097561],1
p4,1,0.000174,14.088938,[57 20] ; [61 68],[44.10679612 32.89320388] ; [73.89320388 55.10679612],1
s7,1,0.000488,12.159691,[52 22] ; [55 68],[40.1928934 33.8071066] ; [66.8071066 56.1928934],1
s8,1,0.000902,11.018861,[47 30] ; [48 81],[35.50970874 41.49029126] ; [59.49029126 69.50970874],1
s6,1,0.001657,9.894803,[57 16] ; [71 56],[46.72 26.28] ; [81.28 45.72],0
a6,1,0.004257,8.170903,[22 55] ; [63 66],[31.77184466 45.22815534] ; [53.22815534 75.77184466],0
s2,1,0.007969,7.040526,[46 31] ; [52 76],[36.8097561 40.1902439] ; [61.1902439 66.8097561],0
s5,1,0.009833,6.66498,[36 36] ; [40 87],[27.49748744 44.50251256] ; [48.50251256 78.49748744],0
a1,1,0.012751,6.203325,[ 8 69] ; [  3 126],[ 4.11165049 72.88834951] ; [  6.88834951 122.11165049],0
d5,1,0.015869,5.817306,[63 13] ; [87 42],[55.6097561 20.3902439] ; [94.3902439 34.6097561],0
p3,1,0.025531,4.987535,[47 30] ; [58 71],[39.24757282 37.75242718] ; [65.75242718 63.24757282],0
p5,1,0.036234,4.386037,[15 62] ; [ 12 117],[10.09223301 66.90776699] ; [ 16.90776699 112.09223301],0
d1,1,0.051734,3.784365,[43 34] ; [54 75],[36.25728155 40.74271845] ; [60.74271845 68.25728155],0
s3,1,0.06549,3.392601,[51 26] ; [68 60],[44.69756098 32.30243902] ; [74.30243902 53.69756098],0
p10,1,0.066001,3.37978,[65 10] ; [98 31],[59.92647059 15.07352941] ; [103.07352941  25.92647059],0
r3,1,0.090918,2.85805,[73  4] ; [113  16],[69.52427184  7.47572816] ; [116.47572816  12.52427184],0
v3,1,0.092018,2.838711,[35 42] ; [42 83],[29.35148515 47.64851485] ; [47.64851485 77.35148515],0
b4,1,0.104042,2.642468,[37 40] ; [77 52],[42.61165049 34.38834951] ; [71.38834951 57.61165049],0
u4,1,0.116289,2.4666,[ 3 74] ; [  1 128],[ 1.49514563 75.50485437] ; [  2.50485437 126.49514563],0
r2,1,0.138163,2.198303,[70  6] ; [108  19],[66.64039409  9.35960591] ; [111.35960591  15.64039409],0
n5,1,0.14304,2.14495,[66 11] ; [99 29],[61.97560976 15.02439024] ; [103.02439024  24.97560976],0
d2,1,0.149927,2.072996,[42 35] ; [57 72],[37.00485437 39.99514563] ; [61.99514563 67.00485437],0
n4,1,0.180008,1.797561,[66 11] ; [100  28],[62.35121951 14.64878049] ; [103.64878049  24.35121951],0
p11,1,0.186097,1.74825,[65 12] ; [99 30],[61.30097087 15.69902913] ; [102.69902913  26.30097087],0
d4,1,0.216192,1.529468,[60 16] ; [91 37],[56.25490196 19.74509804] ; [94.74509804 33.25490196],0
s4,1,0.217076,1.523595,[17 59] ; [ 20 109],[13.71707317 62.28292683] ; [ 23.28292683 105.71707317],0
u3,1,0.220145,1.503427,[11 14] ; [11 27],[ 8.73015873 16.26984127] ; [13.26984127 24.73015873],0
b2,1,0.233922,1.416853,[25 28] ; [31 53],[21.66423358 31.33576642] ; [34.33576642 49.66423358],0
