Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,1e-06,24.48583,[4 4] ; [ 2 74],[0.57142857 7.42857143] ; [ 5.42857143 70.57142857],1
d5,1,0.067474,3.343421,[4 4] ; [60 16],[6.0952381 1.9047619] ; [57.9047619 18.0952381],0
r2,1,0.072952,3.215311,[6 2] ; [71  5],[7.33333333 0.66666667] ; [69.66666667  6.33333333],0
u1,1,0.169618,1.886316,[2 6] ; [ 7 69],[0.85714286 7.14285714] ; [ 8.14285714 67.85714286],0
a8,1,0.183999,1.765023,[1 7] ; [ 2 67],[0.31168831 7.68831169] ; [ 2.68831169 66.31168831],0
a4,1,0.211055,1.564174,[1 7] ; [26 50],[2.57142857 5.42857143] ; [24.42857143 51.57142857],0
s7,1,0.222358,1.489091,[5 3] ; [28 42],[3.38461538 4.61538462] ; [29.61538462 40.38461538],0
v2,1,0.234646,1.412475,[5 2] ; [34 37],[3.5 3.5] ; [35.5 35.5],0
b5,1,0.237884,1.393092,[3 5] ; [45 31],[4.57142857 3.42857143] ; [43.42857143 32.57142857],0
v3,1,0.319159,0.99239,[3 4] ; [18 53],[1.88461538 5.11538462] ; [19.11538462 51.88461538],0
p6,1,0.377607,0.778478,[4 4] ; [25 48],[2.86419753 5.13580247] ; [26.13580247 46.86419753],0
s4,1,0.390674,0.736842,[1 7] ; [20 56],[2. 6.] ; [19. 57.],0
s3,1,0.394232,0.725848,[3 5] ; [40 35],[4.14457831 3.85542169] ; [38.85542169 36.14457831],0
a1,1,0.41057,0.677149,[1 7] ; [ 4 72],[0.47619048 7.52380952] ; [ 4.52380952 71.47619048],0
p7,1,0.419779,0.650935,[7 1] ; [56 19],[6.07228916 1.92771084] ; [56.92771084 18.07228916],0
a6,1,0.422639,0.642966,[6 2] ; [46 30],[4.95238095 3.04761905] ; [47.04761905 28.95238095],0
r4,1,0.433622,0.613104,[6 2] ; [65 11],[6.76190476 1.23809524] ; [64.23809524 11.76190476],0
v1,1,0.456057,0.555556,[3 5] ; [37 35],[4. 4.] ; [36. 36.],0
d2,1,0.463193,0.538168,[2 6] ; [29 47],[2.95238095 5.04761905] ; [28.04761905 47.95238095],0
b4,1,0.466029,0.531377,[4 4] ; [48 28],[4.95238095 3.04761905] ; [47.04761905 28.95238095],0
s5,1,0.502913,0.448784,[4 4] ; [28 46],[3.12195122 4.87804878] ; [28.87804878 45.12195122],0
r3,1,0.53622,0.382591,[7 1] ; [71  5],[7.42857143 0.57142857] ; [70.57142857  5.42857143],0
s2,1,0.546857,0.362978,[3 5] ; [37 39],[3.80952381 4.19047619] ; [36.19047619 39.80952381],0
s6,1,0.556732,0.345395,[5 3] ; [55 21],[5.71428571 2.28571429] ; [54.28571429 21.71428571],0
d4,1,0.566846,0.327989,[7 1] ; [60 16],[6.38095238 1.61904762] ; [60.61904762 15.38095238],0
n6,1,0.582521,0.302177,[6 2] ; [49 26],[5.30120482 2.69879518] ; [49.69879518 25.30120482],0
n5,1,0.582521,0.302177,[2 6] ; [26 49],[2.69879518 5.30120482] ; [25.30120482 49.69879518],0
n3,1,0.599126,0.276316,[1 1] ; [13  6],[1.33333333 0.66666667] ; [12.66666667  6.33333333],0
d3,1,0.599126,0.276316,[6 2] ; [50 26],[5.33333333 2.66666667] ; [50.66666667 25.33333333],0
r1,1,0.63247,0.228726,[6 2] ; [50 25],[5.39759036 2.60240964] ; [50.60240964 24.39759036],0
p2,1,0.666549,0.185665,[7 1] ; [61 14],[6.55421687 1.44578313] ; [61.44578313 13.55421687],0
s8,1,0.667779,0.184211,[4 4] ; [32 44],[3.42857143 4.57142857] ; [32.57142857 43.42857143],0
a5,1,0.756789,0.095914,[6 2] ; [53 23],[5.61904762 2.38095238] ; [53.38095238 22.61904762],0
b1,1,0.801573,0.063158,[3 5] ; [32 44],[3.33333333 4.66666667] ; [31.66666667 44.33333333],0
a2,1,0.806696,0.059873,[1 7] ; [12 64],[1.23809524 6.76190476] ; [11.76190476 64.23809524],0
b2,1,0.899494,0.015952,[2 4] ; [12 27],[1.86666667 4.13333333] ; [12.13333333 26.86666667],0
b3,1,0.899494,0.015952,[2 4] ; [12 27],[1.86666667 4.13333333] ; [12.13333333 26.86666667],0
p8,1,0.913421,0.011821,[5 3] ; [46 30],[4.85714286 3.14285714] ; [46.14285714 29.85714286],0
p1,1,0.936313,0.006385,[1 7] ; [10 64],[1.07317073 6.92682927] ; [ 9.92682927 64.07317073],0
d1,1,0.943542,0.005015,[4 4] ; [39 37],[4.0952381 3.9047619] ; [38.9047619 37.0952381],0
a3,1,0.97074,0.001345,[5 3] ; [48 28],[5.04761905 2.95238095] ; [47.95238095 28.04761905],0
