Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000134,14.578532,[9 6] ; [10 59],[ 3.39285714 11.60714286] ; [15.60714286 53.39285714],1
d3,1,0.004572,8.041442,[13  2] ; [32 37],[8.03571429 6.96428571] ; [36.96428571 32.03571429],0
p6,1,0.004994,7.881666,[ 4 11] ; [ 3 65],[ 1.26506024 13.73493976] ; [ 5.73493976 62.26506024],0
d1,1,0.005595,7.676206,[12  3] ; [28 41],[7.14285714 7.85714286] ; [32.85714286 36.14285714],0
p2,1,0.005595,7.676206,[12  3] ; [28 41],[7.14285714 7.85714286] ; [32.85714286 36.14285714],0
s2,1,0.009497,6.726867,[7 8] ; [11 57],[ 3.25301205 11.74698795] ; [14.74698795 53.25301205],0
d5,1,0.012287,6.268916,[14  1] ; [41 28],[9.82142857 5.17857143] ; [45.17857143 23.82142857],0
d4,1,0.022915,5.174954,[14  1] ; [43 25],[10.30120482  4.69879518] ; [46.69879518 21.30120482],0
s5,1,0.037491,4.327947,[ 5 10] ; [ 8 60],[ 2.34939759 12.65060241] ; [10.65060241 57.34939759],0
r2,1,0.056068,3.650023,[12  3] ; [35 31],[8.7037037 6.2962963] ; [38.2962963 27.7037037],0
p5,1,0.08544,2.958261,[ 2 13] ; [ 2 67],[ 0.71428571 14.28571429] ; [ 3.28571429 65.71428571],0
b2,1,0.09896,2.722222,[1 6] ; [20 22],[3. 4.] ; [18. 24.],0
b3,1,0.09896,2.722222,[1 6] ; [20 22],[3. 4.] ; [18. 24.],0
n6,1,0.124869,2.35516,[12  3] ; [40 28],[9.39759036 5.60240964] ; [42.60240964 25.39759036],0
p10,1,0.133588,2.250303,[9 6] ; [26 41],[6.40243902 8.59756098] ; [28.59756098 38.40243902],0
n5,1,0.145708,2.116616,[7 8] ; [46 23],[9.46428571 5.53571429] ; [43.53571429 25.46428571],0
p9,1,0.167596,1.904314,[10  5] ; [30 34],[7.59493671 7.40506329] ; [32.40506329 31.59493671],0
r3,1,0.185468,1.753258,[10  5] ; [32 35],[7.68292683 7.31707317] ; [34.31707317 32.68292683],0
a4,1,0.193854,1.688082,[8 7] ; [24 44],[5.78313253 9.21686747] ; [26.21686747 41.78313253],0
b5,1,0.221586,1.494071,[ 5 10] ; [35 34],[7.14285714 7.85714286] ; [32.85714286 36.14285714],0
