Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,70.173428,[124   7] ; [21 33],[102.67567568  28.32432432] ; [42.32432432 11.67567568],1
r3,1,0.0,70.068928,[126   5] ; [23 31],[105.50810811  25.49189189] ; [43.49189189 10.50810811],1
r2,1,0.0,51.295226,[127   3] ; [29 22],[112.0441989  17.9558011] ; [43.9558011  7.0441989],1
r1,1,0.0,48.997393,[105  26] ; [14 40],[84.26486486 46.73513514] ; [34.73513514 19.26486486],1
s6,1,0.0,29.189155,[79 49] ; [10 45],[62.25136612 65.74863388] ; [26.74863388 28.25136612],1
s8,1,4e-06,21.332163,[51 79] ; [ 3 52],[37.94594595 92.05405405] ; [16.05405405 38.94594595],1
p11,1,6e-06,20.513889,[81 50] ; [14 41],[66.90860215 64.09139785] ; [28.09139785 26.90860215],1
n6,1,1e-05,19.539557,[100  31] ; [23 31],[87.0972973 43.9027027] ; [35.9027027 18.0972973],1
p9,1,1.1e-05,19.348293,[84 44] ; [15 36],[70.79329609 57.20670391] ; [28.20670391 22.79329609],1
p10,1,0.000236,13.516858,[79 50] ; [17 37],[67.67213115 61.32786885] ; [28.32786885 25.67213115],1
s2,1,0.00072,11.436845,[60 69] ; [11 44],[49.77717391 79.22282609] ; [21.22282609 33.77717391],1
n3,1,0.001525,10.047659,[31 10] ; [11 18],[24.6 16.4] ; [17.4 11.6],0
a1,1,0.005558,7.688238,[  7 124] ; [10 45],[ 11.97311828 119.02688172] ; [ 5.02688172 49.97311828],0
s3,1,0.005579,7.681376,[62 67] ; [14 40],[53.57377049 75.42622951] ; [22.42622951 31.57377049],0
s5,1,0.006117,7.515447,[34 88] ; [ 5 49],[27.03409091 94.96590909] ; [11.96590909 42.03409091],0
p3,1,0.009812,6.668802,[44 87] ; [ 8 46],[36.82162162 94.17837838] ; [15.17837838 38.82162162],0
u3,1,0.012831,6.192323,[32 19] ; [ 6 14],[27.29577465 23.70422535] ; [10.70422535  9.29577465],0
s7,1,0.013056,6.161525,[47 75] ; [10 42],[39.96551724 82.03448276] ; [17.03448276 34.96551724],0
p7,1,0.013806,6.06278,[45 82] ; [ 9 44],[38.1 88.9] ; [15.9 37.1],0
p4,1,0.019443,5.461187,[41 89] ; [ 8 46],[34.61956522 95.38043478] ; [14.38043478 39.61956522],0
p6,1,0.023814,5.108096,[ 28 102] ; [ 4 49],[ 22.73224044 107.26775956] ; [ 9.26775956 43.73224044],0
p1,1,0.026745,4.907183,[  8 123] ; [ 9 46],[ 11.97311828 119.02688172] ; [ 5.02688172 49.97311828],0
n2,1,0.030784,4.66499,[34 10] ; [16 14],[29.72972973 14.27027027] ; [20.27027027  9.72972973],0
a7,1,0.032319,4.58149,[83 48] ; [25 29],[76.47567568 54.52432432] ; [31.52432432 22.47567568],0
u2,1,0.034294,4.48,[29 21] ; [ 6 14],[25. 25.] ; [10. 10.],0
b5,1,0.039509,4.238841,[81 50] ; [25 30],[74.65591398 56.34408602] ; [31.34408602 23.65591398],0
v2,1,0.060671,3.518933,[64 59] ; [19 33],[58.33714286 64.66285714] ; [24.66285714 27.33714286],0
b2,1,0.083203,3.001197,[26 56] ; [17 18],[30.13675214 51.86324786] ; [12.86324786 22.13675214],0
b3,1,0.083203,3.001197,[26 56] ; [17 18],[30.13675214 51.86324786] ; [12.86324786 22.13675214],0
v1,1,0.096838,2.756866,[50 79] ; [14 40],[45.1147541 83.8852459] ; [18.8852459 35.1147541],0
s1,1,0.128326,2.312645,[  8 121] ; [ 7 47],[ 10.57377049 118.42622951] ; [ 4.42622951 49.57377049],0
d3,1,0.193247,1.692691,[75 55] ; [26 29],[70.97297297 59.02702703] ; [30.02702703 24.97297297],0
d2,1,0.202912,1.621291,[56 73] ; [29 25],[59.91803279 69.08196721] ; [25.08196721 28.91803279],0
p12,1,0.210242,1.569762,[  8 122] ; [ 1 54],[  6.32432432 123.67567568] ; [ 2.67567568 52.32432432],0
s4,1,0.22766,1.45542,[ 29 101] ; [ 8 47],[ 26. 104.] ; [11. 44.],0
d4,1,0.256142,1.28949,[98 32] ; [37 18],[94.86486486 35.13513514] ; [40.13513514 14.86486486],0
u1,1,0.259751,1.270086,[ 20 111] ; [ 5 50],[ 17.60752688 113.39247312] ; [ 7.39247312 47.60752688],0
d5,1,0.277226,1.180636,[91 39] ; [34 21],[87.83783784 42.16216216] ; [37.16216216 17.83783784],0
n1,1,0.302496,1.06316,[21 22] ; [11 19],[18.84931507 24.15068493] ; [13.15068493 16.84931507],0
a4,1,0.343526,0.897229,[58 72] ; [20 34],[55.10869565 74.89130435] ; [22.89130435 31.10869565],0
v3,1,0.345443,0.890126,[40 81] ; [14 40],[37.33714286 83.66285714] ; [16.66285714 37.33714286],0
a5,1,0.371417,0.798919,[83 48] ; [31 24],[80.29032258 50.70967742] ; [33.70967742 21.29032258],0
p8,1,0.372783,0.794365,[ 29 102] ; [ 9 46],[ 26.76344086 104.23655914] ; [11.23655914 43.76344086],0
a2,1,0.393232,0.728926,[ 26 105] ; [ 8 47],[ 23.94623656 107.05376344] ; [10.05376344 44.94623656],0
d1,1,0.400865,0.705729,[66 65] ; [24 31],[63.38709677 67.61290323] ; [26.61290323 28.38709677],0
b1,1,0.442798,0.589022,[61 70] ; [29 26],[63.38709677 67.61290323] ; [26.61290323 28.38709677],0
a6,1,0.533837,0.387083,[75 55] ; [29 26],[73.08108108 56.91891892] ; [30.91891892 24.08108108],0
a8,1,0.587892,0.293649,[ 13 113] ; [ 4 48],[ 12.03370787 113.96629213] ; [ 4.96629213 47.03370787],0
b4,1,0.637695,0.22177,[74 57] ; [29 26],[72.54301075 58.45698925] ; [30.45698925 24.54301075],0
a3,1,0.675934,0.174739,[80 50] ; [35 19],[81.25 48.75] ; [33.75 20.25],0
n4,1,0.773801,0.082603,[83 48] ; [33 21],[82.14054054 48.85945946] ; [33.85945946 20.14054054],0
n5,1,0.780743,0.077479,[79 51] ; [34 20],[79.83695652 50.16304348] ; [33.16304348 20.83695652],0
