Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.1e-05,18.126732,[ 7 51] ; [5 1],[10.875 47.125] ; [1.125 4.875],1
s5,1,0.000505,12.096085,[ 5 58] ; [3 2],[ 7.41176471 55.58823529] ; [0.58823529 4.41176471],1
p4,1,0.005235,7.796473,[11 52] ; [4 2],[13.69565217 49.30434783] ; [1.30434783 4.69565217],0
p9,1,0.010964,6.471139,[19 42] ; [5 1],[21.85074627 39.14925373] ; [2.14925373 3.85074627],0
p2,1,0.015735,5.83229,[21 42] ; [5 1],[23.73913043 39.26086957] ; [2.26086957 3.73913043],0
u3,1,0.054652,3.692673,[ 5 23] ; [2 1],[ 6.32258065 21.67741935] ; [0.67741935 2.32258065],0
p10,1,0.069885,3.285714,[19 44] ; [4 2],[21. 42.] ; [2. 4.],0
s6,1,0.097744,2.74197,[13 51] ; [3 3],[14.62857143 49.37142857] ; [1.37142857 4.62857143],0
s2,1,0.097744,2.74197,[13 51] ; [3 3],[14.62857143 49.37142857] ; [1.37142857 4.62857143],0
d1,1,0.117517,2.450102,[22 42] ; [4 2],[23.77142857 40.22857143] ; [2.22857143 3.77142857],0
d2,1,0.173243,1.854654,[24 39] ; [4 2],[25.56521739 37.43478261] ; [2.43478261 3.56521739],0
d5,1,0.175173,1.838108,[35 29] ; [5 1],[36.57142857 27.42857143] ; [3.42857143 2.57142857],0
n2,1,0.198128,1.656121,[14 20] ; [3 1],[15.21052632 18.78947368] ; [1.78947368 2.21052632],0
n6,1,0.212807,1.552228,[25 37] ; [4 2],[26.44117647 35.55882353] ; [2.55882353 3.44117647],0
u1,1,0.226756,1.461095,[ 3 61] ; [1 5],[ 3.65714286 60.34285714] ; [0.34285714 5.65714286],0
s3,1,0.275706,1.188138,[18 45] ; [3 3],[19.17391304 43.82608696] ; [1.82608696 4.17391304],0
v1,1,0.275706,1.188138,[18 45] ; [3 3],[19.17391304 43.82608696] ; [1.82608696 4.17391304],0
a4,1,0.319005,0.993023,[19 44] ; [3 3],[20.08695652 42.91304348] ; [1.91304348 4.08695652],0
b4,1,0.353675,0.860226,[30 34] ; [4 2],[31.08571429 32.91428571] ; [2.91428571 3.08571429],0
r1,1,0.364763,0.821429,[20 43] ; [3 3],[21. 42.] ; [2. 4.],0
b3,1,0.370332,0.802551,[17 18] ; [1 3],[16.15384615 18.84615385] ; [1.84615385 2.15384615],0
b2,1,0.370332,0.802551,[17 18] ; [1 3],[16.15384615 18.84615385] ; [1.84615385 2.15384615],0
n3,1,0.531257,0.391986,[14 20] ; [1 3],[13.42105263 20.57894737] ; [1.57894737 2.42105263],0
p7,1,0.55474,0.348893,[17 44] ; [1 5],[16.3880597 44.6119403] ; [1.6119403 4.3880597],0
n5,1,0.599856,0.275214,[35 28] ; [4 2],[35.60869565 27.39130435] ; [3.39130435 2.60869565],0
v2,1,0.638634,0.220534,[15 46] ; [2 4],[15.47761194 45.52238806] ; [1.52238806 4.47761194],0
a2,1,0.6732,0.177881,[ 7 57] ; [1 5],[ 7.31428571 56.68571429] ; [0.68571429 5.31428571],0
p6,1,0.696319,0.15233,[ 7 55] ; [1 5],[ 7.29411765 54.70588235] ; [0.70588235 5.29411765],0
a3,1,0.702912,0.145461,[36 26] ; [3 3],[35.55882353 26.44117647] ; [3.44117647 2.55882353],0
n4,1,0.73593,0.113736,[36 27] ; [3 3],[35.60869565 27.39130435] ; [3.39130435 2.60869565],0
v3,1,0.752572,0.099383,[14 49] ; [1 5],[13.69565217 49.30434783] ; [1.30434783 4.69565217],0
p3,1,0.803519,0.061899,[13 49] ; [1 5],[12.76470588 49.23529412] ; [1.23529412 4.76470588],0
r3,1,0.818091,0.052901,[24 39] ; [2 4],[23.73913043 39.26086957] ; [2.26086957 3.73913043],0
b1,1,0.839939,0.040793,[40 24] ; [4 2],[40.22857143 23.77142857] ; [3.77142857 2.22857143],0
n1,1,0.853988,0.033868,[10 24] ; [1 3],[ 9.84210526 24.15789474] ; [1.15789474 2.84210526],0
s4,1,0.861626,0.030382,[ 9 55] ; [1 5],[ 9.14285714 54.85714286] ; [0.85714286 5.14285714],0
p8,1,0.874216,0.025061,[ 9 54] ; [1 5],[ 9.13043478 53.86956522] ; [0.86956522 5.13043478],0
a6,1,0.883428,0.021499,[30 34] ; [3 3],[30.17142857 33.82857143] ; [2.82857143 3.17142857],0
b5,1,0.883428,0.021499,[34 30] ; [3 3],[33.82857143 30.17142857] ; [3.17142857 2.82857143],0
u2,1,0.894349,0.017637,[ 8 19] ; [1 2],[ 8.1 18.9] ; [0.9 2.1],0
a5,1,0.941629,0.005362,[31 33] ; [3 3],[31.08571429 32.91428571] ; [2.91428571 3.08571429],0
r2,1,0.965697,0.00185,[36 25] ; [3 2],[36.04545455 24.95454545] ; [2.95454545 2.04545455],0
a7,1,0.970361,0.001381,[31 32] ; [3 3],[31.04347826 31.95652174] ; [2.95652174 3.04347826],0
