Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,160.641639,[ 33 228] ; [157  72],[101.20408163 159.79591837] ; [ 88.79591837 140.20408163],1
s6,1,0.0,90.916628,[ 98 164] ; [182  45],[150.0204499 111.9795501] ; [129.9795501  97.0204499],1
s7,1,0.0,58.342867,[ 64 186] ; [134  88],[104.87288136 145.12711864] ; [ 93.12711864 128.87288136],1
s8,1,0.0,57.838959,[ 57 205] ; [126 103],[ 97.6496945 164.3503055] ; [ 85.3503055 143.6496945],1
r4,1,0.001538,10.032429,[217  46] ; [211  18],[228.78861789  34.21138211] ; [199.21138211  29.78861789],0
r1,1,0.002904,8.866615,[186  76] ; [188  40],[199.9755102  62.0244898] ; [174.0244898  53.9755102],0
n4,1,0.004041,8.265264,[195  68] ; [194  35],[207.94105691  55.05894309] ; [181.05894309  47.94105691],0
r3,1,0.008891,6.844605,[241  21] ; [223   6],[247.59266802  14.40733198] ; [216.40733198  12.59266802],0
u4,1,0.009692,6.690692,[  2 261] ; [ 10 219],[  6.41463415 256.58536585] ; [  5.58536585 223.41463415],0
r2,1,0.017417,5.65388,[232  26] ; [217  10],[238.84948454  19.15051546] ; [210.15051546  16.84948454],0
p12,1,0.020371,5.379781,[  9 252] ; [ 19 209],[ 14.94478528 246.05521472] ; [ 13.05521472 214.94478528],0
p3,1,0.020831,5.340862,[106 156] ; [116 112],[118.70204082 143.29795918] ; [103.29795918 124.70204082],0
d2,1,0.028537,4.795318,[108 154] ; [117 112],[120.0610998 141.9389002] ; [104.9389002 124.0610998],0
a8,1,0.036782,4.360479,[ 24 210] ; [ 37 181],[ 31.57964602 202.42035398] ; [ 29.42035398 188.57964602],0
u1,1,0.042353,4.121034,[ 33 230] ; [ 44 185],[ 41.16056911 221.83943089] ; [ 35.83943089 193.16056911],0
p4,1,0.042615,4.110611,[134 128] ; [138  91],[145.14052953 116.85947047] ; [126.85947047 102.14052953],0
p9,1,0.051828,3.781327,[201  56] ; [194  34],[209.30927835  47.69072165] ; [185.69072165  42.30927835],0
p10,1,0.060267,3.530019,[196  64] ; [187  40],[204.47638604  55.52361396] ; [178.52361396  48.47638604],0
a3,1,0.079846,3.068023,[167  95] ; [163  66],[176.08961303  85.91038697] ; [153.91038697  75.08961303],0
p2,1,0.087238,2.92461,[206  56] ; [193  35],[213.34285714  48.65714286] ; [185.65714286  42.34285714],0
p7,1,0.106816,2.600712,[143 115] ; [141  84],[151.70186335 106.29813665] ; [132.29813665  92.70186335],0
n5,1,0.124667,2.357682,[197  64] ; [186  43],[204.00612245  56.99387755] ; [178.99387755  50.00612245],0
b5,1,0.143481,2.140228,[173  90] ; [136  93],[165.17682927  97.82317073] ; [143.82317073  85.17682927],0
a2,1,0.145765,2.116017,[ 48 215] ; [ 54 175],[ 54.52439024 208.47560976] ; [ 47.47560976 181.52439024],0
s1,1,0.156488,2.007841,[  4 257] ; [  8 219],[  6.41803279 254.58196721] ; [  5.58196721 221.41803279],0
s4,1,0.164595,1.931494,[ 26 235] ; [ 32 196],[ 30.95705521 230.04294479] ; [ 27.04294479 200.95705521],0
p5,1,0.170463,1.878866,[ 12 250] ; [ 17 209],[ 15.56967213 246.43032787] ; [ 13.43032787 212.56967213],0
n1,1,0.200398,1.63947,[20 49] ; [19 28],[23.19827586 45.80172414] ; [15.80172414 31.19827586],0
p1,1,0.246223,1.344607,[ 13 250] ; [ 17 211],[ 16.06924644 246.93075356] ; [ 13.93075356 214.06924644],0
b1,1,0.247329,1.338326,[ 89 174] ; [ 89 140],[ 95.1504065 167.8495935] ; [ 82.8495935 146.1504065],0
d1,1,0.280592,1.164221,[140 123] ; [133  96],[145.93292683 117.06707317] ; [127.06707317 101.93292683],0
u3,1,0.319215,0.992159,[45 50] ; [36 29],[48.09375 46.90625] ; [32.90625 32.09375],0
