Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,29.985577,[35 49] ; [229  83],[56. 28.] ; [208. 104.],1
n4,1,0.0,27.274274,[39 46] ; [236  77],[58.73115578 26.26884422] ; [216.26884422  96.73115578],1
r4,1,1e-06,23.653692,[58 27] ; [281  33],[72.21804511 12.78195489] ; [266.78195489  47.21804511],1
p11,1,8.8e-05,15.37154,[48 37] ; [244  70],[62.20551378 22.79448622] ; [229.79448622  84.20551378],1
v4,1,0.000232,13.555416,[69 16] ; [294  19],[77.52512563  7.47487437] ; [285.47487437  27.52512563],1
r3,1,0.001206,10.481606,[72 12] ; [300  14],[78.51256281  5.48743719] ; [293.48743719  20.51256281],0
a5,1,0.001437,10.158237,[47 38] ; [230  84],[59.01002506 25.98997494] ; [217.98997494  96.01002506],0
p2,1,0.001586,9.97605,[51 33] ; [244  70],[62.26130653 21.73869347] ; [232.73869347  81.26130653],0
p10,1,0.001836,9.706607,[49 34] ; [237  74],[60.24873096 22.75126904] ; [225.75126904  85.24873096],0
r2,1,0.001859,9.684242,[69 14] ; [289  19],[75.99488491  7.00511509] ; [282.00511509  25.99488491],0
d2,1,0.002425,9.196634,[30 55] ; [168 144],[42.3929471 42.6070529] ; [155.6070529 156.3929471],0
p9,1,0.005319,7.767592,[55 28] ; [246  59],[64.38917526 18.61082474] ; [236.61082474  68.38917526],0
s6,1,0.00785,7.067388,[40 44] ; [196 112],[50.57142857 33.42857143] ; [185.42857143 122.57142857],0
p7,1,0.017019,5.694394,[28 51] ; [153 150],[37.43193717 41.56806283] ; [143.56806283 159.43193717],0
s5,1,0.022213,5.229031,[14 67] ; [ 91 212],[22.1484375 58.8515625] ; [ 82.8515625 220.1484375],0
b3,1,0.022539,5.203661,[11 38] ; [ 73 109],[17.81818182 31.18181818] ; [ 66.18181818 115.81818182],0
b2,1,0.022539,5.203661,[11 38] ; [ 73 109],[17.81818182 31.18181818] ; [ 66.18181818 115.81818182],0
b1,1,0.023224,5.15166,[38 47] ; [ 99 215],[29.18546366 55.81453634] ; [107.81453634 206.18546366],0
u1,1,0.027468,4.861166,[ 6 79] ; [ 52 262],[12.35588972 72.64411028] ; [ 45.64411028 268.35588972],0
d1,1,0.029514,4.737373,[46 39] ; [210 104],[54.53634085 30.46365915] ; [201.46365915 112.53634085],0
a2,1,0.046635,3.958507,[12 73] ; [ 76 238],[18.74686717 66.25313283] ; [ 69.25313283 244.74686717],0
p6,1,0.054293,3.703666,[13 69] ; [ 81 230],[19.61323155 62.38676845] ; [ 74.38676845 236.61323155],0
p8,1,0.058929,3.567287,[23 60] ; [120 188],[30.35549872 52.64450128] ; [112.64450128 195.35549872],0
u2,1,0.059088,3.562791,[22  8] ; [45 39],[17.63157895 12.36842105] ; [49.36842105 34.63157895],0
s8,1,0.06607,3.378048,[23 62] ; [118 194],[30.18891688 54.81108312] ; [110.81108312 201.18891688],0
v3,1,0.075561,3.157895,[20 60] ; [108 196],[26.66666667 53.33333333] ; [101.33333333 202.66666667],0
v2,1,0.102097,2.672473,[36 45] ; [164 136],[42.51968504 38.48031496] ; [157.48031496 142.51968504],0
s7,1,0.105267,2.623878,[25 55] ; [126 180],[31.29533679 48.70466321] ; [119.70466321 186.29533679],0
v1,1,0.120412,2.411957,[31 52] ; [144 163],[37.24358974 45.75641026] ; [137.75641026 169.24358974],0
a4,1,0.138963,2.189402,[32 53] ; [146 167],[38.01507538 46.98492462] ; [139.98492462 173.01507538],0
a3,1,0.14215,2.154524,[55 30] ; [228  85],[60.43969849 24.56030151] ; [222.56030151  90.43969849],0
p1,1,0.191129,1.708893,[ 1 83] ; [ 13 300],[ 2.96221662 81.03778338] ; [ 11.03778338 301.96221662],0
s1,1,0.193962,1.687267,[ 4 77] ; [  7 303],[ 2.27877238 78.72122762] ; [  8.72122762 301.27877238],0
p4,1,0.28413,1.14723,[27 57] ; [119 190],[31.20610687 52.79389313] ; [114.79389313 194.20610687],0
a8,1,0.299122,1.078103,[ 8 72] ; [ 42 248],[10.81081081 69.18918919] ; [ 39.18918919 250.81081081],0
n3,1,0.311163,1.025732,[18 14] ; [59 30],[20.36363636 11.63636364] ; [56.63636364 32.36363636],0
r1,1,0.311541,1.024133,[63 22] ; [248  65],[66.41959799 18.58040201] ; [244.58040201  68.41959799],0
s2,1,0.340967,0.906791,[34 50] ; [144 167],[37.85316456 46.14683544] ; [140.14683544 170.85316456],0
a1,1,0.404008,0.696366,[ 5 80] ; [ 12 302],[ 3.62155388 81.37844612] ; [ 13.37844612 300.62155388],0
u3,1,0.4562,0.555201,[18 11] ; [46 39],[16.28070175 12.71929825] ; [47.71929825 37.28070175],0
p5,1,0.488937,0.478865,[ 3 81] ; [ 17 296],[ 4.23173804 79.76826196] ; [ 15.76826196 297.23173804],0
s3,1,0.628048,0.234717,[44 38] ; [156 152],[42.05128205 39.94871795] ; [157.94871795 150.05128205],0
p12,1,0.643171,0.214619,[ 3 80] ; [ 15 297],[ 3.78227848 79.21772152] ; [ 14.21772152 297.78227848],0
u4,1,0.647323,0.209292,[ 1 84] ; [  6 308],[ 1.49122807 83.50877193] ; [  5.50877193 308.49122807],0
n2,1,0.66012,0.193378,[22 11] ; [63 26],[22.99180328 10.00819672] ; [62.00819672 26.99180328],0
d5,1,0.702672,0.145707,[70 15] ; [264  50],[71.15288221 13.84711779] ; [262.84711779  51.15288221],0
d3,1,0.703382,0.144977,[63 22] ; [239  75],[64.3358396 20.6641604] ; [237.6641604  76.3358396],0
s4,1,0.747566,0.103587,[12 73] ; [ 48 261],[12.94416244 72.05583756] ; [ 47.05583756 261.94416244],0
b4,1,0.757347,0.09546,[53 32] ; [190 124],[51.76691729 33.23308271] ; [191.23308271 122.76691729],0
b5,1,0.891226,0.018701,[54 31] ; [202 112],[54.53634085 30.46365915] ; [201.46365915 112.53634085],0
a6,1,0.936422,0.006363,[57 28] ; [212 102],[57.30576441 27.69423559] ; [211.69423559 102.30576441],0
n1,1,0.976851,0.000842,[11 21] ; [30 58],[10.93333333 21.06666667] ; [30.06666667 57.93333333],0
a7,1,0.98715,0.000259,[63 22] ; [233  81],[63.05764411 21.94235589] ; [232.94235589  81.05764411],0
