Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,25.393429,[24 85] ; [97 90],[44.55743243 64.44256757] ; [ 76.44256757 110.55743243],1
r3,1,3.9e-05,16.914273,[82 27] ; [171  14],[93.79931973 15.20068027] ; [159.20068027  25.79931973],1
r4,1,7.1e-05,15.784329,[68 41] ; [156  32],[82.20875421 26.79124579] ; [141.79124579  46.20875421],1
p10,1,0.00011,14.956405,[54 52] ; [133  48],[69.06620209 36.93379791] ; [117.93379791  63.06620209],1
a6,1,0.002112,9.449694,[49 60] ; [119  69],[61.65656566 47.34343434] ; [106.34343434  81.65656566],0
a5,1,0.002259,9.326428,[42 67] ; [107  81],[54.68350168 54.31649832] ; [94.31649832 93.68350168],0
p8,1,0.003373,8.593901,[33 75] ; [88 95],[44.90721649 63.09278351] ; [ 76.09278351 106.90721649],0
r2,1,0.003633,8.458666,[85 24] ; [167  18],[93.42857143 15.57142857] ; [158.57142857  26.42857143],0
p9,1,0.004099,8.239334,[64 42] ; [139  43],[74.71527778 31.28472222] ; [128.28472222  53.71527778],0
d5,1,0.006671,7.359381,[46 63] ; [110  78],[57.25252525 51.74747475] ; [98.74747475 89.25252525],0
s6,1,0.008777,6.86766,[38 67] ; [96 88],[48.68512111 56.31487889] ; [85.31487889 98.68512111],0
d4,1,0.009646,6.699163,[51 58] ; [117  71],[61.65656566 47.34343434] ; [106.34343434  81.65656566],0
r1,1,0.012528,6.234594,[59 50] ; [129  59],[68.996633 40.003367] ; [119.003367  68.996633],0
d2,1,0.015654,5.841277,[21 87] ; [ 18 170],[14.22972973 93.77027027] ; [ 24.77027027 163.22972973],0
v4,1,0.020378,5.379257,[88 20] ; [168  17],[94.36177474 13.63822526] ; [161.63822526  23.36177474],0
p2,1,0.027471,4.860981,[71 37] ; [145  42],[79.0779661 28.9220339] ; [136.9220339  50.0779661],0
p3,1,0.028131,4.820048,[31 77] ; [ 78 110],[39.77027027 68.22972973] ; [ 69.22972973 118.77027027],0
u3,1,0.03914,4.254778,[23 41] ; [45 40],[29.20805369 34.79194631] ; [38.79194631 46.20805369],0
p4,1,0.041928,4.13811,[37 70] ; [87 99],[45.28327645 61.71672355] ; [ 78.71672355 107.28327645],0
s2,1,0.043496,4.076029,[24 84] ; [ 62 124],[31.59183673 76.40816327] ; [ 54.40816327 131.59183673],0
a3,1,0.045498,4.000082,[45 63] ; [100  86],[53.26530612 54.73469388] ; [91.73469388 94.26530612],0
n6,1,0.049393,3.861933,[69 38] ; [140  46],[76.32423208 30.67576792] ; [132.67576792  53.32423208],0
v2,1,0.055392,3.670242,[34 71] ; [ 79 101],[41.63157895 63.36842105] ; [ 71.36842105 108.63157895],0
v3,1,0.069938,3.284468,[22 83] ; [ 57 128],[28.60344828 76.39655172] ; [ 50.39655172 134.60344828],0
n4,1,0.10251,2.666045,[65 44] ; [129  58],[71.43918919 37.56081081] ; [122.56081081  64.43918919],0
p6,1,0.112253,2.522207,[19 87] ; [ 48 136],[24.48965517 81.51034483] ; [ 42.51034483 141.48965517],0
b5,1,0.113024,2.511414,[57 52] ; [116  72],[63.49158249 45.50841751] ; [109.50841751  78.49158249],0
p11,1,0.127647,2.320886,[69 40] ; [135  53],[74.86868687 34.13131313] ; [129.13131313  58.86868687],0
a1,1,0.152471,2.047354,[  9 100] ; [  8 180],[  6.23905724 102.76094276] ; [ 10.76094276 177.23905724],0
s7,1,0.177692,1.816821,[18 86] ; [ 43 135],[22.4964539 81.5035461] ; [ 38.5035461 139.4964539],0
p7,1,0.18906,1.724928,[50 57] ; [98 81],[55.37062937 51.62937063] ; [92.62937063 86.37062937],0
n3,1,0.230367,1.438596,[26 15] ; [31 10],[28.5 12.5] ; [28.5 12.5],0
n1,1,0.277853,1.177561,[13 29] ; [17 23],[15.36585366 26.63414634] ; [14.63414634 25.36585366],0
s3,1,0.30518,1.051423,[39 67] ; [ 79 105],[43.13103448 62.86896552] ; [ 74.86896552 109.13103448],0
u2,1,0.309124,1.034415,[27 37] ; [43 42],[30.06711409 33.93288591] ; [39.93288591 45.06711409],0
v1,1,0.311496,1.024321,[38 69] ; [ 76 107],[42.06206897 64.93793103] ; [ 71.93793103 111.06206897],0
b2,1,0.356856,0.848927,[20 43] ; [23 69],[17.47741935 45.52258065] ; [25.52258065 66.47741935],0
b3,1,0.356856,0.848927,[20 43] ; [23 69],[17.47741935 45.52258065] ; [25.52258065 66.47741935],0
p12,1,0.379773,0.771437,[  3 105] ; [  9 175],[  4.43835616 103.56164384] ; [  7.56164384 176.43835616],0
a2,1,0.390651,0.736916,[  3 106] ; [  9 179],[  4.4040404 104.5959596] ; [  7.5959596 180.4040404],0
u1,1,0.43458,0.610552,[  1 108] ; [  4 184],[  1.83501684 107.16498316] ; [  3.16498316 184.83501684],0
s5,1,0.581846,0.30326,[24 81] ; [ 37 147],[22.16262976 82.83737024] ; [ 38.83737024 145.16262976],0
s1,1,0.628269,0.234416,[  6 101] ; [  8 176],[  5.14776632 101.85223368] ; [  8.85223368 175.14776632],0
b4,1,0.735074,0.114504,[61 48] ; [109  79],[62.39057239 46.60942761] ; [107.60942761  80.39057239],0
p5,1,0.762996,0.090932,[  8 100] ; [ 12 173],[  7.37201365 100.62798635] ; [ 12.62798635 172.37201365],0
b1,1,0.764247,0.089945,[46 63] ; [ 76 112],[44.77441077 64.22558923] ; [ 77.22558923 110.77441077],0
a4,1,0.878757,0.02327,[24 84] ; [ 43 144],[24.52881356 83.47118644] ; [ 42.47118644 144.52881356],0
p1,1,0.919973,0.010094,[  8 101] ; [ 13 172],[  7.78571429 101.21428571] ; [ 13.21428571 171.78571429],0
s4,1,0.929668,0.00779,[19 90] ; [ 33 152],[19.27891156 89.72108844] ; [ 32.72108844 152.27891156],0
n5,1,0.931493,0.00739,[71 36] ; [123  61],[71.33333333 35.66666667] ; [122.66666667  61.33333333],0
n2,1,0.950683,0.003825,[32 10] ; [31 10],[31.87951807 10.12048193] ; [31.12048193  9.87951807],0
a8,1,0.97712,0.000823,[11 91] ; [ 19 159],[10.92857143 91.07142857] ; [ 19.07142857 158.92857143],0
