Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,110.699539,[ 22 138] ; [128  54],[70.1754386 89.8245614] ; [ 79.8245614 102.1754386],1
s6,1,0.0,39.641101,[72 85] ; [140  37],[99.65269461 57.34730539] ; [112.34730539  64.65269461],1
s7,1,2e-06,23.001527,[ 43 109] ; [95 79],[64.34355828 87.65644172] ; [ 73.65644172 100.34355828],1
s8,1,9e-06,19.750777,[ 37 123] ; [84 98],[ 56.60818713 103.39181287] ; [ 64.39181287 117.60818713],1
s4,1,0.008738,6.875589,[ 17 144] ; [ 38 143],[ 25.89181287 135.10818713] ; [ 29.10818713 151.89181287],0
p7,1,0.010387,6.56724,[86 74] ; [118  57],[97.43283582 62.56716418] ; [106.56716418  68.43283582],0
n2,1,0.018256,5.571429,[28 11] ; [36  3],[32.  7.] ; [32.  7.],0
s5,1,0.048084,3.907051,[ 38 117] ; [ 61 116],[ 46.21987952 108.78012048] ; [ 52.78012048 124.21987952],0
a4,1,0.085872,2.950109,[ 48 114] ; [ 39 142],[ 41.09037901 120.90962099] ; [ 45.90962099 135.09037901],0
u2,1,0.09475,2.791755,[42 29] ; [34 41],[36.95890411 34.04109589] ; [39.04109589 35.95890411],0
r2,1,0.103063,2.657487,[153   9] ; [178   4],[155.87790698   6.12209302] ; [175.12209302   6.87790698],0
d5,1,0.11807,2.442743,[101  60] ; [99 83],[93.87755102 67.12244898] ; [106.12244898  75.87755102],0
a6,1,0.150418,2.068009,[104  58] ; [103  79],[97.48255814 64.51744186] ; [109.51744186  72.48255814],0
a1,1,0.166747,1.911945,[  8 154] ; [  4 178],[  5.65116279 156.34883721] ; [  6.34883721 175.65116279],0
b5,1,0.197641,1.659721,[101  61] ; [101  81],[95.12790698 66.87209302] ; [106.87209302  75.12790698],0
n4,1,0.208752,1.58006,[109  53] ; [133  48],[114.29737609  47.70262391] ; [127.70262391  53.29737609],0
a5,1,0.247669,1.336407,[99 63] ; [100  82],[93.71511628 68.28488372] ; [105.28488372  76.71511628],0
v4,1,0.267933,1.227301,[155   7] ; [177   4],[156.80466472   5.19533528] ; [175.19533528   5.80466472],0
a7,1,0.283521,1.150132,[112  49] ; [116  65],[107.33333333  53.66666667] ; [120.66666667  60.33333333],0
a8,1,0.285734,1.139614,[ 20 133] ; [ 30 143],[ 23.46625767 129.53374233] ; [ 26.53374233 146.46625767],0
r1,1,0.300853,1.070412,[124  38] ; [146  34],[127.89473684  34.10526316] ; [142.10526316  37.89473684],0
p2,1,0.302404,1.063561,[125  37] ; [147  33],[128.84210526  33.15789474] ; [143.15789474  36.84210526],0
n5,1,0.305418,1.050386,[109  52] ; [131  49],[113.31378299  47.68621701] ; [126.68621701  53.31378299],0
p5,1,0.377412,0.779116,[ 20 141] ; [ 17 163],[ 17.46920821 143.53079179] ; [ 19.53079179 160.46920821],0
n3,1,0.387256,0.747541,[29  9] ; [32  6],[30.5  7.5] ; [30.5  7.5],0
p6,1,0.414956,0.664558,[ 53 106] ; [ 52 126],[ 49.54005935 109.45994065] ; [ 55.45994065 122.54005935],0
p3,1,0.416084,0.66135,[76 86] ; [ 77 104],[72.26239067 89.73760933] ; [ 80.73760933 100.26239067],0
v1,1,0.435179,0.60896,[75 85] ; [90 86],[78.57142857 81.42857143] ; [86.42857143 89.57142857],0
u1,1,0.468702,0.525034,[  4 158] ; [  7 175],[  5.18023256 156.81976744] ; [  5.81976744 176.18023256],0
b2,1,0.573021,0.317654,[33 60] ; [31 67],[31.16230366 61.83769634] ; [32.83769634 65.16230366],0
b3,1,0.573021,0.317654,[33 60] ; [31 67],[31.16230366 61.83769634] ; [32.83769634 65.16230366],0
p12,1,0.635308,0.224931,[ 10 151] ; [  9 170],[  8.99705882 152.00294118] ; [ 10.00294118 168.99705882],0
u3,1,0.64862,0.207645,[39 32] ; [44 31],[40.3630137 30.6369863] ; [42.6369863 32.3630137],0
p10,1,0.648802,0.207413,[119  40] ; [137  41],[120.78338279  38.21661721] ; [135.21661721  42.78338279],0
b1,1,0.674611,0.176256,[65 97] ; [ 69 113],[63.10465116 98.89534884] ; [ 70.89534884 111.10465116],0
s1,1,0.680712,0.169325,[  5 156] ; [  7 171],[  5.69911504 155.30088496] ; [  6.30088496 171.69911504],0
p4,1,0.697467,0.15112,[83 78] ; [89 91],[81.20821114 79.79178886] ; [90.79178886 89.20821114],0
d3,1,0.716522,0.13185,[65 96] ; [ 77 105],[66.65306122 94.34693878] ; [ 75.34693878 106.65306122],0
p11,1,0.757272,0.095521,[126  36] ; [139  43],[124.79651163  37.20348837] ; [140.20348837  41.79651163],0
b4,1,0.75766,0.095207,[89 73] ; [103  79],[90.41860465 71.58139535] ; [101.58139535  80.41860465],0
a3,1,0.776317,0.080725,[91 71] ; [105  77],[92.30232558 69.69767442] ; [103.69767442  78.30232558],0
v3,1,0.782145,0.076466,[ 53 104] ; [ 63 116],[ 54.20238095 102.79761905] ; [ 61.79761905 117.20238095],0
n1,1,0.81058,0.057445,[13 25] ; [14 24],[13.5 24.5] ; [13.5 24.5],0
v2,1,0.861261,0.030544,[76 79] ; [86 86],[76.78899083 78.21100917] ; [85.21100917 86.78899083],0
r3,1,0.890952,0.018796,[159   3] ; [178   3],[159.16618076   2.83381924] ; [177.83381924   3.16618076],0
p1,1,0.904689,0.014338,[ 14 147] ; [ 15 165],[ 13.69208211 147.30791789] ; [ 15.30791789 164.69208211],0
d4,1,0.905261,0.014165,[96 66] ; [109  73],[96.54069767 65.45930233] ; [108.45930233  73.54069767],0
n6,1,0.94243,0.005215,[131  31] ; [145  35],[130.73684211  31.26315789] ; [145.26315789  34.73684211],0
a2,1,0.960252,0.002484,[ 10 152] ; [ 11 171],[  9.88953488 152.11046512] ; [ 11.11046512 170.88953488],0
p9,1,0.981977,0.00051,[127  32] ; [142  36],[126.91691395  32.08308605] ; [142.08308605  35.91691395],0
p8,1,0.986535,0.000285,[74 84] ; [84 95],[74.07715134 83.92284866] ; [83.92284866 95.07715134],0
d2,1,1.0,0.0,[ 23 138] ; [ 26 156],[ 23. 138.] ; [ 26. 156.],0
