Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9e-06,19.75886,[100  27] ; [20 26],[88.09248555 38.90751445] ; [31.90751445 14.09248555],1
a6,1,3.1e-05,17.33225,[91 36] ; [17 29],[79.28323699 47.71676301] ; [28.71676301 17.28323699],1
p2,1,0.000605,11.759291,[110  15] ; [30 16],[102.33918129  22.66081871] ; [37.66081871  8.33918129],1
d4,1,0.001552,10.015269,[110  17] ; [30 16],[102.77456647  24.22543353] ; [37.22543353  8.77456647],0
d5,1,0.008378,6.950832,[100  27] ; [27 19],[93.23121387 33.76878613] ; [33.76878613 12.23121387],0
n6,1,0.008925,6.837871,[93 34] ; [24 22],[85.89017341 41.10982659] ; [31.10982659 14.89017341],0
p10,1,0.026469,4.925139,[95 30] ; [27 19],[89.18128655 35.81871345] ; [32.81871345 13.18128655],0
p4,1,0.031354,4.633485,[62 65] ; [14 32],[55.79190751 71.20809249] ; [20.20809249 25.79190751],0
p9,1,0.03235,4.579875,[104  22] ; [31 15],[98.89534884 27.10465116] ; [36.10465116  9.89534884],0
u1,1,0.041847,4.141385,[ 16 111] ; [ 1 45],[ 12.47976879 114.52023121] ; [ 4.52023121 41.47976879],0
n1,1,0.047509,3.927273,[ 7 25] ; [8 8],[10. 22.] ; [ 5. 11.],0
r3,1,0.061784,3.488847,[124   3] ; [42  4],[121.86127168   5.13872832] ; [44.13872832  1.86127168],0
n3,1,0.0658,3.384801,[27  5] ; [9 6],[24.5106383  7.4893617] ; [11.4893617  3.5106383],0
d1,1,0.06621,3.374572,[67 60] ; [17 29],[61.66473988 65.33526012] ; [22.33526012 23.66473988],0
v3,1,0.077537,3.115787,[36 86] ; [ 7 37],[31.60240964 90.39759036] ; [11.39759036 32.60240964],0
b1,1,0.084744,2.971494,[35 92] ; [19 27],[39.6416185 87.3583815] ; [14.3583815 31.6416185],0
a4,1,0.117508,2.450221,[39 88] ; [20 26],[43.31213873 83.68786127] ; [15.68786127 30.31213873],0
a5,1,0.12867,2.308479,[85 42] ; [25 21],[80.75144509 46.24855491] ; [29.24855491 16.75144509],0
p7,1,0.137951,2.200664,[77 46] ; [23 23],[72.78106509 50.21893491] ; [27.21893491 18.78106509],0
s3,1,0.154158,2.030615,[54 71] ; [25 20],[58.08823529 66.91176471] ; [20.91176471 24.08823529],0
a2,1,0.173355,1.853688,[ 18 109] ; [ 3 43],[ 15.41618497 111.58381503] ; [ 5.58381503 40.41618497],0
p5,1,0.179854,1.798831,[ 10 116] ; [ 1 44],[  8.10526316 117.89473684] ; [ 2.89473684 42.10526316],0
a1,1,0.213053,1.550557,[  5 122] ; [ 4 42],[  6.60693642 120.39306358] ; [ 2.39306358 43.60693642],0
v4,1,0.215838,1.531833,[118   7] ; [40  5],[116.17647059   8.82352941] ; [41.82352941  3.17647059],0
n2,1,0.234565,1.412962,[20 11] ; [13  3],[21.76595745  9.23404255] ; [11.23404255  4.76595745],0
p1,1,0.237406,1.39593,[  7 117] ; [ 5 41],[  8.75294118 115.24705882] ; [ 3.24705882 42.75294118],0
u3,1,0.239368,1.384309,[30 14] ; [10  9],[27.93650794 16.06349206] ; [12.06349206  6.93650794],0
p12,1,0.276405,1.184679,[  8 118] ; [ 1 45],[  6.59302326 119.40697674] ; [ 2.40697674 43.59302326],0
p8,1,0.279585,1.169108,[61 65] ; [18 28],[57.87209302 68.12790698] ; [21.12790698 24.87209302],0
v1,1,0.368456,0.808866,[46 75] ; [21 25],[48.54491018 72.45508982] ; [18.45508982 27.54491018],0
b2,1,0.383175,0.76049,[23 51] ; [12 18],[24.90384615 49.09615385] ; [10.09615385 19.90384615],0
b3,1,0.383175,0.76049,[23 51] ; [12 18],[24.90384615 49.09615385] ; [10.09615385 19.90384615],0
u2,1,0.387628,0.74637,[25 19] ; [13  6],[26.53968254 17.46031746] ; [11.46031746  7.53968254],0
b5,1,0.402593,0.700567,[78 49] ; [25 21],[75.61271676 51.38728324] ; [27.38728324 18.61271676],0
r4,1,0.420386,0.649237,[111  16] ; [38  8],[109.38150289  17.61849711] ; [39.61849711  6.38150289],0
a3,1,0.421323,0.646622,[83 44] ; [27 19],[80.75144509 46.24855491] ; [29.24855491 16.75144509],0
a8,1,0.463369,0.537744,[ 13 104] ; [ 3 39],[ 11.77358491 105.22641509] ; [ 4.22641509 37.77358491],0
v2,1,0.474452,0.511588,[65 58] ; [20 23],[62.98192771 60.01807229] ; [22.01807229 20.98192771],0
s8,1,0.479946,0.498986,[46 81] ; [14 32],[44.04624277 82.95375723] ; [15.95375723 30.04624277],0
p3,1,0.521404,0.411115,[51 76] ; [16 30],[49.1849711 77.8150289] ; [17.8150289 28.1849711],0
b4,1,0.607261,0.264183,[80 47] ; [27 19],[78.54913295 48.45086705] ; [28.45086705 17.54913295],0
p6,1,0.60871,0.262058,[36 88] ; [11 33],[34.69047619 89.30952381] ; [12.30952381 31.69047619],0
s6,1,0.609105,0.26148,[68 57] ; [23 23],[66.52046784 58.47953216] ; [24.47953216 21.52046784],0
s7,1,0.637688,0.221779,[42 82] ; [17 28],[43.28994083 80.71005917] ; [15.71005917 29.28994083],0
s1,1,0.703541,0.144815,[  4 123] ; [ 2 44],[  4.40462428 122.59537572] ; [ 1.59537572 44.40462428],0
s5,1,0.808933,0.058469,[32 91] ; [12 31],[32.60240964 90.39759036] ; [11.39759036 31.60240964],0
r1,1,0.842329,0.039568,[94 32] ; [35 11],[94.5 31.5] ; [34.5 11.5],0
d2,1,0.861672,0.030362,[46 81] ; [16 30],[45.51445087 81.48554913] ; [16.48554913 29.51445087],0
s4,1,0.862988,0.029781,[ 18 109] ; [ 7 39],[ 18.35260116 108.64739884] ; [ 6.64739884 39.35260116],0
r2,1,0.905495,0.014095,[113  10] ; [42  4],[112.81065089  10.18934911] ; [42.18934911  3.81065089],0
n4,1,0.92832,0.008093,[57 70] ; [21 25],[57.26011561 69.73988439] ; [20.73988439 25.26011561],0
s2,1,0.966944,0.001717,[47 79] ; [17 29],[46.88372093 79.11627907] ; [17.11627907 28.88372093],0
