Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1.3e-05,19.046019,[ 8 72] ; [15 17],[16.42857143 63.57142857] ; [ 6.57142857 25.42857143],1
p8,1,0.000111,14.943948,[11 69] ; [15 16],[18.73873874 61.26126126] ; [ 7.26126126 23.73873874],1
p7,1,0.000142,14.478203,[15 62] ; [18 14],[23.31192661 53.68807339] ; [ 9.68807339 22.31192661],1
s8,1,0.002456,9.173151,[ 7 74] ; [10 22],[12.18584071 68.81415929] ; [ 4.81415929 27.18584071],0
p2,1,0.003328,8.618149,[35 44] ; [24  8],[41.99099099 37.00900901] ; [17.00900901 14.99099099],0
s2,1,0.025106,5.016579,[17 64] ; [13 18],[21.69642857 59.30357143] ; [ 8.30357143 22.69642857],0
b4,1,0.034542,4.467694,[53 28] ; [14 18],[48.02654867 32.97345133] ; [18.97345133 13.02654867],0
b2,1,0.046993,3.945652,[19 27] ; [ 4 19],[15.33333333 30.66666667] ; [ 7.66666667 15.33333333],0
b3,1,0.046993,3.945652,[19 27] ; [ 4 19],[15.33333333 30.66666667] ; [ 7.66666667 15.33333333],0
p11,1,0.049076,3.872763,[34 47] ; [20 12],[38.7079646 42.2920354] ; [15.2920354 16.7079646],0
r2,1,0.067444,3.344153,[46 29] ; [13 18],[41.74528302 33.25471698] ; [17.25471698 13.74528302],0
n6,1,0.078854,3.088364,[40 38] ; [21  9],[44.05555556 33.94444444] ; [16.94444444 13.05555556],0
n5,1,0.082871,3.007683,[50 29] ; [14 17],[45.96363636 33.03636364] ; [18.03636364 12.96363636],0
d3,1,0.093487,2.813279,[39 42] ; [21 11],[43.00884956 37.99115044] ; [16.99115044 15.00884956],0
u3,1,0.109406,2.56278,[10 24] ; [8 7],[12.48979592 21.51020408] ; [5.51020408 9.48979592],0
a5,1,0.135304,2.230568,[38 43] ; [20 12],[41.57522124 39.42477876] ; [16.42477876 15.57522124],0
p9,1,0.152756,2.044516,[38 39] ; [20 11],[41.35185185 35.64814815] ; [16.64814815 14.35185185],0
s7,1,0.15349,2.037216,[18 60] ; [11 19],[20.94444444 57.05555556] ; [ 8.05555556 21.94444444],0
s6,1,0.155324,2.019169,[25 56] ; [14 17],[28.20535714 52.79464286] ; [10.79464286 20.20535714],0
r3,1,0.169032,1.891505,[37 40] ; [20 12],[40.26605505 36.73394495] ; [16.73394495 15.26605505],0
b1,1,0.189536,1.721224,[37 44] ; [19 13],[40.14159292 40.85840708] ; [15.85840708 16.14159292],0
p5,1,0.221813,1.492603,[ 3 76] ; [ 3 28],[ 4.30909091 74.69090909] ; [ 1.69090909 29.30909091],0
d2,1,0.250114,1.322668,[34 45] ; [10 22],[31.31531532 47.68468468] ; [12.68468468 19.31531532],0
a1,1,0.27121,1.210618,[11 70] ; [ 2 30],[ 9.31858407 71.68141593] ; [ 3.68141593 28.31858407],0
n4,1,0.275769,1.187823,[49 31] ; [16 16],[46.42857143 33.57142857] ; [18.57142857 13.42857143],0
r1,1,0.304982,1.052284,[26 54] ; [ 7 24],[23.78378378 56.21621622] ; [ 9.21621622 21.78378378],0
d4,1,0.305979,1.047953,[52 28] ; [24  8],[54.28571429 25.71428571] ; [21.71428571 10.28571429],0
