Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,52.780712,[50 71] ; [244  70],[81.77931034 39.22068966] ; [212.22068966 101.77931034],1
d3,1,0.0,45.933461,[58 63] ; [254  61],[86.58715596 34.41284404] ; [225.41284404  89.58715596],1
a2,1,5e-06,20.815554,[ 12 109] ; [ 98 217],[30.52752294 90.47247706] ; [ 79.47247706 235.52752294],1
u1,1,4.2e-05,16.775797,[  8 113] ; [ 75 240],[23.03440367 97.96559633] ; [ 59.96559633 255.03440367],1
r2,1,0.000743,11.378108,[111   9] ; [306   4],[116.37209302   3.62790698] ; [300.62790698   9.37209302],1
d1,1,0.000918,10.986018,[59 62] ; [208 107],[74.09862385 46.90137615] ; [192.90137615 122.09862385],1
b5,1,0.001673,9.877447,[56 65] ; [198 117],[70.49082569 50.50917431] ; [183.50917431 131.49082569],0
r4,1,0.001856,9.686715,[103  18] ; [297  18],[111.00917431   9.99082569] ; [288.99082569  26.00917431],0
d5,1,0.00581,7.60842,[87 33] ; [265  50],[97.10344828 22.89655172] ; [254.89655172  60.10344828],0
u3,1,0.007062,7.257256,[13 18] ; [57 25],[19.20353982 11.79646018] ; [50.79646018 31.20353982],0
d4,1,0.007538,7.140081,[91 28] ; [274  41],[100.08064516  18.91935484] ; [264.91935484  50.08064516],0
r1,1,0.007908,7.054157,[90 31] ; [266  46],[99.48267898 21.51732102] ; [256.51732102  55.48267898],0
v2,1,0.012404,6.252182,[53 64] ; [176 123],[64.40625 52.59375] ; [164.59375 134.40625],0
s2,1,0.020447,5.373314,[86 35] ; [256  59],[94.91284404 26.08715596] ; [247.08715596  67.91284404],0
n4,1,0.030818,4.663081,[104  16] ; [243  71],[95.94470046 24.05529954] ; [251.05529954  62.94470046],0
v4,1,0.037961,4.306762,[110   8] ; [306   8],[113.62962963   4.37037037] ; [302.37037037  11.62962963],0
b1,1,0.049157,3.869997,[55 66] ; [111 204],[46.06880734 74.93119266] ; [119.93119266 195.06880734],0
s6,1,0.127025,2.328489,[93 23] ; [268  43],[98.07025761 17.92974239] ; [262.92974239  48.07025761],0
p7,1,0.131581,2.273753,[91 29] ; [208  96],[84.62264151 35.37735849] ; [214.37735849  89.62264151],0
a5,1,0.132297,2.265339,[82 39] ; [236  79],[88.25229358 32.74770642] ; [229.74770642  85.25229358],0
s7,1,0.141256,2.164225,[82 34] ; [191 112],[75.57995227 40.42004773] ; [197.42004773 105.57995227],0
p4,1,0.157714,1.996013,[73 48] ; [212 102],[79.27586207 41.72413793] ; [205.72413793 108.27586207],0
s1,1,0.161436,1.960726,[  2 118] ; [ 14 296],[  4.46511628 115.53488372] ; [ 11.53488372 298.46511628],0
n6,1,0.170819,1.875744,[98 22] ; [271  41],[102.5  17.5] ; [266.5  45.5],0
r3,1,0.206205,1.597875,[115   6] ; [304   8],[117.08775982   3.91224018] ; [301.91224018  10.08775982],0
p12,1,0.225559,1.468649,[  9 111] ; [ 36 278],[ 12.44239631 107.55760369] ; [ 32.55760369 281.44239631],0
n5,1,0.240033,1.380399,[98 22] ; [240  74],[93.4562212 26.5437788] ; [244.5437788  69.4562212],0
n3,1,0.241662,1.370872,[21  9] ; [47 11],[23.18181818  6.81818182] ; [44.81818182 13.18181818],0
u2,1,0.246712,1.341829,[15 16] ; [49 32],[17.71428571 13.28571429] ; [46.28571429 34.71428571],0
p9,1,0.253111,1.306049,[103  18] ; [278  34],[106.46882217  14.53117783] ; [274.53117783  37.46882217],0
b2,1,0.269936,1.217075,[36 47] ; [ 66 116],[31.94716981 51.05283019] ; [ 70.05283019 111.94716981],0
b3,1,0.269936,1.217075,[36 47] ; [ 66 116],[31.94716981 51.05283019] ; [ 70.05283019 111.94716981],0
p10,1,0.27947,1.169663,[98 22] ; [267  44],[101.62412993  18.37587007] ; [263.37587007  47.62412993],0
s5,1,0.31264,1.019489,[54 61] ; [124 175],[49.44444444 65.55555556] ; [128.55555556 170.44444444],0
s8,1,0.315729,1.006557,[75 46] ; [178 136],[70.37471264 50.62528736] ; [182.62528736 131.37471264],0
b4,1,0.316746,1.002335,[67 54] ; [191 124],[71.60091743 49.39908257] ; [186.39908257 128.60091743],0
n2,1,0.339091,0.913866,[25  4] ; [45 13],[23.33333333  5.66666667] ; [46.66666667 11.33333333],0
a1,1,0.354609,0.856895,[  8 113] ; [ 14 301],[  6.10550459 114.89449541] ; [ 15.89449541 299.10550459],0
p1,1,0.425781,0.634304,[  9 112] ; [ 31 282],[ 11.15207373 109.84792627] ; [ 28.84792627 284.15207373],0
n1,1,0.473958,0.512733,[13 16] ; [21 36],[11.46511628 17.53488372] ; [22.53488372 34.46511628],0
v3,1,0.521498,0.41093,[52 68] ; [121 182],[49.07801418 70.92198582] ; [123.92198582 179.07801418],0
p3,1,0.61314,0.255628,[68 53] ; [168 146],[65.64597701 55.35402299] ; [170.35402299 143.64597701],0
v1,1,0.635281,0.224967,[65 52] ; [160 142],[62.82816229 54.17183771] ; [162.17183771 139.82816229],0
p11,1,0.667845,0.184133,[99 22] ; [252  63],[97.41055046 23.58944954] ; [253.58944954  61.41055046],0
s4,1,0.676067,0.174587,[28 92] ; [ 67 245],[26.38888889 93.61111111] ; [ 68.61111111 243.38888889],0
p5,1,0.716588,0.131785,[ 17 104] ; [ 40 274],[ 15.85517241 105.14482759] ; [ 41.14482759 272.85517241],0
p6,1,0.730124,0.118998,[51 68] ; [128 184],[49.42227378 69.57772622] ; [129.57772622 182.42227378],0
a3,1,0.760905,0.092594,[90 30] ; [231  83],[88.75576037 31.24423963] ; [232.24423963  81.75576037],0
d2,1,0.775588,0.081267,[60 61] ; [161 154],[61.33256881 59.66743119] ; [159.66743119 155.33256881],0
p8,1,0.799791,0.064322,[68 52] ; [181 131],[69.16666667 50.83333333] ; [179.83333333 132.16666667],0
