Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5e-06,20.812248,[25  4] ; [ 5 17],[17.05882353 11.94117647] ; [12.94117647  9.05882353],1
n3,1,0.010566,6.536905,[6 1] ; [3 9],[3.31578947 3.68421053] ; [5.68421053 6.31578947],0
p10,1,0.01939,5.46599,[26  3] ; [13  8],[22.62  6.38] ; [16.38  4.62],0
p2,1,0.047045,3.943767,[25  4] ; [13  8],[22.04  6.96] ; [15.96  5.04],0
a5,1,0.055607,3.663793,[22  7] ; [11 11],[18.76470588 10.23529412] ; [14.23529412  7.76470588],0
p11,1,0.059063,3.563491,[23  6] ; [12 10],[19.90196078  9.09803922] ; [15.09803922  6.90196078],0
r4,1,0.060683,3.51863,[24  5] ; [13  9],[21.03921569  7.96078431] ; [15.96078431  6.03921569],0
u2,1,0.097961,2.738426,[7 2] ; [5 7],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
p5,1,0.11504,2.48358,[ 8 21] ; [ 2 19],[ 5.8 23.2] ; [ 4.2 16.8],0
a3,1,0.128335,2.312534,[20  9] ; [10 11],[17.4 11.6] ; [12.6  8.4],0
v4,1,0.16327,1.943671,[28  1] ; [18  3],[26.68  2.32] ; [19.32  1.68],0
d2,1,0.169464,1.887681,[ 9 20] ; [11 11],[11.37254902 17.62745098] ; [ 8.62745098 13.37254902],0
s4,1,0.186011,1.748931,[ 8 21] ; [10 12],[10.23529412 18.76470588] ; [ 7.76470588 14.23529412],0
p9,1,0.199913,1.643014,[26  3] ; [16  5],[24.36  4.64] ; [17.64  3.36],0
v3,1,0.207024,1.592119,[ 9 19] ; [ 3 16],[ 7.14893617 20.85106383] ; [ 4.85106383 14.14893617],0
n6,1,0.229817,1.441991,[25  4] ; [16  6],[23.31372549  5.68627451] ; [17.68627451  4.31372549],0
p8,1,0.243345,1.361111,[14 14] ; [ 7 14],[12. 16.] ; [ 9. 12.],0
s6,1,0.254451,1.298701,[24  4] ; [16  6],[22.4  5.6] ; [17.6  4.4],0
d4,1,0.2593,1.27249,[23  6] ; [20  2],[24.45098039  4.54901961] ; [18.54901961  3.45098039],0
r3,1,0.2593,1.27249,[23  6] ; [20  2],[24.45098039  4.54901961] ; [18.54901961  3.45098039],0
s3,1,0.291472,1.112811,[20  9] ; [12 10],[18.19607843 10.80392157] ; [13.80392157  8.19607843],0
d3,1,0.3175,0.999216,[21  8] ; [13  9],[19.33333333  9.66666667] ; [14.66666667  7.33333333],0
