Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.020418,5.375818,[10 14] ; [31 13],[14.47058824  9.52941176] ; [26.52941176 17.47058824],0
p8,1,0.036365,4.379914,[ 6 18] ; [23 22],[10.08695652 13.91304348] ; [18.91304348 26.08695652],0
d3,1,0.073724,3.198099,[10 15] ; [28 17],[13.57142857 11.42857143] ; [24.42857143 20.57142857],0
n6,1,0.079275,3.07971,[13 11] ; [33 11],[16.23529412  7.76470588] ; [29.76470588 14.23529412],0
s3,1,0.087176,2.925772,[10 15] ; [27 17],[13.4057971 11.5942029] ; [23.5942029 20.4057971],0
s4,1,0.139298,2.185697,[ 3 22] ; [12 32],[ 5.43478261 19.56521739] ; [ 9.56521739 34.43478261],0
r2,1,0.14538,2.120072,[24  1] ; [38  7],[22.14285714  2.85714286] ; [39.85714286  5.14285714],0
s2,1,0.16359,1.940724,[ 9 16] ; [23 20],[11.76470588 13.23529412] ; [20.23529412 22.76470588],0
d1,1,0.171263,1.871852,[ 8 17] ; [22 23],[10.71428571 14.28571429] ; [19.28571429 25.71428571],0
d2,1,0.171263,1.871852,[ 8 17] ; [22 23],[10.71428571 14.28571429] ; [19.28571429 25.71428571],0
d5,1,0.173568,1.851852,[15 10] ; [34 11],[17.5  7.5] ; [31.5 13.5],0
s7,1,0.184751,1.758985,[ 6 16] ; [19 24],[ 8.46153846 13.53846154] ; [16.53846154 26.46153846],0
s8,1,0.189555,1.721074,[ 6 18] ; [18 26],[ 8.47058824 15.52941176] ; [15.52941176 28.47058824],0
n5,1,0.201952,1.628199,[10 14] ; [26 19],[12.52173913 11.47826087] ; [23.47826087 21.52173913],0
p1,1,0.212317,1.555556,[ 1 24] ; [ 6 39],[ 2.5 22.5] ; [ 4.5 40.5],0
b4,1,0.227075,1.459087,[13 12] ; [30 15],[15.35714286  9.64285714] ; [27.64285714 17.35714286],0
p7,1,0.232627,1.424727,[17  8] ; [24 21],[14.64285714 10.35714286] ; [26.35714286 18.64285714],0
