Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,74.151608,[42 76] ; [196  45],[78.22841226 39.77158774] ; [159.77158774  81.22841226],1
a5,1,1.7e-05,18.457418,[61 58] ; [179  63],[79.11357341 39.88642659] ; [160.88642659  81.11357341],1
n6,1,0.00069,11.516676,[75 44] ; [192  49],[88.25833333 30.74166667] ; [178.74166667  62.25833333],1
a4,1,0.000832,11.169358,[32 87] ; [108 131],[46.53631285 72.46368715] ; [ 93.46368715 145.53631285],1
a6,1,0.001037,10.760806,[66 53] ; [176  66],[79.77285319 39.22714681] ; [162.22714681  79.77285319],0
n1,1,0.002106,9.454545,[ 9 35] ; [30 30],[16.5 27.5] ; [22.5 37.5],0
a8,1,0.002125,9.438328,[  4 106] ; [ 33 188],[12.29607251 97.70392749] ; [ 24.70392749 196.29607251],0
d2,1,0.005606,7.672897,[38 81] ; [113 126],[50.19273743 68.80726257] ; [100.80726257 138.19273743],0
r2,1,0.009695,6.69008,[95 23] ; [214  23],[102.70985915  15.29014085] ; [206.29014085  30.70985915],0
p3,1,0.015161,5.89764,[31 88] ; [ 94 147],[41.31944444 77.68055556] ; [ 83.68055556 157.31944444],0
p11,1,0.017072,5.689006,[74 45] ; [180  62],[83.72853186 35.27146814] ; [170.27146814  71.72853186],0
d5,1,0.021465,5.288602,[79 40] ; [188  54],[88.01385042 30.98614958] ; [178.98614958  63.01385042],0
b2,1,0.023523,5.129495,[12 44] ; [58 94],[18.84615385 37.15384615] ; [ 51.15384615 100.84615385],0
b3,1,0.023523,5.129495,[12 44] ; [58 94],[18.84615385 37.15384615] ; [ 51.15384615 100.84615385],0
a1,1,0.026892,4.89776,[  1 118] ; [ 14 228],[  4.94459834 114.05540166] ; [ 10.05540166 231.94459834],0
a2,1,0.027249,4.874955,[ 13 106] ; [ 49 193],[20.43767313 98.56232687] ; [ 41.56232687 200.43767313],0
n2,1,0.027949,4.831208,[23 20] ; [46 16],[28.25714286 14.74285714] ; [40.74285714 21.25714286],0
d1,1,0.029366,4.746057,[46 73] ; [123 119],[55.70914127 63.29085873] ; [113.29085873 128.70914127],0
r4,1,0.033203,4.535305,[84 35] ; [195  47],[91.96952909 27.03047091] ; [187.03047091  54.96952909],0
p10,1,0.035224,4.434272,[71 47] ; [171  69],[79.76536313 38.23463687] ; [162.23463687  77.76536313],0
u1,1,0.043785,4.06485,[  7 112] ; [ 31 211],[ 12.52631579 106.47368421] ; [ 25.47368421 216.52631579],0
