Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000505,12.098798,[72 13] ; [11 11],[65.93457944 19.06542056] ; [17.06542056  4.93457944],1
v4,1,0.000572,11.86572,[83  2] ; [17  5],[79.43925234  5.56074766] ; [20.56074766  1.43925234],1
r3,1,0.001302,10.339971,[80  4] ; [16  6],[76.0754717  7.9245283] ; [19.9245283  2.0754717],0
r1,1,0.002707,8.994899,[74 11] ; [13  9],[69.11214953 15.88785047] ; [17.88785047  4.11214953],0
p2,1,0.003314,8.626256,[72 11] ; [13  9],[67.19047619 15.80952381] ; [17.80952381  4.19047619],0
d5,1,0.00601,7.547359,[70 15] ; [12 10],[65.14018692 19.85981308] ; [16.85981308  5.14018692],0
d1,1,0.011835,6.335369,[56 29] ; [ 8 14],[50.8411215 34.1588785] ; [13.1588785  8.8411215],0
p10,1,0.016757,5.721644,[68 14] ; [13  9],[63.86538462 18.13461538] ; [17.13461538  4.86538462],0
n1,1,0.016806,5.716484,[ 2 12] ; [3 1],[ 3.88888889 10.11111111] ; [1.11111111 2.88888889],0
d4,1,0.028661,4.787847,[71 13] ; [14  8],[67.35849057 16.64150943] ; [17.64150943  4.35849057],0
p7,1,0.032992,4.54619,[58 25] ; [10 12],[53.75238095 29.24761905] ; [14.24761905  7.75238095],0
s1,1,0.046681,3.956864,[ 1 83] ; [ 2 20],[ 2.37735849 81.62264151] ; [ 0.62264151 21.37735849],0
d3,1,0.047843,3.915506,[58 27] ; [10 12],[54.01869159 30.98130841] ; [13.98130841  8.01869159],0
n6,1,0.056814,3.628032,[70 15] ; [14  8],[66.72897196 18.27102804] ; [17.27102804  4.72897196],0
r4,1,0.069068,3.305041,[75 10] ; [16  6],[72.28971963 12.71028037] ; [18.71028037  3.28971963],0
b1,1,0.078988,3.085611,[29 56] ; [12 10],[32.57009346 52.42990654] ; [ 8.42990654 13.57009346],0
a3,1,0.080267,3.05948,[68 17] ; [13  8],[64.95283019 20.04716981] ; [16.04716981  4.95283019],0
s8,1,0.085027,2.966088,[32 53] ; [ 4 18],[28.59813084 56.40186916] ; [ 7.40186916 14.59813084],0
a5,1,0.102136,2.671876,[65 20] ; [13  9],[61.96261682 23.03738318] ; [16.03738318  5.96261682],0
u3,1,0.126858,2.330532,[ 6 11] ; [6 3],[7.84615385 9.15384615] ; [4.15384615 4.84615385],0
p8,1,0.170436,1.879105,[47 35] ; [ 9 13],[44.15384615 37.84615385] ; [11.84615385 10.15384615],0
p1,1,0.186823,1.742492,[10 75] ; [ 5 17],[11.91588785 73.08411215] ; [ 3.08411215 18.91588785],0
a4,1,0.199218,1.648097,[40 45] ; [ 7 15],[37.3364486 47.6635514] ; [ 9.6635514 12.3364486],0
