Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1.2e-05,19.096807,[49  4] ; [17 16],[40.6744186 12.3255814] ; [25.3255814  7.6744186],1
p10,1,1.4e-05,18.906337,[50  3] ; [17 14],[42.27380952 10.72619048] ; [24.72619048  6.27380952],1
b1,1,3.9e-05,16.928907,[16 37] ; [25  8],[25.26744186 27.73255814] ; [15.73255814 17.26744186],1
r2,1,4.4e-05,16.691884,[50  3] ; [18 13],[42.9047619 10.0952381] ; [25.0952381  5.9047619],1
r3,1,4.9e-05,16.496764,[51  2] ; [20 12],[44.27058824  8.72941176] ; [26.72941176  5.27058824],1
v4,1,9.3e-05,15.269589,[52  1] ; [22 10],[46.14117647  6.85882353] ; [27.85882353  4.14117647],1
b4,1,0.002315,9.281594,[37 16] ; [12 21],[30.19767442 22.80232558] ; [18.80232558 14.19767442],0
v3,1,0.00327,8.650481,[29 22] ; [ 8 25],[22.46428571 28.53571429] ; [14.53571429 18.46428571],0
n4,1,0.003635,8.45753,[43 10] ; [17 16],[36.97674419 16.02325581] ; [23.02325581  9.97674419],0
s6,1,0.003999,8.284091,[38 10] ; [16 17],[32. 16.] ; [22. 11.],0
n5,1,0.009535,6.719861,[44  9] ; [19 14],[38.8255814 14.1744186] ; [24.1744186  8.8255814],0
p9,1,0.013015,6.167095,[49  4] ; [24  9],[44.98837209  8.01162791] ; [28.01162791  4.98837209],0
p2,1,0.018303,5.566945,[45  8] ; [20 12],[40.52941176 12.47058824] ; [24.47058824  7.52941176],0
a7,1,0.03033,4.690477,[38 15] ; [16 17],[33.27906977 19.72093023] ; [20.72093023 12.27906977],0
p11,1,0.036502,4.3735,[43 10] ; [20 13],[38.8255814 14.1744186] ; [24.1744186  8.8255814],0
s3,1,0.03866,4.275735,[33 20] ; [13 20],[28.34883721 24.65116279] ; [17.65116279 15.34883721],0
d5,1,0.041887,4.139762,[44  9] ; [21 12],[40.05813953 12.94186047] ; [24.94186047  8.05813953],0
s1,1,0.048572,3.89009,[ 1 52] ; [ 4 29],[ 3.08139535 49.91860465] ; [ 1.91860465 31.08139535],0
s5,1,0.0489,3.878788,[19 29] ; [ 6 26],[15. 33.] ; [10. 22.],0
s8,1,0.072015,3.236487,[23 30] ; [ 8 25],[19.10465116 33.89534884] ; [11.89534884 21.10465116],0
p8,1,0.082267,3.019527,[28 24] ; [11 21],[24.14285714 27.85714286] ; [14.85714286 17.14285714],0
p6,1,0.08345,2.996393,[22 30] ; [ 7 23],[18.3902439 33.6097561] ; [10.6097561 19.3902439],0
s2,1,0.084914,2.968244,[31 22] ; [13 20],[27.11627907 25.88372093] ; [16.88372093 16.11627907],0
p3,1,0.089681,2.880097,[34 19] ; [14 17],[30.28571429 22.71428571] ; [17.71428571 13.28571429],0
d1,1,0.186592,1.744322,[27 26] ; [12 21],[24.03488372 28.96511628] ; [14.96511628 18.03488372],0
v2,1,0.191467,1.706296,[35 16] ; [18 15],[32.17857143 18.82142857] ; [20.82142857 12.17857143],0
u3,1,0.197156,1.663316,[10 12] ; [7 3],[11.6875 10.3125] ; [5.3125 4.6875],0
p4,1,0.199014,1.649596,[34 19] ; [16 16],[31.17647059 21.82352941] ; [18.82352941 13.17647059],0
n2,1,0.199482,1.646161,[7 4] ; [12  2],[8.36 2.64] ; [10.64  3.36],0
b5,1,0.211943,1.558105,[36 17] ; [18 15],[33.27906977 19.72093023] ; [20.72093023 12.27906977],0
p5,1,0.218366,1.515077,[10 43] ; [ 3 30],[ 8.01162791 44.98837209] ; [ 4.98837209 28.01162791],0
d4,1,0.222212,1.490029,[43 10] ; [23 10],[40.6744186 12.3255814] ; [25.3255814  7.6744186],0
s4,1,0.222781,1.486368,[12 41] ; [ 4 29],[ 9.86046512 43.13953488] ; [ 6.13953488 26.86046512],0
p7,1,0.236817,1.399441,[32 20] ; [16 17],[29.36470588 22.63529412] ; [18.63529412 14.36470588],0
s7,1,0.262682,1.254569,[23 26] ; [11 21],[20.56790123 28.43209877] ; [13.43209877 18.56790123],0
a3,1,0.295776,1.093143,[31 22] ; [23 10],[33.27906977 19.72093023] ; [20.72093023 12.27906977],0
a1,1,0.30549,1.050073,[ 2 51] ; [ 3 30],[ 3.08139535 49.91860465] ; [ 1.91860465 31.08139535],0
u1,1,0.384044,0.757718,[ 4 49] ; [ 1 32],[ 3.08139535 49.91860465] ; [ 1.91860465 31.08139535],0
p12,1,0.401181,0.704783,[ 4 49] ; [ 1 31],[ 3.11764706 49.88235294] ; [ 1.88235294 30.11764706],0
a5,1,0.419545,0.65159,[32 21] ; [17 16],[30.19767442 22.80232558] ; [18.80232558 14.19767442],0
b2,1,0.450788,0.56867,[13 21] ; [ 5 13],[11.76923077 22.23076923] ; [ 6.23076923 11.76923077],0
b3,1,0.450788,0.56867,[13 21] ; [ 5 13],[11.76923077 22.23076923] ; [ 6.23076923 11.76923077],0
n1,1,0.495354,0.464876,[4 7] ; [7 7],[4.84 6.16] ; [6.16 7.84],0
u2,1,0.609473,0.260943,[12 10] ; [4 5],[11.35483871 10.64516129] ; [4.64516129 4.35483871],0
a6,1,0.620464,0.245216,[26 27] ; [18 15],[27.11627907 25.88372093] ; [16.88372093 16.11627907],0
n3,1,0.621685,0.243506,[6 5] ; [9 5],[6.6 4.4] ; [8.4 5.6],0
d2,1,0.679235,0.170988,[20 33] ; [11 22],[19.10465116 33.89534884] ; [11.89534884 21.10465116],0
a2,1,0.692179,0.156737,[ 5 48] ; [ 4 29],[ 5.54651163 47.45348837] ; [ 3.45348837 29.54651163],0
d3,1,0.797043,0.06614,[32 21] ; [19 14],[31.43023256 21.56976744] ; [19.56976744 13.43023256],0
a4,1,0.95216,0.003599,[18 35] ; [11 22],[17.87209302 35.12790698] ; [11.12790698 21.87209302],0
p1,1,0.957524,0.002837,[ 5 48] ; [ 3 30],[ 4.93023256 48.06976744] ; [ 3.06976744 29.93023256],0
