Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.4e-05,17.15904,[362  21] ; [7 4],[358.69796954  24.30203046] ; [10.30203046  0.69796954],1
r1,1,0.000425,12.42009,[324  57] ; [5 6],[319.76785714  61.23214286] ; [9.23214286 1.76785714],1
r2,1,0.001104,10.644328,[361  18] ; [8 3],[358.59230769  20.40769231] ; [10.40769231  0.59230769],0
n3,1,0.014382,5.99062,[50 19] ; [1 4],[47.55405405 21.44594595] ; [3.44594595 1.55405405],0
v4,1,0.016307,5.769456,[368  14] ; [9 2],[366.44783715  15.55216285] ; [10.55216285  0.44783715],0
a7,1,0.030186,4.698654,[285  97] ; [5 6],[281.88295165 100.11704835] ; [8.11704835 2.88295165],0
s3,1,0.084302,2.97994,[264 114] ; [5 6],[261.3933162 116.6066838] ; [7.6066838 3.3933162],0
p11,1,0.153598,2.03615,[310  73] ; [7 4],[308.14974619  74.85025381] ; [8.85025381 2.14974619],0
p7,1,0.16364,1.940266,[277 100] ; [6 5],[274.97680412 102.02319588] ; [8.02319588 2.97680412],0
a2,1,0.176631,1.825749,[105 278] ; [ 1 10],[103.04060914 279.95939086] ; [2.95939086 8.04060914],0
s7,1,0.184303,1.762577,[235 127] ; [5 6],[232.92225201 129.07774799] ; [7.07774799 3.92225201],0
d5,1,0.197927,1.657604,[330  52] ; [8 3],[328.5394402  53.4605598] ; [9.4605598 1.5394402],0
v2,1,0.222369,1.489016,[221 152] ; [4 6],[219.12532637 153.87467363] ; [5.87467363 4.12532637],0
s5,1,0.225405,1.469621,[168 204] ; [7 4],[169.97389034 202.02610966] ; [5.02610966 5.97389034],0
u1,1,0.270507,1.214175,[ 89 294] ; [ 1 10],[ 87.48730964 295.51269036] ; [2.51269036 8.48730964],0
p6,1,0.2988,1.079542,[198 181] ; [4 7],[196.3025641 182.6974359] ; [5.6974359 5.3025641],0
p3,1,0.311146,1.025804,[264 119] ; [6 5],[262.46192893 120.53807107] ; [7.53807107 3.46192893],0
s1,1,0.321187,0.984105,[ 13 365] ; [ 1 10],[ 13.60411311 364.39588689] ; [ 0.39588689 10.60411311],0
v1,1,0.330726,0.946055,[224 149] ; [5 6],[222.44010417 150.55989583] ; [6.55989583 4.44010417],0
b5,1,0.358584,0.842845,[227 156] ; [5 6],[225.52284264 157.47715736] ; [6.47715736 4.52284264],0
p1,1,0.377366,0.779266,[ 38 342] ; [2 9],[ 38.87468031 341.12531969] ; [1.12531969 9.87468031],0
d1,1,0.394318,0.725586,[256 127] ; [6 5],[254.68527919 128.31472081] ; [7.31472081 3.68527919],0
p2,1,0.395908,0.720719,[342  39] ; [9 2],[341.1505102  39.8494898] ; [9.8494898 1.1505102],0
p12,1,0.476987,0.505744,[ 43 339] ; [2 9],[ 43.74045802 338.25954198] ; [1.25954198 9.74045802],0
b3,1,0.481802,0.494782,[ 90 152] ; [2 6],[ 89.056 152.944] ; [2.944 5.056],0
b2,1,0.481802,0.494782,[ 90 152] ; [2 6],[ 89.056 152.944] ; [2.944 5.056],0
p8,1,0.50508,0.444247,[239 141] ; [8 3],[240.0511509 139.9488491] ; [6.9488491 4.0511509],0
d2,1,0.535038,0.384814,[207 175] ; [7 4],[208.01017812 173.98982188] ; [5.98982188 5.01017812],0
n2,1,0.58764,0.294046,[50 20] ; [3 2],[49.46666667 20.53333333] ; [3.53333333 1.46666667],0
v3,1,0.589027,0.291867,[153 216] ; [5 5],[153.83113456 215.16886544] ; [4.16886544 5.83113456],0
p10,1,0.643212,0.214566,[326  53] ; [10  1],[326.52307692  52.47692308] ; [9.47692308 1.52307692],0
d4,1,0.664301,0.188341,[330  52] ; [9 2],[329.51145038  52.48854962] ; [9.48854962 1.51145038],0
b1,1,0.700057,0.148412,[152 231] ; [5 6],[152.61675127 230.38324873] ; [4.38324873 6.61675127],0
a1,1,0.704768,0.14356,[ 24 359] ; [ 1 10],[ 24.30203046 358.69796954] ; [ 0.69796954 10.30203046],0
a6,1,0.707992,0.140291,[258 125] ; [8 3],[258.57360406 124.42639594] ; [7.42639594 3.57360406],0
s2,1,0.732167,0.117131,[261 120] ; [7 4],[260.47959184 120.52040816] ; [7.52040816 3.47959184],0
n6,1,0.746176,0.104772,[334  47] ; [10  1],[334.34693878  46.65306122] ; [9.65306122 1.34693878],0
s8,1,0.777927,0.079536,[224 157] ; [6 5],[223.54591837 157.45408163] ; [6.45408163 4.54591837],0
b4,1,0.784319,0.074909,[228 155] ; [7 4],[228.43908629 154.56091371] ; [6.56091371 4.43908629],0
d3,1,0.78753,0.072641,[292  91] ; [8 3],[291.62436548  91.37563452] ; [8.37563452 2.62436548],0
s4,1,0.811071,0.057142,[ 80 298] ; [2 9],[ 79.68123393 298.31876607] ; [2.31876607 8.68123393],0
a5,1,0.811938,0.056609,[302  81] ; [9 2],[302.31725888  80.68274112] ; [8.68274112 2.31725888],0
a4,1,0.839179,0.041186,[185 196] ; [5 6],[184.66836735 196.33163265] ; [5.33163265 5.66836735],0
p9,1,0.839745,0.040893,[339  42] ; [10  1],[339.20663265  41.79336735] ; [9.79336735 1.20663265],0
n1,1,0.950029,0.003928,[29 41] ; [2 3],[28.93333333 41.06666667] ; [2.06666667 2.93333333],0
a3,1,0.977659,0.000784,[280 103] ; [8 3],[279.95939086 103.04060914] ; [8.04060914 2.95939086],0
u3,1,0.990348,0.000146,[67 33] ; [2 1],[66.99029126 33.00970874] ; [2.00970874 0.99029126],0
n4,1,0.991931,0.000102,[313  69] ; [9 2],[312.98727735  69.01272265] ; [9.01272265 1.98727735],0
n5,1,0.995151,3.7e-05,[312  69] ; [9 2],[311.99234694  69.00765306] ; [9.00765306 1.99234694],0
p5,1,0.995151,3.7e-05,[ 69 312] ; [2 9],[ 69.00765306 311.99234694] ; [1.99234694 9.00765306],0
