Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.002545,9.108263,[16 43] ; [16 10],[22.21176471 36.78823529] ; [ 9.78823529 16.21176471],0
s2,1,0.00419,8.199747,[35 27] ; [ 6 20],[28.88636364 33.11363636] ; [12.11363636 13.88636364],0
v2,1,0.009509,6.724646,[25 32] ; [20  7],[30.53571429 26.46428571] ; [14.46428571 12.53571429],0
s3,1,0.035219,4.434548,[39 23] ; [10 16],[34.52272727 27.47727273] ; [14.47727273 11.52272727],0
b5,1,0.068271,3.324106,[41 22] ; [12 15],[37.1 25.9] ; [15.9 11.1],0
p6,1,0.098648,2.727273,[28 35] ; [ 7 20],[24.5 38.5] ; [10.5 16.5],0
n1,1,0.136641,2.215385,[ 3 10] ; [3 2],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
a6,1,0.138949,2.189565,[43 20] ; [14 13],[39.9 23.1] ; [17.1  9.9],0
d1,1,0.143235,2.142857,[39 24] ; [21  6],[42. 21.] ; [18.  9.],0
a1,1,0.158669,1.986864,[ 1 62] ; [ 2 25],[ 2.1 60.9] ; [ 0.9 26.1],0
n4,1,0.164039,1.936593,[45 18] ; [23  4],[47.6 15.4] ; [20.4  6.6],0
a3,1,0.166281,1.916154,[37 26] ; [20  7],[39.9 23.1] ; [17.1  9.9],0
d5,1,0.169415,1.888112,[56  7] ; [21  6],[53.9  9.1] ; [23.1  3.9],0
v1,1,0.170383,1.879572,[30 29] ; [18  9],[32.93023256 26.06976744] ; [15.06976744 11.93023256],0
b3,1,0.242647,1.365152,[13 25] ; [10 10],[15.06896552 22.93103448] ; [ 7.93103448 12.06896552],0
b2,1,0.242647,1.365152,[13 25] ; [10 10],[15.06896552 22.93103448] ; [ 7.93103448 12.06896552],0
r1,1,0.265615,1.239252,[49 13] ; [24  3],[50.85393258 11.14606742] ; [22.14606742  4.85393258],0
p11,1,0.278958,1.172161,[53 10] ; [25  2],[54.6  8.4] ; [23.4  3.6],0
a7,1,0.28676,1.13477,[48 14] ; [18  9],[45.97752809 16.02247191] ; [20.02247191  6.97752809],0
a5,1,0.316348,1.003986,[45 18] ; [22  5],[46.9 16.1] ; [20.1  6.9],0
s5,1,0.320763,0.985833,[19 41] ; [ 5 19],[17.14285714 42.85714286] ; [ 6.85714286 17.14285714],0
s4,1,0.354539,0.857143,[12 51] ; [ 3 24],[10.5 52.5] ; [ 4.5 22.5],0
p5,1,0.371889,0.797342,[ 2 61] ; [ 2 25],[ 2.8 60.2] ; [ 1.2 25.8],0
u2,1,0.37471,0.787986,[16 10] ; [3 4],[14.96969697 11.03030303] ; [4.03030303 2.96969697],0
n5,1,0.384375,0.756662,[40 23] ; [19  7],[41.76404494 21.23595506] ; [17.23595506  8.76404494],0
a2,1,0.420776,0.648148,[14 49] ; [ 4 23],[12.6 50.4] ; [ 5.4 21.6],0
d4,1,0.420776,0.648148,[49 14] ; [23  4],[50.4 12.6] ; [21.6  5.4],0
p10,1,0.470315,0.521236,[53 10] ; [21  6],[51.8 11.2] ; [22.2  4.8],0
a4,1,0.514403,0.425101,[28 35] ; [10 17],[26.6 36.4] ; [11.4 15.6],0
p2,1,0.555932,0.346796,[53 10] ; [24  3],[53.9  9.1] ; [23.1  3.9],0
n6,1,0.580069,0.306122,[48 15] ; [22  5],[49. 14.] ; [21.  6.],0
a8,1,0.585989,0.296652,[10 50] ; [ 3 22],[ 9.17647059 50.82352941] ; [ 3.82352941 21.17647059],0
d2,1,0.607085,0.264442,[36 27] ; [17 10],[37.1 25.9] ; [15.9 11.1],0
p9,1,0.611644,0.257787,[54  9] ; [22  5],[53.2  9.8] ; [22.8  4.2],0
r4,1,0.6156,0.252101,[60  3] ; [25  2],[59.5  3.5] ; [25.5  1.5],0
v4,1,0.6156,0.252101,[59  4] ; [26  1],[59.5  3.5] ; [25.5  1.5],0
p3,1,0.643429,0.214286,[36 27] ; [14 13],[35. 28.] ; [15. 12.],0
u1,1,0.684743,0.164835,[ 9 54] ; [ 3 24],[ 8.4 54.6] ; [ 3.6 23.4],0
p7,1,0.694209,0.154567,[38 23] ; [18  9],[38.81818182 22.18181818] ; [17.18181818  9.81818182],0
p4,1,0.70428,0.144058,[40 23] ; [16 11],[39.2 23.8] ; [16.8 10.2],0
b4,1,0.773102,0.083128,[40 23] ; [18  9],[40.6 22.4] ; [17.4  9.6],0
d3,1,0.773102,0.083128,[40 23] ; [18  9],[40.6 22.4] ; [17.4  9.6],0
b1,1,0.779917,0.07808,[26 37] ; [12 15],[26.6 36.4] ; [11.4 15.6],0
p8,1,0.805549,0.060601,[35 27] ; [16 11],[35.52808989 26.47191011] ; [15.47191011 11.52808989],0
u3,1,0.832682,0.044632,[16 10] ; [4 3],[15.75757576 10.24242424] ; [4.24242424 2.75757576],0
s1,1,0.857866,0.032074,[ 2 60] ; [ 1 24],[ 2.13793103 59.86206897] ; [ 0.86206897 24.13793103],0
r3,1,0.898037,0.01642,[61  2] ; [26  1],[60.9  2.1] ; [26.1  0.9],0
n2,1,0.911008,0.012492,[9 4] ; [4 2],[8.89473684 4.10526316] ; [4.10526316 1.89473684],0
r2,1,0.915689,0.011207,[57  5] ; [25  2],[57.12359551  4.87640449] ; [24.87640449  2.12359551],0
p12,1,0.931557,0.007376,[ 5 58] ; [ 2 25],[ 4.9 58.1] ; [ 2.1 24.9],0
n3,1,0.95218,0.003596,[8 5] ; [3 2],[7.94444444 5.05555556] ; [3.05555556 1.94444444],0
