Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,105.763242,[ 9 38] ; [310  53],[36.56829268 10.43170732] ; [282.43170732  80.56829268],1
v4,1,0.0,58.771931,[25 22] ; [332  28],[41.22604423  5.77395577] ; [315.77395577  44.22604423],1
r1,1,0.0,44.183407,[13 34] ; [271  90],[32.71568627 14.28431373] ; [251.28431373 109.71568627],1
r3,1,0.0,33.616142,[28 18] ; [329  33],[40.25  5.75] ; [316.75  45.25],1
p10,1,8.8e-05,15.372606,[19 27] ; [252 107],[30.78024691 15.21975309] ; [240.21975309 118.78024691],1
a7,1,0.000132,14.607212,[21 26] ; [261 101],[32.40586797 14.59413203] ; [249.59413203 112.40586797],1
b1,1,0.000239,13.494777,[29 18] ; [124 239],[17.53902439 29.46097561] ; [135.46097561 227.53902439],1
a6,1,0.000428,12.405695,[20 27] ; [248 114],[30.79706601 16.20293399] ; [237.20293399 124.79706601],1
d5,1,0.001065,10.710182,[25 22] ; [274  88],[34.3594132 12.6405868] ; [264.6405868  97.3594132],0
u3,1,0.00178,9.763876,[ 4 19] ; [73 66],[10.93209877 12.06790123] ; [66.06790123 72.93209877],0
p2,1,0.002667,9.022468,[25 22] ; [267  93],[33.71990172 13.28009828] ; [258.28009828 101.71990172],0
p11,1,0.004043,8.264368,[24 23] ; [260 103],[32.55609756 14.44390244] ; [251.44390244 111.55609756],0
d1,1,0.007039,7.262994,[13 34] ; [176 187],[21.66585366 25.33414634] ; [167.33414634 195.66585366],0
p9,1,0.007072,7.254599,[24 21] ; [259  97],[31.75810474 13.24189526] ; [251.24189526 104.75810474],0
v3,1,0.008579,6.908464,[ 6 41] ; [109 239],[13.6835443 33.3164557] ; [101.3164557 246.6835443],0
p5,1,0.010272,6.587119,[ 6 40] ; [ 15 346],[ 2.37346437 43.62653563] ; [ 18.62653563 342.37346437],0
n6,1,0.01034,6.575401,[27 19] ; [276  86],[34.16176471 11.83823529] ; [268.83823529  93.16176471],0
d3,1,0.017459,5.649586,[22 25] ; [234 128],[29.41809291 17.58190709] ; [226.58190709 135.41809291],0
a5,1,0.0187,5.529323,[23 24] ; [241 122],[30.26341463 16.73658537] ; [233.73658537 129.26341463],0
s3,1,0.021944,5.250233,[11 35] ; [148 209],[18.14888337 27.85111663] ; [140.85111663 216.14888337],0
p8,1,0.031792,4.609676,[10 36] ; [136 223],[16.58271605 29.41728395] ; [129.41728395 229.58271605],0
