Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.4e-05,17.865352,[19 39] ; [62 29],[31.53020134 26.46979866] ; [49.46979866 41.53020134],1
n4,1,0.001008,10.812861,[28 30] ; [68 23],[37.36912752 20.63087248] ; [58.63087248 32.36912752],0
v4,1,0.001419,10.180547,[37 19] ; [80 11],[44.57142857 11.42857143] ; [72.42857143 18.57142857],0
p11,1,0.008093,7.012802,[19 39] ; [50 41],[26.8590604 31.1409396] ; [42.1409396 48.8590604],0
s6,1,0.012957,6.174946,[15 43] ; [42 49],[22.18791946 35.81208054] ; [34.81208054 56.18791946],0
b5,1,0.019435,5.461923,[25 33] ; [57 34],[31.91946309 26.08053691] ; [50.08053691 40.91946309],0
r4,1,0.023163,5.156245,[33 25] ; [68 23],[39.31543624 18.68456376] ; [61.68456376 29.31543624],0
r3,1,0.02332,5.144476,[40 18] ; [77 14],[45.54362416 12.45637584] ; [71.45637584 19.54362416],0
s8,1,0.068112,3.327938,[ 6 52] ; [20 71],[10.12080537 47.87919463] ; [15.87919463 75.12080537],0
p4,1,0.070977,3.260291,[16 42] ; [38 52],[21.16216216 36.83783784] ; [32.83783784 57.16216216],0
s7,1,0.075895,3.150697,[ 8 42] ; [26 62],[12.31884058 37.68115942] ; [21.68115942 66.31884058],0
a4,1,0.077526,3.116012,[23 35] ; [23 66],[18.14965986 39.85034014] ; [27.85034014 61.14965986],0
r2,1,0.082145,3.021943,[43 14] ; [78 12],[46.91836735 10.08163265] ; [74.08163265 15.91836735],0
v3,1,0.083651,2.992495,[11 44] ; [30 60],[15.55172414 39.44827586] ; [25.44827586 64.55172414],0
u1,1,0.112907,2.513052,[ 3 55] ; [12 79],[ 5.83892617 52.16107383] ; [ 9.16107383 81.83892617],0
p2,1,0.126476,2.335234,[27 31] ; [54 37],[31.53020134 26.46979866] ; [49.46979866 41.53020134],0
a7,1,0.144989,2.124196,[32 26] ; [61 30],[36.20134228 21.79865772] ; [56.79865772 34.20134228],0
s1,1,0.162694,1.949008,[ 6 52] ; [ 4 86],[ 3.91891892 54.08108108] ; [ 6.08108108 83.91891892],0
n2,1,0.172386,1.862069,[12 15] ; [17 10],[14.5 12.5] ; [14.5 12.5],0
p6,1,0.186024,1.748828,[ 7 49] ; [19 71],[ 9.97260274 46.02739726] ; [16.02739726 73.97260274],0
p7,1,0.215367,1.534976,[22 36] ; [43 46],[25.6462585 32.3537415] ; [39.3537415 49.6462585],0
d1,1,0.230765,1.436139,[21 37] ; [42 49],[24.52348993 33.47651007] ; [38.47651007 52.52348993],0
a6,1,0.230765,1.436139,[37 21] ; [49 42],[33.47651007 24.52348993] ; [52.52348993 38.47651007],0
v1,1,0.233461,1.419652,[15 43] ; [32 59],[18.29530201 39.70469799] ; [28.70469799 62.29530201],0
p10,1,0.23552,1.40721,[10 48] ; [23 67],[12.93243243 45.06756757] ; [20.06756757 69.93243243],0
a5,1,0.241821,1.369948,[35 23] ; [46 45],[31.53020134 26.46979866] ; [49.46979866 41.53020134],0
u2,1,0.266745,1.233411,[14 10] ; [19 24],[11.82089552 12.17910448] ; [21.17910448 21.82089552],0
v2,1,0.276851,1.182484,[18 38] ; [37 53],[21.09589041 34.90410959] ; [33.90410959 56.09589041],0
a3,1,0.341315,0.905486,[34 23] ; [47 44],[31.19594595 25.80405405] ; [49.80405405 41.19594595],0
d3,1,0.36067,0.835558,[30 28] ; [54 37],[32.69798658 25.30201342] ; [51.30201342 39.69798658],0
r1,1,0.36349,0.825799,[38 20] ; [66 25],[40.48322148 17.51677852] ; [63.51677852 27.48322148],0
s2,1,0.384394,0.756604,[15 43] ; [29 60],[17.36054422 40.63945578] ; [26.63945578 62.36054422],0
p8,1,0.392005,0.732713,[15 42] ; [30 61],[17.33108108 39.66891892] ; [27.66891892 63.33108108],0
s3,1,0.463576,0.537248,[25 32] ; [34 56],[22.87755102 34.12244898] ; [36.12244898 53.87755102],0
n1,1,0.487054,0.483027,[ 7 19] ; [10 18],[ 8.18518519 17.81481481] ; [ 8.81481481 19.18518519],0
d4,1,0.490873,0.474612,[37 20] ; [64 27],[38.89864865 18.10135135] ; [62.10135135 28.89864865],0
a2,1,0.496356,0.46272,[10 48] ; [12 79],[ 8.56375839 49.43624161] ; [13.43624161 77.56375839],0
a8,1,0.496627,0.462136,[ 3 52] ; [ 7 75],[ 4.01459854 50.98540146] ; [ 5.98540146 76.01459854],0
n3,1,0.554464,0.349381,[15 10] ; [14 13],[13.94230769 11.05769231] ; [15.05769231 11.94230769],0
p3,1,0.629967,0.232105,[15 42] ; [27 63],[16.28571429 40.71428571] ; [25.71428571 64.28571429],0
u3,1,0.631558,0.229954,[14 10] ; [23 21],[13.05882353 10.94117647] ; [23.94117647 20.05882353],0
b1,1,0.715145,0.133193,[33 25] ; [49 42],[31.91946309 26.08053691] ; [50.08053691 40.91946309],0
d5,1,0.740465,0.109718,[38 20] ; [62 29],[38.9261745 19.0738255] ; [61.0738255 29.9261745],0
d2,1,0.754795,0.097546,[26 32] ; [38 52],[25.08108108 32.91891892] ; [38.91891892 51.08108108],0
b2,1,0.853882,0.033917,[12 24] ; [17 37],[11.6 24.4] ; [17.4 36.6],0
b3,1,0.853882,0.033917,[12 24] ; [17 37],[11.6 24.4] ; [17.4 36.6],0
p1,1,0.878955,0.023194,[ 4 53] ; [ 7 84],[ 4.23648649 52.76351351] ; [ 6.76351351 84.23648649],0
s4,1,0.91173,0.012289,[ 8 50] ; [13 77],[ 8.22972973 49.77027027] ; [12.77027027 77.22972973],0
b4,1,0.930557,0.007594,[34 24] ; [54 37],[34.25503356 23.74496644] ; [53.74496644 37.25503356],0
a1,1,0.942518,0.005199,[ 4 54] ; [ 6 85],[ 3.89261745 54.10738255] ; [ 6.10738255 84.89261745],0
