Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,181.02375,[496  78] ; [ 55 105],[430.89100817 143.10899183] ; [120.10899183  39.89100817],1
n6,1,0.0,35.647545,[514  61] ; [112  47],[490.39509537  84.60490463] ; [135.60490463  23.39509537],1
a5,1,0.0,28.608249,[451 126] ; [92 69],[424.54065041 152.45934959] ; [118.45934959  42.54065041],1
s7,1,0.0,26.19883,[302 247] ; [ 50 107],[273.7223796 275.2776204] ; [78.2776204 78.7223796],1
p4,1,0.0,25.731632,[393 182] ; [75 86],[365.625 209.375] ; [102.375  58.625],1
a4,1,1e-06,23.302067,[280 295] ; [ 44 117],[253.125 321.875] ; [70.875 90.125],1
a3,1,7e-06,20.326308,[435 140] ; [92 68],[412.27891156 162.72108844] ; [114.72108844  45.27891156],1
d2,1,1.7e-05,18.517647,[300 276] ; [ 53 108],[275.88602442 300.11397558] ; [77.11397558 83.88602442],1
v3,1,3.8e-05,16.987919,[245 316] ; [ 39 115],[222.83076923 338.16923077] ; [61.16923077 92.83076923],1
p6,1,5.8e-05,16.153333,[244 324] ; [ 40 118],[222.19283747 345.80716253] ; [61.80716253 96.19283747],1
v1,1,6.6e-05,15.930664,[335 227] ; [65 91],[313.09192201 248.90807799] ; [86.90807799 69.09192201],1
d5,1,8.1e-05,15.526074,[494  82] ; [116  44],[477.39130435  98.60869565] ; [132.60869565  27.39130435],1
p10,1,0.000145,14.437286,[493  78] ; [118  42],[477.26538988  93.73461012] ; [133.73461012  26.26538988],1
a2,1,0.000274,13.237331,[155 422] ; [ 21 140],[137.60433604 439.39566396] ; [ 38.39566396 122.60433604],1
p3,1,0.00052,12.04099,[318 258] ; [64 97],[298.55088195 277.44911805] ; [83.44911805 77.55088195],1
a8,1,0.000793,11.25712,[ 88 428] ; [  9 140],[ 75.26616541 440.73383459] ; [ 21.73383459 127.26616541],1
s4,1,0.001323,10.310067,[ 78 491] ; [ 39 122],[ 91.19589041 477.80410959] ; [ 25.80410959 135.19589041],0
r1,1,0.001737,9.808366,[482  92] ; [117  43],[468.42779292 105.57220708] ; [130.57220708  29.42779292],0
r4,1,0.002251,9.332538,[543  34] ; [140  21],[533.99864499  43.00135501] ; [149.00135501  11.99864499],0
p5,1,0.002315,9.281651,[ 79 496] ; [  8 153],[ 67.96875 507.03125] ; [ 19.03125 141.96875],0
p11,1,0.003158,8.71363,[485  92] ; [119  42],[472.23306233 104.76693767] ; [131.76693767  29.23306233],0
s8,1,0.0035,8.526463,[274 300] ; [ 56 105],[257.71428571 316.28571429] ; [72.28571429 88.71428571],0
d1,1,0.004769,7.965109,[358 219] ; [80 81],[342.44715447 234.55284553] ; [95.55284553 65.44715447],0
u1,1,0.012038,6.305315,[114 463] ; [ 18 143],[103.20325203 473.79674797] ; [ 28.79674797 132.20325203],0
p8,1,0.013274,6.132232,[338 228] ; [78 82],[324.31955923 241.68044077] ; [91.68044077 68.31955923],0
p12,1,0.014214,6.011395,[ 51 521] ; [  5 156],[ 43.69986357 528.30013643] ; [ 12.30013643 148.69986357],0
n1,1,0.027164,4.880377,[38 57] ; [12 42],[31.87919463 63.12080537] ; [18.12080537 35.87919463],0
r2,1,0.046082,3.978593,[546  24] ; [147  13],[541.10958904  28.89041096] ; [151.89041096   8.10958904],0
p9,1,0.048166,3.904187,[504  66] ; [132  28],[496.60273973  73.39726027] ; [139.39726027  20.60273973],0
v2,1,0.050934,3.810426,[330 228] ; [77 76],[319.41772152 238.58227848] ; [87.58227848 65.41772152],0
a7,1,0.063051,3.455244,[419 157] ; [128  32],[428.08695652 147.91304348] ; [118.91304348  41.08695652],0
s6,1,0.072608,3.223052,[394 169] ; [100  60],[384.67773167 178.32226833] ; [109.32226833  50.67773167],0
