Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4.5e-05,16.628299,[29  1] ; [3 5],[25.26315789  4.73684211] ; [6.73684211 1.26315789],1
p9,1,0.000213,13.714286,[25  3] ; [2 6],[21.  7.] ; [6. 2.],1
r3,1,0.000522,12.037172,[29  1] ; [4 4],[26.05263158  3.94736842] ; [6.94736842 1.05263158],1
r1,1,0.002943,8.842308,[24  6] ; [2 6],[20.52631579  9.47368421] ; [5.47368421 2.52631579],0
s6,1,0.013284,6.130894,[25  3] ; [4 4],[22.55555556  5.44444444] ; [6.44444444 1.55555556],0
n2,1,0.016986,5.697846,[10  2] ; [2 5],[7.57894737 4.42105263] ; [4.42105263 2.57894737],0
s1,1,0.024988,5.024704,[ 2 27] ; [3 5],[ 3.91891892 25.08108108] ; [1.08108108 6.91891892],0
p10,1,0.040166,4.210876,[22  7] ; [3 5],[19.59459459  9.40540541] ; [5.40540541 2.59459459],0
s8,1,0.05629,3.643466,[15 15] ; [1 7],[12.63157895 17.36842105] ; [3.36842105 4.63157895],0
b1,1,0.078132,3.103333,[12 18] ; [6 2],[14.21052632 15.78947368] ; [3.78947368 4.21052632],0
p11,1,0.078132,3.103333,[18 12] ; [2 6],[15.78947368 14.21052632] ; [4.21052632 3.78947368],0
a6,1,0.078974,3.085894,[14 16] ; [1 7],[11.84210526 18.15789474] ; [3.15789474 4.84210526],0
a5,1,0.090415,2.866964,[21  9] ; [3 5],[18.94736842 11.05263158] ; [5.05263158 2.94736842],0
d2,1,0.111465,2.533333,[13 17] ; [6 2],[15. 15.] ; [4. 4.],0
n6,1,0.117186,2.454531,[26  4] ; [5 3],[24.47368421  5.52631579] ; [6.52631579 1.47368421],0
s2,1,0.120347,2.412801,[19  9] ; [3 5],[17.11111111 10.88888889] ; [4.88888889 3.11111111],0
p4,1,0.191355,1.707158,[11 19] ; [1 7],[ 9.47368421 20.52631579] ; [2.52631579 5.47368421],0
b3,1,0.205903,1.6,[ 4 16] ; [2 2],[ 5. 15.] ; [1. 3.],0
b2,1,0.205903,1.6,[ 4 16] ; [2 2],[ 5. 15.] ; [1. 3.],0
s3,1,0.214299,1.542141,[18 11] ; [3 5],[16.45945946 12.54054054] ; [4.54054054 3.45945946],0
a7,1,0.255445,1.293277,[18 12] ; [3 5],[16.57894737 13.42105263] ; [4.42105263 3.57894737],0
n4,1,0.27009,1.216288,[16 14] ; [6 2],[17.36842105 12.63157895] ; [4.63157895 3.36842105],0
v1,1,0.27009,1.216288,[14 16] ; [2 6],[12.63157895 17.36842105] ; [3.36842105 4.63157895],0
a1,1,0.302225,1.064352,[ 1 29] ; [1 7],[ 1.57894737 28.42105263] ; [0.42105263 7.57894737],0
b4,1,0.334695,0.930648,[17 13] ; [3 5],[15.78947368 14.21052632] ; [4.21052632 3.78947368],0
s7,1,0.352587,0.864123,[13 14] ; [2 5],[11.91176471 15.08823529] ; [3.08823529 3.91176471],0
n1,1,0.361466,0.832792,[6 6] ; [2 5],[5.05263158 6.94736842] ; [2.94736842 4.05263158],0
d3,1,0.385223,0.753968,[20 10] ; [4 4],[18.94736842 11.05263158] ; [5.05263158 2.94736842],0
p6,1,0.402355,0.701277,[ 8 22] ; [1 7],[ 7.10526316 22.89473684] ; [1.89473684 6.10526316],0
d4,1,0.418796,0.65369,[23  7] ; [5 3],[22.10526316  7.89473684] ; [5.89473684 2.10526316],0
n3,1,0.41923,0.652473,[9 3] ; [4 3],[8.21052632 3.78947368] ; [4.78947368 2.21052632],0
d5,1,0.548294,0.360382,[22  8] ; [5 3],[21.31578947  8.68421053] ; [5.68421053 2.31578947],0
v2,1,0.587746,0.293878,[17 11] ; [4 4],[16.33333333 11.66666667] ; [4.66666667 3.33333333],0
p7,1,0.652317,0.202991,[10 20] ; [2 6],[ 9.47368421 20.52631579] ; [2.52631579 5.47368421],0
a4,1,0.736151,0.113539,[13 17] ; [4 4],[13.42105263 16.57894737] ; [3.57894737 4.42105263],0
b5,1,0.766526,0.088163,[17 13] ; [5 3],[17.36842105 12.63157895] ; [4.63157895 3.36842105],0
p8,1,0.773984,0.082465,[ 5 25] ; [1 7],[ 4.73684211 25.26315789] ; [1.26315789 6.73684211],0
p3,1,0.825309,0.048718,[10 20] ; [3 5],[10.26315789 19.73684211] ; [2.73684211 5.26315789],0
n5,1,0.866761,0.028148,[14 16] ; [4 4],[14.21052632 15.78947368] ; [3.78947368 4.21052632],0
u2,1,0.92265,0.009428,[4 7] ; [1 2],[3.92857143 7.07142857] ; [1.07142857 1.92857143],0
p1,1,0.950599,0.003838,[ 4 26] ; [1 7],[ 3.94736842 26.05263158] ; [1.05263158 6.94736842],0
a3,1,0.96537,0.001885,[19 11] ; [5 3],[18.94736842 11.05263158] ; [5.05263158 2.94736842],0
d1,1,1.0,0.0,[15 15] ; [4 4],[15. 15.] ; [4. 4.],0
v3,1,1.0,0.0,[ 7 21] ; [2 6],[ 7. 21.] ; [2. 6.],0
