Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.014287,6.002363,[ 5 17] ; [14 10],[ 9.08695652 12.91304348] ; [ 9.91304348 14.08695652],0
r4,1,0.024043,5.091499,[ 2 20] ; [ 9 15],[ 5.26086957 16.73913043] ; [ 5.73913043 18.26086957],0
r3,1,0.027461,4.861607,[ 8 13] ; [17  7],[11.66666667  9.33333333] ; [13.33333333 10.66666667],0
u2,1,0.032189,4.588426,[ 2 12] ; [6 5],[4.48 9.52] ; [3.52 7.48],0
r1,1,0.033773,4.506177,[ 6 16] ; [14 10],[ 9.56521739 12.43478261] ; [10.43478261 13.56521739],0
n5,1,0.04567,3.993711,[18  4] ; [13 11],[14.82608696  7.17391304] ; [16.17391304  7.82608696],0
s4,1,0.061879,3.486301,[ 5 17] ; [ 1 23],[ 2.86956522 19.13043478] ; [ 3.13043478 20.86956522],0
b4,1,0.080766,3.049412,[10 12] ; [17  7],[12.91304348  9.08695652] ; [14.08695652  9.91304348],0
a1,1,0.12713,2.327199,[ 4 18] ; [ 1 23],[ 2.39130435 19.60869565] ; [ 2.60869565 21.39130435],0
n1,1,0.149073,2.081713,[7 5] ; [1 4],[5.64705882 6.35294118] ; [2.35294118 2.64705882],0
s5,1,0.187047,1.740724,[ 1 21] ; [ 4 20],[ 2.39130435 19.60869565] ; [ 2.60869565 21.39130435],0
v3,1,0.202087,1.627231,[ 3 19] ; [ 7 17],[ 4.7826087 17.2173913] ; [ 5.2173913 18.7826087],0
a5,1,0.237741,1.393939,[ 9 13] ; [14 10],[11. 11.] ; [12. 12.],0
v2,1,0.279642,1.168831,[ 4 17] ; [ 8 16],[ 5.6 15.4] ; [ 6.4 17.6],0
a3,1,0.280987,1.162309,[ 8 13] ; [13 11],[ 9.8 11.2] ; [11.2 12.8],0
s7,1,0.29537,1.094983,[ 3 18] ; [ 6 16],[ 4.39534884 16.60465116] ; [ 4.60465116 17.39534884],0
s1,1,0.321813,0.981566,[ 4 18] ; [ 2 22],[ 2.86956522 19.13043478] ; [ 3.13043478 20.86956522],0
p7,1,0.330592,0.946579,[ 7 15] ; [11 13],[ 8.60869565 13.39130435] ; [ 9.39130435 14.60869565],0
p11,1,0.330592,0.946579,[ 7 15] ; [11 13],[ 8.60869565 13.39130435] ; [ 9.39130435 14.60869565],0
s8,1,0.331802,0.941851,[ 3 19] ; [ 6 18],[ 4.30434783 17.69565217] ; [ 4.69565217 19.30434783],0
p2,1,0.368561,0.808511,[ 9 13] ; [13 11],[10.52173913 11.47826087] ; [11.47826087 12.52173913],0
b1,1,0.368561,0.808511,[13  9] ; [11 13],[11.47826087 10.52173913] ; [12.52173913 11.47826087],0
a8,1,0.379621,0.77193,[ 2 20] ; [ 4 18],[ 3. 19.] ; [ 3. 19.],0
d3,1,0.382942,0.761236,[ 4 18] ; [ 7 17],[ 5.26086957 16.73913043] ; [ 5.73913043 18.26086957],0
n6,1,0.457839,0.551172,[10 12] ; [13 10],[11.24444444 10.75555556] ; [11.75555556 11.24444444],0
s6,1,0.459819,0.546334,[ 6 16] ; [ 9 15],[ 7.17391304 14.82608696] ; [ 7.82608696 16.17391304],0
p9,1,0.472304,0.516582,[10 11] ; [14 10],[11.2  9.8] ; [12.8 11.2],0
p8,1,0.481924,0.494505,[ 5 16] ; [ 8 16],[ 6.06666667 14.93333333] ; [ 6.93333333 17.06666667],0
n4,1,0.489402,0.477841,[15  7] ; [14 10],[13.86956522  8.13043478] ; [15.13043478  8.86956522],0
n2,1,0.490168,0.476157,[5 7] ; [3 2],[5.64705882 6.35294118] ; [2.35294118 2.64705882],0
a2,1,0.499244,0.456542,[ 2 20] ; [ 1 23],[ 1.43478261 20.56521739] ; [ 1.56521739 22.43478261],0
a6,1,0.514667,0.424567,[ 8 14] ; [11 13],[ 9.08695652 12.91304348] ; [ 9.91304348 14.08695652],0
p1,1,0.563789,0.333186,[ 3 19] ; [ 2 22],[ 2.39130435 19.60869565] ; [ 2.60869565 21.39130435],0
d2,1,0.575457,0.313636,[ 4 18] ; [ 6 18],[ 4.7826087 17.2173913] ; [ 5.2173913 18.7826087],0
s3,1,0.586467,0.295896,[ 6 16] ; [ 8 15],[ 6.84444444 15.15555556] ; [ 7.15555556 15.84444444],0
