Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,8.9e-05,15.355115,[30  6] ; [ 9 17],[22.64516129 13.35483871] ; [16.35483871  9.64516129],1
d4,1,0.015718,5.834107,[20 16] ; [22  4],[24.38709677 11.61290323] ; [17.61290323  8.38709677],0
n6,1,0.024885,5.031838,[19 15] ; [ 7 19],[14.73333333 19.26666667] ; [11.26666667 14.73333333],0
p8,1,0.046499,3.963429,[ 3 32] ; [ 7 18],[ 5.83333333 29.16666667] ; [ 4.16666667 20.83333333],0
a6,1,0.052965,3.745026,[20 16] ; [ 8 18],[16.25806452 19.74193548] ; [11.74193548 14.25806452],0
n3,1,0.053824,3.718155,[ 5 11] ; [7 3],[7.38461538 8.61538462] ; [4.61538462 5.38461538],0
a4,1,0.055265,3.674061,[ 8 27] ; [12 14],[11.47540984 23.52459016] ; [ 8.52459016 17.47540984],0
v2,1,0.055265,3.674061,[ 8 27] ; [12 14],[11.47540984 23.52459016] ; [ 8.52459016 17.47540984],0
r3,1,0.081455,3.035625,[15 20] ; [17  9],[18.36065574 16.63934426] ; [13.63934426 12.36065574],0
r1,1,0.120884,2.405824,[11 25] ; [13 13],[13.93548387 22.06451613] ; [10.06451613 15.93548387],0
u2,1,0.133456,2.251838,[ 2 15] ; [3 5],[ 3.4 13.6] ; [1.6 6.4],0
s7,1,0.137486,2.205869,[ 5 30] ; [ 7 16],[ 7.24137931 27.75862069] ; [ 4.75862069 18.24137931],0
v3,1,0.184328,1.762382,[ 3 33] ; [ 5 20],[ 4.72131148 31.27868852] ; [ 3.27868852 21.72131148],0
d1,1,0.186797,1.742703,[12 24] ; [13 13],[14.51612903 21.48387097] ; [10.48387097 15.51612903],0
a8,1,0.19043,1.714286,[ 5 30] ; [ 1 24],[ 3.5 31.5] ; [ 2.5 22.5],0
p10,1,0.199966,1.64262,[15 20] ; [ 7 19],[12.62295082 22.37704918] ; [ 9.37704918 16.62295082],0
a3,1,0.237358,1.396218,[19 16] ; [18  8],[21.2295082 13.7704918] ; [15.7704918 10.2295082],0
p1,1,0.298271,1.081909,[ 6 30] ; [ 2 24],[ 4.64516129 31.35483871] ; [ 3.35483871 22.64516129],0
d3,1,0.303254,1.059829,[16 20] ; [15 11],[18. 18.] ; [13. 13.],0
r4,1,0.304199,1.055695,[ 7 29] ; [ 8 18],[ 8.70967742 27.29032258] ; [ 6.29032258 19.70967742],0
d5,1,0.320874,0.985381,[19 17] ; [17  9],[20.90322581 15.09677419] ; [15.09677419 10.90322581],0
p9,1,0.332641,0.938591,[17 18] ; [ 9 16],[15.16666667 19.83333333] ; [10.83333333 14.16666667],0
b3,1,0.355358,0.85423,[ 7 16] ; [ 8 10],[ 8.41463415 14.58536585] ; [ 6.58536585 11.41463415],0
b2,1,0.355358,0.85423,[ 7 16] ; [ 8 10],[ 8.41463415 14.58536585] ; [ 6.58536585 11.41463415],0
b4,1,0.380747,0.768287,[21 15] ; [18  8],[22.64516129 13.35483871] ; [16.35483871  9.64516129],0
n2,1,0.381133,0.767045,[ 6 10] ; [6 5],[7.11111111 8.88888889] ; [4.88888889 6.11111111],0
d2,1,0.395378,0.722338,[15 20] ; [14 12],[16.63934426 18.36065574] ; [12.36065574 13.63934426],0
p6,1,0.432749,0.615433,[ 3 31] ; [ 4 22],[ 3.96666667 30.03333333] ; [ 3.03333333 22.96666667],0
b5,1,0.464792,0.53433,[16 20] ; [14 12],[17.41935484 18.58064516] ; [12.58064516 13.41935484],0
n1,1,0.483522,0.490909,[8 8] ; [4 7],[7.11111111 8.88888889] ; [4.88888889 6.11111111],0
v1,1,0.548707,0.359639,[ 9 27] ; [ 8 17],[10.03278689 25.96721311] ; [ 6.96721311 18.03278689],0
s4,1,0.572536,0.318458,[ 5 31] ; [ 5 21],[ 5.80645161 30.19354839] ; [ 4.19354839 21.80645161],0
p7,1,0.615328,0.252489,[ 9 27] ; [ 8 18],[ 9.87096774 26.12903226] ; [ 7.12903226 18.87096774],0
s6,1,0.615328,0.252489,[ 9 27] ; [ 8 18],[ 9.87096774 26.12903226] ; [ 7.12903226 18.87096774],0
a7,1,0.665292,0.187159,[16 20] ; [13 13],[16.83870968 19.16129032] ; [12.16129032 13.83870968],0
p2,1,0.667832,0.184149,[14 21] ; [ 9 17],[13.19672131 21.80327869] ; [ 9.80327869 16.19672131],0
a2,1,0.673594,0.177427,[ 3 33] ; [ 3 23],[ 3.48387097 32.51612903] ; [ 2.51612903 23.48387097],0
b1,1,0.701197,0.147229,[19 17] ; [15 11],[19.74193548 16.25806452] ; [14.25806452 11.74193548],0
u1,1,0.756925,0.095804,[ 2 34] ; [ 1 25],[ 1.74193548 34.25806452] ; [ 1.25806452 24.74193548],0
s3,1,0.829313,0.046476,[12 24] ; [ 9 16],[12.39344262 23.60655738] ; [ 8.60655738 16.39344262],0
p3,1,0.864411,0.02916,[ 9 27] ; [ 7 19],[ 9.29032258 26.70967742] ; [ 6.70967742 19.29032258],0
a5,1,0.86702,0.028038,[20 16] ; [15 11],[20.32258065 15.67741935] ; [14.67741935 11.32258065],0
r2,1,0.898134,0.016389,[21 14] ; [14 10],[20.76271186 14.23728814] ; [14.23728814  9.76271186],0
s2,1,0.936694,0.006309,[ 8 28] ; [ 6 20],[ 8.12903226 27.87096774] ; [ 5.87096774 20.12903226],0
s5,1,0.944855,0.004784,[ 6 30] ; [ 4 21],[ 5.90163934 30.09836066] ; [ 4.09836066 20.90163934],0
s1,1,0.958156,0.002753,[ 4 32] ; [ 3 23],[ 4.06451613 31.93548387] ; [ 2.93548387 23.06451613],0
p11,1,0.972806,0.001162,[14 22] ; [10 16],[13.93548387 22.06451613] ; [10.06451613 15.93548387],0
p4,1,0.985632,0.000324,[11 25] ; [ 8 18],[11.03225806 24.96774194] ; [ 7.96774194 18.03225806],0
