Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.9e-05,18.275978,[2 5] ; [69  8],[5.91666667 1.08333333] ; [65.08333333 11.91666667],1
b4,1,0.006734,7.342657,[1 6] ; [51 26],[4.33333333 2.66666667] ; [47.66666667 29.33333333],0
p12,1,0.021489,5.286713,[2 5] ; [ 4 73],[0.5 6.5] ; [ 5.5 71.5],0
r3,1,0.021489,5.286713,[5 2] ; [73  4],[6.5 0.5] ; [71.5  5.5],0
r1,1,0.021693,5.270254,[2 5] ; [54 22],[4.72289157 2.27710843] ; [51.27710843 24.72289157],0
v4,1,0.043024,4.094451,[5 2] ; [72  5],[6.41666667 0.58333333] ; [70.58333333  6.41666667],0
a3,1,0.048033,3.908814,[2 5] ; [51 26],[4.41666667 2.58333333] ; [48.58333333 28.41666667],0
p5,1,0.072952,3.215311,[2 5] ; [ 6 71],[0.66666667 6.33333333] ; [ 7.33333333 69.66666667],0
v2,1,0.089192,2.888889,[1 5] ; [38 34],[3. 3.] ; [36. 36.],0
u3,1,0.095757,2.774825,[2 3] ; [20  6],[3.5483871 1.4516129] ; [18.4516129  7.5483871],0
s8,1,0.110612,2.545455,[1 6] ; [35 42],[3. 4.] ; [33. 44.],0
p9,1,0.125286,2.349959,[4 3] ; [62 14],[5.56626506 1.43373494] ; [60.43373494 15.56626506],0
a8,1,0.136249,2.21982,[1 6] ; [ 2 68],[0.27272727 6.72727273] ; [ 2.72727273 67.27272727],0
p8,1,0.157198,2.000972,[6 1] ; [45 32],[4.25 2.75] ; [46.75 30.25],0
n3,1,0.185877,1.75,[1 2] ; [13  5],[2. 1.] ; [12.  6.],0
d2,1,0.195209,1.677862,[1 6] ; [30 47],[2.58333333 4.41666667] ; [28.41666667 48.58333333],0
s3,1,0.198534,1.653124,[2 5] ; [41 35],[3.62650602 3.37349398] ; [39.37349398 36.62650602],0
d1,1,0.211131,1.563657,[2 5] ; [41 36],[3.58333333 3.41666667] ; [39.41666667 37.58333333],0
d5,1,0.216522,1.527273,[4 3] ; [60 17],[5.33333333 1.66666667] ; [58.66666667 18.33333333],0
p6,1,0.217894,1.518185,[4 3] ; [25 49],[2.50617284 4.49382716] ; [26.49382716 47.50617284],0
a7,1,0.294858,1.097307,[4 3] ; [58 19],[5.16666667 1.83333333] ; [56.83333333 20.16666667],0
v3,1,0.319159,0.99239,[3 4] ; [18 53],[1.88461538 5.11538462] ; [19.11538462 51.88461538],0
a1,1,0.330409,0.947296,[1 6] ; [ 4 73],[0.41666667 6.58333333] ; [ 4.58333333 72.41666667],0
s6,1,0.382193,0.763636,[4 3] ; [56 21],[5. 2.] ; [55. 22.],0
b1,1,0.385684,0.752505,[4 3] ; [31 46],[2.91666667 4.08333333] ; [32.08333333 44.91666667],0
p10,1,0.395197,0.722892,[4 3] ; [55 21],[4.97590361 2.02409639] ; [54.02409639 21.97590361],0
u2,1,0.396898,0.717703,[4 1] ; [15 10],[3.16666667 1.83333333] ; [15.83333333  9.16666667],0
b5,1,0.425031,0.636364,[3 4] ; [45 32],[4. 3.] ; [44. 33.],0
p2,1,0.450597,0.569149,[5 2] ; [63 13],[5.73493976 1.26506024] ; [62.26506024 13.73493976],0
s4,1,0.494125,0.467532,[1 6] ; [20 57],[1.75 5.25] ; [19.25 57.75],0
p7,1,0.525906,0.402296,[6 1] ; [57 19],[5.31325301 1.68674699] ; [57.68674699 18.31325301],0
s5,1,0.553306,0.351429,[2 5] ; [30 45],[2.73170732 4.26829268] ; [29.26829268 45.73170732],0
d4,1,0.566533,0.328518,[5 2] ; [62 15],[5.58333333 1.41666667] ; [61.41666667 15.58333333],0
d3,1,0.576646,0.311688,[4 3] ; [52 25],[4.66666667 2.33333333] ; [51.33333333 25.66666667],0
a6,1,0.587855,0.293706,[5 2] ; [47 30],[4.33333333 2.66666667] ; [47.66666667 29.33333333],0
n6,1,0.593718,0.284575,[4 3] ; [51 25],[4.63855422 2.36144578] ; [50.36144578 25.63855422],0
n5,1,0.593718,0.284575,[3 4] ; [25 51],[2.36144578 4.63855422] ; [25.63855422 50.36144578],0
s2,1,0.598222,0.277686,[4 3] ; [36 41],[3.33333333 3.66666667] ; [36.66666667 40.33333333],0
s7,1,0.64328,0.214478,[2 4] ; [31 41],[2.53846154 3.46153846] ; [30.46153846 41.53846154],0
v1,1,0.692348,0.156556,[3 4] ; [37 36],[3.5 3.5] ; [36.5 36.5],0
u1,1,0.749659,0.101818,[1 6] ; [ 8 69],[0.75 6.25] ; [ 8.25 68.75],0
b3,1,0.782097,0.076501,[1 3] ; [13 28],[1.24444444 2.75555556] ; [12.75555556 28.24444444],0
b2,1,0.782097,0.076501,[1 3] ; [13 28],[1.24444444 2.75555556] ; [12.75555556 28.24444444],0
a4,1,0.832636,0.044657,[2 5] ; [25 52],[2.25 4.75] ; [24.75 52.25],0
n1,1,0.843669,0.038889,[1 2] ; [ 5 13],[0.85714286 2.14285714] ; [ 5.14285714 12.85714286],0
p11,1,0.886826,0.020256,[5 2] ; [53 24],[4.83333333 2.16666667] ; [53.16666667 23.83333333],0
a2,1,0.927526,0.008273,[1 6] ; [12 65],[1.08333333 5.91666667] ; [11.91666667 65.08333333],0
a5,1,0.94264,0.005177,[5 2] ; [54 23],[4.91666667 2.08333333] ; [54.08333333 22.91666667],0
